,Jan_Freq,Jan_Term,Feb_Freq,Feb_Term,Mar_Freq,Mar_Term,Apr_Freq,Apr_Term,May_Freq,May_Term,Jun_Freq,Jun_Term,Jul_Freq,Jul_Term,Aug_Freq,Aug_Term,Sep_Freq,Sep_Term,Oct_Freq,Oct_Term,Nov_Freq,Nov_Term,Dec_Freq,Dec_Term
0,2.069519702,sport,1.184018608,street,7.344620777,worship,14.31308148,land,30.46650097,settlement,42.15911393,nature,23.78582498,lawn,22.36447491,grassland,47.50712786,natural,26.79551004,garden,2.122953355,plant,1.694355786,park
1,1.400089816,venue,0.76580454,lane,7.358163383,place,14.32012019,lot,30.46998622,human,22.78362517,resources,14.31816537,pasture,18.05743922,rural,22.72001938,nature,14.57321157,botany,1.440279851,lawn,0.629928828,land
2,1.404244083,square,1.170848363,road,7.341538681,cathedral,10.2308421,grassland,21.65863648,urban,19.90831203,bank,12.56289764,shrub,13.96339651,field,18.99738962,environment,10.80704067,botanical,1.437540716,lot,0.628668156,lot
3,1.402923951,equipment,1.076516907,town,9.46625272,church,9.533817096,plant,21.22092516,residential,17.81788307,reserve,11.9984995,meadow,13.77787606,pasture,15.91005689,land,7.532538667,park,1.433878801,land,0.636629849,asphalt
4,1.426008167,plaza,1.474411768,area,4.662419298,gothic,9.522898272,plain,15.71482571,square,14.50788797,body,10.8006613,landscaping,11.27093002,plain,13.35213432,grassland,6.737416721,lawn,2.773007574,grass,1.166469064,grass
5,1.420356565,vacation,0.993031117,city,6.124159687,spire,9.516719712,garden,13.70089448,street,17.2029927,river,10.27955373,field,25.53285963,land,10.87841199,reserve,8.804857993,daytime,0.810409451,geological,0.634544329,road
6,2.061557484,leisure,0.127401546,nature,4.531160293,steeple,9.511586897,field,11.78117061,mixed,7.478669571,watercourse,8.967905918,plain,9.683422213,farm,10.8039407,pasture,11.11631557,autumn,0.813222935,phenomenon,0.628184501,landscape
7,0.769236319,centre,0.125377504,parish,2.854331281,site,7.459335355,pasture,11.78146848,use,70.75418822,water,8.995504785,yard,9.573743064,meadow,8.600698596,body,18.87146554,leaf,1.505632123,tree,1.156571639,tree
8,0.761340678,room,0.121068699,reserve,9.771790329,medieval,6.071503577,meadow,10.38097465,metropolitan,3.797148928,zone,21.74847917,grassland,26.0881228,lot,15.90870907,lot,3.70082662,walkway,0.799672401,area,0.099317302,pasture
9,0.750510514,flooring,0.863047003,building,1.944556911,tower,5.376382521,farm,17.99944074,neighbourhood,3.799675604,riparian,5.048095717,flower,6.069631231,green,34.07699377,landscape,8.830126431,plant,1.504997174,landscape,0.097379741,phenomenon
