term,Category,Freq,Term,Total,loglift,logprob
26,Default,53.0,estate,53.0,30.0,30.0
121,Default,31.0,water,31.0,29.0,29.0
37,Default,46.0,grass,46.0,28.0,28.0
1,Default,158.0,architecture,158.0,27.0,27.0
42,Default,42.0,home,42.0,26.0,26.0
105,Default,37.0,stately,37.0,25.0,25.0
113,Default,32.0,town,32.0,24.0,24.0
54,Default,34.0,mansion,34.0,23.0,23.0
10,Default,101.0,building,101.0,22.0,22.0
47,Default,64.0,landmark,64.0,21.0,21.0
17,Default,30.0,city,30.0,20.0,20.0
78,Default,33.0,property,33.0,19.0,19.0
61,Default,30.0,natural,30.0,18.0,18.0
27,Default,34.0,facade,34.0,17.0,17.0
94,Default,52.0,sky,52.0,16.0,16.0
2,Default,18.0,area,18.0,15.0,15.0
65,Default,30.0,palace,30.0,14.0,14.0
126,Default,21.0,worship,21.0,13.0,13.0
70,Default,21.0,place,21.0,12.0,12.0
57,Default,22.0,medieval,22.0,11.0,11.0
18,Default,31.0,classical,31.0,10.0,10.0
15,Default,19.0,chateau,19.0,9.0,9.0
116,Default,45.0,tree,45.0,8.0,8.0
64,Default,17.0,official,17.0,7.0,7.0
84,Default,17.0,residence,17.0,6.0,6.0
16,Default,19.0,church,19.0,5.0,5.0
48,Default,20.0,landscape,20.0,4.0,4.0
14,Default,15.0,cathedral,15.0,3.0,3.0
43,Default,52.0,house,52.0,2.0,2.0
46,Default,15.0,land,15.0,1.0,1.0
26,Topic1,52.79349530851424,estate,53.73428555422646,1.0655,-2.3841
42,Topic1,41.49944251562077,home,42.32307336155196,1.0635,-2.6248
105,Topic1,37.0785660103184,stately,37.88451754261523,1.0616,-2.7375
54,Topic1,33.45943634607337,mansion,34.26703043825497,1.0593,-2.8402
15,Topic1,18.694513803833008,chateau,19.50996236210104,1.0404,-3.4223
64,Topic1,16.534654404551304,official,17.277774382428795,1.0392,-3.5451
84,Topic1,16.530091169938846,residence,17.275380014869523,1.039,-3.5453
53,Topic1,12.063164870806458,manor,12.853897469019456,1.0197,-3.8604
80,Topic1,7.600905824454425,real,8.370978611812433,0.9866,-4.3223
12,Topic1,4.2612259357607885,campus,5.044826281060336,0.9143,-4.901
78,Topic1,28.51996772616369,property,33.82537871419217,0.9125,-2.9999
20,Topic1,3.7462005266076743,college,4.4892766479467054,0.9022,-5.0298
13,Topic1,3.4527539409389947,castle,4.195867162616027,0.8882,-5.1113
65,Topic1,24.478378594098615,palace,30.535356369895574,0.862,-3.1527
77,Topic1,1.7743406696031554,presidential,2.525199362388802,0.7303,-5.7771
43,Topic1,32.815917028128176,house,52.37093672858771,0.6157,-2.8596
63,Topic1,1.9281294269524532,neighbourhood,3.44492915257024,0.5028,-5.694
10,Topic1,47.802502325491,building,101.1625888206449,0.3335,-2.4834
89,Topic1,2.274182424217475,roof,4.8496665670053485,0.3259,-5.5289
85,Topic1,3.1226375793610135,residential,6.726829307409565,0.3157,-5.2118
18,Topic1,14.604782823820202,classical,31.99465815050663,0.2989,-3.6692
47,Topic1,27.370914211185966,landmark,64.29683597319327,0.2291,-3.041
102,Topic1,4.3476032683650345,spring,10.328886570151198,0.2178,-4.8809
50,Topic1,3.743719664174603,lawn,9.01381209197249,0.2045,-5.0304
1,Topic1,61.44674569305702,architecture,158.02905537283905,0.1385,-2.2324
59,Topic1,0.6864035560063627,monument,1.9243293735773055,0.0523,-6.7268
37,Topic1,16.425765513811434,grass,46.762586694496314,0.0369,-3.5517
116,Topic1,14.162868378723747,tree,45.52567699408231,-0.0845,-3.6999
94,Topic1,11.7055164417189,sky,52.785703784922106,-0.423,-3.8905
40,Topic1,1.719941116033751,historic,8.519697592824608,-0.5169,-5.8082
27,Topic1,4.42479327203687,facade,34.70233106987667,-0.9764,-4.8633
2,Topic1,2.2025015594172106,area,18.660208939429832,-1.0537,-5.5609
126,Topic2,20.592642824165882,worship,21.42511909152654,1.1351,-3.234
70,Topic2,20.592267884344437,place,21.427956440264893,1.135,-3.234
14,Topic2,14.940996709360524,cathedral,15.712615382330718,1.1244,-3.5548
103,Topic2,8.41243398488994,square,9.182906920303614,1.0871,-4.1292
79,Topic2,8.396159519957195,public,9.190871311866463,1.0843,-4.1312
97,Topic2,8.396703120164087,space,9.196303589601824,1.0838,-4.1311
57,Topic2,20.1323660093893,medieval,22.273329851588002,1.0737,-3.2566
16,Topic2,17.84522308630293,church,19.79642207496508,1.071,-3.3772
74,Topic2,7.355247080473807,plaza,8.166720523983335,1.0701,-4.2635
36,Topic2,6.090086832111285,gothic,6.84844722004459,1.0574,-4.4523
44,Topic2,10.340552938232278,human,11.698538128045522,1.0513,-3.9229
91,Topic2,10.336122715281139,settlement,11.71642011122234,1.0494,-3.9233
93,Topic2,6.479802748695846,site,7.361739329811283,1.0471,-4.3902
27,Topic2,29.64144790718903,facade,34.70233106987667,1.0171,-2.8698
