term,Category,Freq,Term,Total,loglift,logprob
56,Default,193.0,estate,193.0,30.0,30.0
85,Default,131.0,home,131.0,29.0,29.0
102,Default,122.0,mansion,122.0,28.0,28.0
120,Default,124.0,palace,124.0,27.0,27.0
24,Default,329.0,building,329.0,26.0,26.0
201,Default,74.0,water,74.0,25.0,25.0
87,Default,185.0,house,185.0,24.0,24.0
75,Default,54.0,garden,54.0,23.0,23.0
5,Default,483.0,architecture,483.0,22.0,22.0
173,Default,93.0,stately,93.0,21.0,21.0
34,Default,102.0,city,102.0,20.0,20.0
114,Default,75.0,natural,75.0,19.0,19.0
6,Default,100.0,area,100.0,18.0,18.0
105,Default,79.0,medieval,79.0,17.0,17.0
188,Default,99.0,town,99.0,16.0,16.0
33,Default,66.0,church,66.0,15.0,15.0
147,Default,62.0,residence,62.0,14.0,14.0
119,Default,62.0,official,62.0,13.0,13.0
139,Default,158.0,property,158.0,12.0,12.0
93,Default,200.0,landmark,200.0,11.0,11.0
60,Default,97.0,facade,97.0,10.0,10.0
77,Default,71.0,grass,71.0,9.0,9.0
32,Default,60.0,chateau,60.0,8.0,8.0
192,Default,105.0,tree,105.0,7.0,7.0
165,Default,145.0,sky,145.0,6.0,6.0
94,Default,61.0,landscape,61.0,5.0,5.0
36,Default,89.0,classical,89.0,4.0,4.0
88,Default,42.0,human,42.0,3.0,3.0
160,Default,42.0,settlement,42.0,2.0,2.0
209,Default,40.0,worship,40.0,1.0,1.0
85,Topic1,130.97539694284757,home,131.77154279439998,0.9093,-2.771
102,Topic1,122.08108893983176,mansion,122.8643314342967,0.909,-2.8413
120,Topic1,123.359401989836,palace,124.26749962770282,0.9081,-2.8309
173,Topic1,92.76171857873953,stately,93.53594226317284,0.9071,-3.116
147,Topic1,61.539987544855116,residence,62.30496925292228,0.903,-3.5263
119,Topic1,61.54575343785425,official,62.312194373143335,0.903,-3.5262
101,Topic1,38.93118548585545,manor,39.66786342201897,0.8967,-3.9842
141,Topic1,27.971377510457504,real,28.753756502656834,0.8878,-4.3148
32,Topic1,58.86361318321022,chateau,60.593451324267924,0.8864,-3.5708
56,Topic1,186.27392721533033,estate,193.47809008090994,0.8775,-2.4188
28,Topic1,15.186479040485809,castle,15.937830005756393,0.8671,-4.9256
138,Topic1,15.1288059972167,presidential,15.933364316886417,0.8636,-4.9294
87,Topic1,173.99613415285103,house,185.5745786401892,0.851,-2.487
186,Topic1,7.586057053275232,tourist,8.373641431130245,0.8166,-5.6197
10,Topic1,7.575205270283833,attraction,8.382183911890374,0.8142,-5.6211
48,Topic1,5.1532392014493125,courthouse,5.9003848245022485,0.78,-6.0064
139,Topic1,137.43940235754621,property,158.41319770223785,0.7734,-2.7228
47,Topic1,7.95607084402869,cottage,9.228178580436452,0.7671,-5.5721
63,Topic1,3.5568149963393036,farmhouse,4.2892531206874045,0.7282,-6.3771
70,Topic1,3.5201152303268213,fortification,4.259717812197495,0.7247,-6.3875
3,Topic1,3.4240404143895278,apartment,4.183326678872204,0.7151,-6.4152
1,Topic1,4.304496823535662,almshouse,5.967271285497386,0.5888,-6.1863
206,Topic1,1.7668936524302241,window,2.501570226333407,0.5677,-7.0768
36,Topic1,53.67700565247326,classical,89.75145387912751,0.4013,-3.663
24,Topic1,184.3620003910486,building,329.5445836999541,0.3346,-2.4291
158,Topic1,1.8764536373195584,sculpture,3.454225263920936,0.3052,-7.0166
93,Topic1,100.86796214603248,landmark,200.53026891071383,0.2282,-3.0322
5,Topic1,221.00361570304827,architecture,483.15197934156345,0.1332,-2.2478
