term,Category,Freq,Term,Total,loglift,logprob
0,Default,45.0,architecture,45.0,30.0,30.0
5,Default,28.0,building,28.0,29.0,29.0
24,Default,18.0,landmark,18.0,28.0,28.0
51,Default,14.0,town,14.0,27.0,27.0
53,Default,11.0,urban,11.0,26.0,26.0
29,Default,11.0,medieval,11.0,25.0,25.0
10,Default,11.0,city,11.0,24.0,24.0
1,Default,12.0,area,12.0,23.0,23.0
9,Default,11.0,church,11.0,22.0,22.0
21,Default,11.0,house,11.0,21.0,21.0
44,Default,14.0,sky,14.0,20.0,20.0
52,Default,14.0,tree,14.0,19.0,19.0
14,Default,10.0,facade,10.0,18.0,18.0
36,Default,6.0,place,6.0,17.0,17.0
13,Default,6.0,estate,6.0,16.0,16.0
7,Default,6.0,cathedral,6.0,15.0,15.0
58,Default,6.0,worship,6.0,14.0,14.0
37,Default,6.0,property,6.0,13.0,13.0
22,Default,5.0,human,5.0,12.0,12.0
32,Default,5.0,neighbourhood,5.0,11.0,11.0
42,Default,5.0,settlement,5.0,10.0,10.0
46,Default,5.0,spire,5.0,9.0,9.0
48,Default,4.0,steeple,4.0,8.0,8.0
20,Default,4.0,home,4.0,7.0,7.0
4,Default,4.0,brick,4.0,6.0,6.0
11,Default,4.0,classical,4.0,5.0,5.0
31,Default,5.0,natural,5.0,4.0,4.0
16,Default,3.0,gothic,3.0,3.0,3.0
38,Default,3.0,public,3.0,2.0,2.0
43,Default,3.0,site,3.0,1.0,1.0
0,Topic1,45.34491518500574,architecture,45.63272179320011,0.1387,-1.9676
5,Topic1,28.030053492374492,building,28.323749795519113,0.1346,-2.4486
24,Topic1,18.416059408687367,landmark,18.69532450985299,0.13,-2.8687
51,Topic1,14.579047532789817,town,14.854675748088365,0.1263,-3.1023
29,Topic1,11.701490503455803,medieval,11.965249130072603,0.1227,-3.3222
53,Topic1,11.692727715608022,urban,11.972881633310413,0.1213,-3.3229
9,Topic1,10.743823834005651,church,11.021268830953984,0.1195,-3.4076
21,Topic1,10.756904524662165,house,11.039015432781467,0.1191,-3.4064
10,Topic1,10.740886809927185,city,11.025152030951823,0.1189,-3.4078
14,Topic1,9.826251169463143,facade,10.100358395180537,0.1175,-3.4968
7,Topic1,5.950368457228143,cathedral,6.22727923812641,0.0995,-3.9984
36,Topic1,5.931130912351727,place,6.210235027359992,0.099,-4.0017
58,Topic1,5.940432659527561,worship,6.229575499366061,0.0975,-4.0001
13,Topic1,5.938065215709266,estate,6.227561748153619,0.0974,-4.0005
37,Topic1,5.94203454841415,property,6.234655963043387,0.097,-3.9998
22,Topic1,4.953422542404565,human,5.223002809350299,0.092,-4.1818
32,Topic1,4.964396152028157,neighbourhood,5.239000976913929,0.0912,-4.1796
46,Topic1,4.979246994059709,spire,5.25632710133042,0.0909,-4.1766
42,Topic1,4.9590100474153935,settlement,5.2386637247770675,0.0902,-4.1807
20,Topic1,4.034244791441862,home,4.298673176223948,0.0815,-4.3871
11,Topic1,4.027665871044125,classical,4.292054209193346,0.0814,-4.3887
48,Topic1,4.028196105979257,steeple,4.301914347782607,0.0793,-4.3886
4,Topic1,4.017308718580166,brick,4.2996397991415805,0.0771,-4.3913
1,Topic1,11.690123175037336,area,12.742689612480577,0.0588,-3.3232
19,Topic1,3.040158219844195,historic,3.314476029095696,0.0586,-4.67
16,Topic1,3.0797375146923467,gothic,3.3583708507833627,0.0584,-4.6571
38,Topic1,3.0533799425421417,public,3.3308023363011086,0.0581,-4.6657
50,Topic1,3.0520802288703597,tower,3.3300156400761063,0.0579,-4.6661
49,Topic1,3.0535792844365055,street,3.3367748435531133,0.0563,-4.6656
43,Topic1,3.0558008266787535,site,3.3428731742737234,0.0552,-4.6649
44,Topic1,11.681705454556843,sky,14.263118665300935,-0.0546,-3.3239
52,Topic1,11.684458179984102,tree,14.574920544953562,-0.076,-3.3236
45,Topic1,3.055189076523463,space,3.3430853858013068,0.055,-4.6651
31,Topic2,4.778869947658876,natural,5.102574579138528,2.2765,-2.0207
12,Topic2,2.4538139822191285,environment,2.75621902483713,2.2258,-2.6872
18,Topic2,2.4494232444972166,grassland,2.757658004962377,2.2235,-2.689
26,Topic2,1.6771407971476757,line,1.975693882915955,2.1782,-3.0678
15,Topic2,1.6749331520146662,field,1.9734545855115708,2.178,-3.0691
35,Topic2,1.675867585191769,phenomenon,1.9797473556695495,2.1754,-3.0685
3,Topic2,1.6826188898842087,atmospheric,1.9901789656940687,2.1742,-3.0645
34,Topic2,1.6831803502547003,pasture,1.994427877826379,2.1724,-3.0642
25,Topic2,2.459227750839899,landscape,4.259720129192816,1.7927,-2.685
27,Topic2,0.9217153497454047,lot,1.7676821902233406,1.6909,-3.6664
23,Topic2,0.9082411821948546,land,1.745454163490523,1.6888,-3.6811
17,Topic2,2.4443743425752555,grass,4.799516007410282,1.6673,-2.6911
44,Topic2,2.447855706271364,sky,14.263118665300935,0.5796,-2.6897
52,Topic2,1.690908640179047,tree,14.574920544953562,0.188,-3.0596
1,Topic2,0.9116521383957964,area,12.742689612480577,-0.2954,-3.6774
2,Topic2,0.13683452523550288,asphalt,1.9663683669303158,-0.3231,-5.5739
56,Topic2,0.16047760512625533,water,2.379486955009053,-0.3544,-5.4145
33,Topic2,0.13168695110595052,park,2.0410374231973973,-0.3987,-5.6122
8,Topic2,0.14966817167155852,chateau,2.380663575283925,-0.4247,-5.4842
6,Topic2,0.14970662997911174,castle,2.388330799507134,-0.4276,-5.484
40,Topic2,0.1490204718109093,roof,2.3872227543177185,-0.4318,-5.4886
41,Topic2,0.14244830026177654,ruins,2.362681030579909,-0.4665,-5.5337
30,Topic2,0.14244389311882644,mixed,2.3821330257075024,-0.4748,-5.5337
47,Topic2,0.13967704945238466,stately,2.363553383738294,-0.4865,-5.5533
28,Topic2,0.13846248848648451,manor,2.3598636578197243,-0.4937,-5.562
54,Topic2,0.13941639564960226,use,2.3794183967256792,-0.4951,-5.5552
55,Topic2,0.13746727694076993,wall,2.382646410991443,-0.5105,-5.5692
57,Topic2,0.1290152611342514,waterway,2.3603231539616574,-0.5646,-5.6327
39,Topic2,0.15013064061061382,road,2.9178362960641753,-0.625,-5.4811
43,Topic2,0.14724461846431444,site,3.3428731742737234,-0.7804,-5.5005
45,Topic2,0.14079038612467565,space,3.3430853858013068,-0.8253,-5.5454
37,Topic2,0.15004107288770022,property,6.234655963043387,-1.3849,-5.4817
