term,Topic,Freq,Term
0,1,0.9798454545443114,architecture
1,1,0.18373367328464799,area
1,2,0.551201019853944,area
1,3,0.18373367328464799,area
2,2,0.8519052947495694,atmospheric
3,2,0.8668411986240063,bank
4,1,0.9482251900505945,building
4,3,0.059264074378162154,building
5,1,0.8553574082278195,chateau
6,1,0.8502084852571652,church
7,1,0.7063523874383218,city
7,3,0.17658809685958046,city
8,1,1.0016155146489403,classical
9,2,0.9249661024815871,cloud
10,2,1.0122285497985446,environment
11,1,0.9222229502116028,estate
12,1,1.0078838719720349,facade
13,2,0.8586686454299268,field
14,1,0.38177979661274797,grass
14,2,0.6362996610212467,grass
15,2,0.857510038448923,grassland
16,1,1.009846387282475,home
17,1,0.9213049347103894,house
18,1,0.8586621477297971,human
19,2,0.9680604776751892,land
20,1,0.971369971190921,landmark
21,2,0.9329969194746702,landscape
22,2,0.4885137357913077,lane
22,3,0.4885137357913077,lane
23,2,0.9693840210664669,lot
24,1,0.9229490654313575,mansion
25,1,0.8587617492414723,medieval
26,2,0.8711127800248695,morning
27,2,0.9845745687905559,natural
28,2,0.8600498229274983,nature
29,1,0.852533073051145,neighbourhood
30,1,0.9942580830142038,official
31,1,1.0092854489242744,palace
32,1,0.8524228899596616,parish
33,2,0.9600098260139088,pasture
34,2,0.8619832421231105,phenomenon
35,1,0.8558246381654298,place
36,2,0.8599816316948925,plain
37,1,0.9508655496256985,property
38,2,0.8595477299592239,reserve
39,1,0.9919453840402987,residence
40,2,0.8643547660085278,river
41,2,0.539160682740957,road
41,3,0.2695803413704785,road
42,2,0.9308358664166267,rural
43,1,0.8535001992130297,settlement
44,1,0.22874951604739532,sky
44,2,0.8006233061658836,sky
45,1,0.9989037090942378,stately
46,1,0.5285894558662356,street
46,3,0.5285894558662356,street
47,1,0.5301413110068554,town
47,3,0.2650706555034277,town
48,1,0.37391501820978784,tree
48,2,0.5982640291356606,tree
49,2,0.898083954672445,water
50,1,0.30659510966277237,waterway
50,2,0.6131902193255447,waterway
51,2,0.9864959947319003,wetland
52,2,0.9214007902672269,winter
53,1,0.8537660226446349,worship
