topic,Freq,cluster,topics,x,y
5,77.14590225001095,1,1,0.20906922278655893,-0.11497463751012106
8,14.412685536642089,1,2,-0.26436879129223856,-0.04174206553052634
2,4.320322544053652,1,3,0.08145839971579771,0.15485317048542374
7,3.5878521867111104,1,4,0.007092679962975579,0.03404566098915271
9,0.08887291376370032,1,5,0.00022471696499426814,-0.006164650160192234
6,0.08887291376370032,1,6,-0.007188114263416594,-0.002428092824520782
4,0.08887291376370032,1,7,-0.0025261172264994906,-0.007973681567209593
3,0.08887291376370032,1,8,-0.01550271744648896,-0.004886930505311765
1,0.08887291376370032,1,9,-0.007080234245872998,-0.0037570879858657303
0,0.08887291376370032,1,10,-0.0011790449558097718,-0.006971685390829139
