term,Category,Freq,Term,Total,loglift,logprob
1,Default,83.0,architecture,83.0,30.0,30.0
6,Default,51.0,building,51.0,29.0,29.0
41,Default,30.0,landmark,30.0,28.0,28.0
37,Default,27.0,house,27.0,27.0,27.0
25,Default,23.0,estate,23.0,26.0,26.0
36,Default,20.0,home,20.0,25.0,25.0
64,Default,19.0,property,19.0,24.0,24.0
49,Default,17.0,medieval,17.0,23.0,23.0
26,Default,16.0,facade,16.0,22.0,22.0
15,Default,20.0,city,20.0,21.0,21.0
88,Default,16.0,town,16.0,20.0,20.0
2,Default,17.0,area,17.0,19.0,19.0
57,Default,13.0,palace,13.0,18.0,18.0
83,Default,13.0,stately,13.0,17.0,17.0
47,Default,13.0,mansion,13.0,16.0,16.0
90,Default,20.0,tree,20.0,15.0,15.0
16,Default,12.0,classical,12.0,14.0,14.0
76,Default,16.0,sky,16.0,13.0,13.0
66,Default,9.0,real,9.0,12.0,12.0
99,Default,8.0,worship,8.0,11.0,11.0
62,Default,8.0,place,8.0,10.0,10.0
91,Default,7.0,urban,7.0,9.0,9.0
38,Default,7.0,human,7.0,8.0,8.0
74,Default,7.0,settlement,7.0,7.0,7.0
52,Default,10.0,natural,10.0,6.0,6.0
14,Default,6.0,church,6.0,5.0,5.0
35,Default,6.0,historic,6.0,4.0,4.0
13,Default,6.0,chateau,6.0,3.0,3.0
97,Default,8.0,water,8.0,2.0,2.0
10,Default,5.0,cathedral,5.0,1.0,1.0
41,Topic1,29.888117685230153,landmark,30.345109189206674,0.2443,-2.9738
25,Topic1,23.163526306890848,estate,23.61444058253807,0.2402,-3.2286
37,Topic1,26.84149254691611,house,27.420450563948847,0.2381,-3.0813
64,Topic1,19.339901194562547,property,19.77125988715813,0.2374,-3.409
36,Topic1,20.299663239882435,home,20.75849250681407,0.2371,-3.3606
1,Topic1,81.36051971808281,architecture,83.28141428666656,0.2361,-1.9723
49,Topic1,17.404851318954304,medieval,17.850313269027314,0.2342,-3.5145
26,Topic1,16.415430792819564,facade,16.878453303369863,0.2317,-3.573
47,Topic1,12.647242185141947,mansion,13.092311125865297,0.2249,-3.8338
83,Topic1,12.616088020728174,stately,13.075626678674837,0.2237,-3.8362
57,Topic1,12.625656843503934,palace,13.089148204137887,0.2234,-3.8355
16,Topic1,11.664326542441973,classical,12.127464823465143,0.2205,-3.9147
6,Topic1,49.60777331279628,building,51.619368333983786,0.2197,-2.4671
66,Topic1,8.798811653939728,real,9.238819158490902,0.2107,-4.1966
99,Topic1,7.85121051321976,worship,8.283610030816611,0.2059,-4.3105
62,Topic1,7.844314134245699,place,8.279573046618056,0.2055,-4.3114
38,Topic1,6.838121399238032,human,7.286475977060012,0.196,-4.4487
91,Topic1,6.845816950134317,urban,7.297564248256166,0.1956,-4.4476
74,Topic1,6.827372135786952,settlement,7.278525657745791,0.1955,-4.4503
35,Topic1,5.925162581982899,historic,6.359286110295586,0.1888,-4.592
