term,Topic,Freq,Term
0,1,0.8015909291138521,abbey
1,1,0.9726059612915121,architecture
1,3,0.012007481003598915,architecture
1,4,0.012007481003598915,architecture
2,1,0.7516972155806195,area
2,2,0.23129145094788292,area
3,2,0.9949474396265775,bank
4,1,0.7958150134953222,baptistery
5,2,0.8621488915343795,body
6,1,0.9686286681482371,building
6,3,0.019372573362964742,building
6,4,0.019372573362964742,building
7,1,0.7920345203611011,byzantine
8,1,0.798956942534009,campus
9,1,0.7894338776377579,castle
10,1,0.9255567539175896,cathedral
11,3,0.535923371836086,centre
11,4,0.535923371836086,centre
12,1,0.7952659648881609,chapel
13,1,0.9407448346959164,chateau
14,1,0.9401857071509281,church
15,1,0.9129881128594747,city
15,3,0.04805200593997235,city
15,4,0.04805200593997235,city
16,1,0.9894895738457625,classical
17,2,0.6723596480430266,cloud
17,4,0.3361798240215133,cloud
18,1,0.792085941904683,college
20,1,0.4614920380623167,design
20,4,0.4614920380623167,design
21,2,0.8595626524899767,ditch
22,1,0.8511026597690066,dome
23,2,0.9914883181501531,environment
24,3,0.5251007550067898,equipment
25,1,0.9739803032644176,estate
26,1,0.9479541586198259,facade
27,2,0.9421120882456768,farm
28,2,0.8677847146247003,field
29,3,0.5310202426103737,flooring
29,4,0.5310202426103737,flooring
30,1,0.6333816784196218,freezing
30,4,0.3166908392098109,freezing
31,2,0.8575784739482366,geological
32,1,0.8567557122039188,gothic
33,2,0.9140117554158217,grass
34,2,0.9980480637128343,grassland
35,1,0.9435021315185195,historic
36,1,0.9634610987977528,home
37,1,0.9846665333609931,house
38,1,0.9606838781927062,human
39,1,0.46105462641879746,interior
39,4,0.46105462641879746,interior
40,2,0.8170654684924875,land
41,1,0.9886271890783169,landmark
42,2,0.8671294673326075,landscape
42,4,0.1238756381903725,landscape
43,3,0.5255455102321424,leisure
43,4,0.2627727551160712,leisure
44,1,0.8599136068533153,lighting
45,2,0.8198360457337789,lot
46,1,0.8997550519287484,manor
47,1,0.9929492108018326,mansion
48,2,0.8754301761723167,meadow
49,1,0.9523642383070822,medieval
50,1,0.8680037439270144,metropolitan
51,1,0.906427474599403,mixed
52,2,0.9990530134740466,natural
53,2,0.9892240166366075,nature
54,1,0.9349367805133516,neighbourhood
55,1,0.8557111500838042,night
56,1,0.859070481064263,official
57,1,0.9931891515973741,palace
58,2,0.4759169409752454,park
58,4,0.4759169409752454,park
59,2,1.0009102124665488,pasture
60,1,0.7940207662356377,pedestrian
61,2,0.676937480129088,phenomenon
61,4,0.338468740064544,phenomenon
62,1,0.9662333981421599,place
63,3,0.5151684951039253,plaza
64,1,0.9609908578633838,property
65,1,0.7820052736308359,public
65,3,0.19550131840770898,public
66,1,0.9741504672411067,real
67,2,0.9519216486421984,reserve
68,1,0.85727312934457,residence
69,1,0.8629343134375581,residential
70,2,0.8583505479626183,resources
71,1,0.4568647621864533,roof
71,4,0.4568647621864533,roof
72,3,0.5306871974117097,room
72,4,0.5306871974117097,room
73,2,0.8208552965291218,rural
74,1,0.9617332313104667,settlement
75,1,0.9260324018210732,site
76,1,0.8111236764593969,sky
76,2,0.12478825791683029,sky
76,4,0.062394128958415146,sky
77,1,0.7292537029591646,snow
77,4,0.24308456765305483,snow
78,1,0.7860138969171113,space
78,3,0.19650347422927783,space
79,1,0.8571723507902693,spire
80,3,0.7719755844217742,sport
81,2,0.8551296496749424,spring
82,3,0.5250173780689037,square
83,1,0.9942162100117024,stately
84,1,0.7884974489139575,steeple
85,1,0.857450677722909,street
86,2,0.4773967507022992,table
86,4,0.4773967507022992,table
87,1,0.6261359079761346,tourism
87,3,0.2087119693253782,tourism
88,1,0.8413804207079321,town
88,3,0.180295804437414,town
89,1,0.45486578737972877,travel
89,3,0.45486578737972877,travel
90,1,0.6298737719931089,tree
90,2,0.2907109716891272,tree
90,4,0.04845182861485453,tree
91,1,0.9592241687591483,urban
92,1,0.9061954240515517,use
93,3,0.5163699817521069,vacation
94,1,0.7908472067264976,vehicle
95,3,0.5288196734210908,venue
96,1,0.901129785735556,wall
97,2,0.9577070278416479,water
98,1,0.6328805549697607,winter
98,4,0.31644027748488035,winter
99,1,0.9657625081623197,worship
