term,Category,Freq,Term,Total,loglift,logprob
5,Default,114.0,area,114.0,30.0,30.0
22,Default,336.0,building,336.0,29.0,29.0
4,Default,466.0,architecture,466.0,28.0,28.0
193,Default,102.0,water,102.0,27.0,27.0
67,Default,83.0,garden,83.0,26.0,26.0
181,Default,138.0,tree,138.0,25.0,25.0
108,Default,108.0,natural,108.0,24.0,24.0
32,Default,105.0,city,105.0,23.0,23.0
115,Default,139.0,palace,139.0,22.0,22.0
97,Default,134.0,mansion,134.0,21.0,21.0
157,Default,170.0,sky,170.0,20.0,20.0
72,Default,87.0,grass,87.0,19.0,19.0
18,Default,54.0,botany,54.0,18.0,18.0
82,Default,192.0,house,192.0,17.0,17.0
183,Default,45.0,urban,45.0,16.0,16.0
109,Default,61.0,nature,61.0,15.0,15.0
89,Default,77.0,landscape,77.0,14.0,14.0
50,Default,218.0,estate,218.0,13.0,13.0
166,Default,84.0,stately,84.0,12.0,12.0
88,Default,207.0,landmark,207.0,11.0,11.0
159,Default,32.0,space,32.0,10.0,10.0
179,Default,87.0,town,87.0,9.0,9.0
134,Default,32.0,public,32.0,8.0,8.0
142,Default,42.0,residential,42.0,7.0,7.0
80,Default,126.0,home,126.0,6.0,6.0
151,Default,43.0,settlement,43.0,5.0,5.0
83,Default,43.0,human,43.0,4.0,4.0
141,Default,62.0,residence,62.0,3.0,3.0
113,Default,62.0,official,62.0,2.0,2.0
31,Default,54.0,church,54.0,1.0,1.0
31,Topic1,53.80264119932704,church,54.858222378359734,1.1261,-3.5372
122,Topic1,52.39288114052407,place,53.4217795584831,1.1261,-3.5637
200,Topic1,52.392226624527154,worship,53.42538313276976,1.126,-3.5637
28,Topic1,40.39235595664307,cathedral,41.38291739382441,1.1213,-3.8239
179,Topic1,84.63062954766507,town,87.09104309307331,1.1169,-3.0842
167,Topic1,23.70794992463915,steeple,24.67658231159473,1.1055,-4.3567
178,Topic1,27.444270924298717,tower,28.598154502250402,1.1043,-4.2103
135,Topic1,33.852061275128754,real,35.75817715341587,1.0907,-4.0005
47,Topic1,9.601279332727577,downtown,10.55386730633113,1.0509,-5.2606
169,Topic1,9.492505422083566,street,10.482081790788797,1.0464,-5.272
160,Topic1,8.972680846535157,spire,9.916232064237827,1.0455,-5.3283
70,Topic1,8.50459049509411,gothic,9.424726845485432,1.0428,-5.3819
29,Topic1,8.27554700674442,chapel,9.247313498497672,1.0345,-5.4092
164,Topic1,7.4605500019743385,square,8.387784592246298,1.0284,-5.5129
100,Topic1,57.763574404534005,medieval,65.14094693677664,1.0253,-3.4661
147,Topic1,15.203501549436302,roof,17.196822462408356,1.0223,-4.801
20,Topic1,5.66069610026852,brick,6.624855832390946,0.9882,-5.7889
3,Topic1,5.361238973932047,arch,6.302976902264041,0.9837,-5.8433
1,Topic1,4.455978280847182,almshouse,5.389261768624039,0.9554,-6.0282
116,Topic1,3.3241891610449676,parish,4.249020958736176,0.9001,-6.3213
155,Topic1,15.282912238980844,site,19.9858314912272,0.8772,-4.7958
40,Topic1,7.08262931883014,cottage,9.773584458066328,0.8235,-5.5649
134,Topic1,23.122280640344112,public,32.367285772700704,0.8092,-4.3817
159,Topic1,23.113495870618753,space,32.37307814145968,0.8086,-4.3821
52,Topic1,72.74880762743558,facade,102.60630405989133,0.8016,-3.2355
154,Topic1,2.155910309889857,siding,3.077012816801953,0.7898,-6.7543
55,Topic1,2.0980185154034197,farmhouse,3.047446711063478,0.7722,-6.7815
23,Topic1,1.8986722997831749,byzantine,2.8985726640238734,0.7225,-6.8813
104,Topic1,7.012502237880575,mixed,10.905133758493179,0.704,-5.5748
184,Topic1,6.948873982289545,use,10.911953491378839,0.6942,-5.5839
110,Topic1,24.55938846749476,neighbourhood,39.25794327981348,0.6765,-4.3214
32,Topic1,64.31698074569898,city,105.21350126391897,0.6534,-3.3587
4,Topic1,240.08114642643392,architecture,466.4413739493574,0.4814,-2.0415
22,Topic1,166.46015528077785,building,336.24890343618273,0.4424,-2.4077
88,Topic1,101.14546134606967,landmark,207.75084343347157,0.4257,-2.9059
157,Topic1,81.93016702544368,sky,170.2191868688727,0.4143,-3.1166
83,Topic1,23.51809385037717,human,43.055923117215436,0.5408,-4.3647
151,Topic1,23.515012389448867,settlement,43.061668482919394,0.5405,-4.3649
133,Topic1,56.35351629595429,property,155.82336043924383,0.1285,-3.4909
142,Topic1,21.301753928837215,residential,42.603047105795696,0.4524,-4.4637
82,Topic1,54.80012943126351,house,192.19403767193418,-0.1093,-3.5188
50,Topic1,58.83934059422746,estate,218.26001794985086,-0.1653,-3.4477
5,Topic1,35.81622229371331,area,114.15628116035184,-0.0136,-3.9441
181,Topic1,34.73172648474784,tree,138.18875713095483,-0.2354,-3.9748
34,Topic1,26.140310878038115,classical,81.59098597886117,0.0073,-4.259
78,Topic1,16.05557856413243,historic,31.846859398025586,0.4606,-4.7464
80,Topic1,29.95169929181106,home,126.41451875335764,-0.2945,-4.1229
113,Topic2,61.473183855371005,official,62.46143803083543,1.1446,-3.3889
141,Topic2,61.46994813210194,residence,62.46664707647146,1.1444,-3.389
115,Topic2,136.72406615201677,palace,139.35482404136954,1.1415,-2.5895
166,Topic2,83.0543848433746,stately,84.88275257483187,1.1387,-3.088
97,Topic2,131.67495170913037,mansion,134.80211369728514,1.137,-2.6272
132,Topic2,19.66506387635847,presidential,20.57863068458355,1.1151,-4.5287
96,Topic2,29.749185499436745,manor,31.45616029379052,1.1047,-4.1147
30,Topic2,57.04430592147886,chateau,60.72649556881775,1.098,-3.4637
42,Topic2,10.657184875768888,courthouse,11.627579008471578,1.0734,-5.1413
27,Topic2,9.06159864173618,castle,10.033224954755468,1.0587,-5.3035
177,Topic2,6.182654840215552,tourist,7.111234958806105,1.0206,-5.6858
8,Topic2,6.183475090040084,attraction,7.116583438439962,1.02,-5.6856
36,Topic2,6.008313917846514,college,7.011698954882866,1.0061,-5.7144
62,Topic2,3.1260524161355017,fortification,4.045606404670667,0.9026,-6.3677
150,Topic2,2.9098274057515914,seat,3.834161683943787,0.8847,-6.4394
94,Topic2,2.9056458215603587,local,3.8333038649257496,0.8834,-6.4409
80,Topic2,95.58948562932271,home,126.41451875335764,0.881,-2.9475
71,Topic2,2.9088656055419584,government,3.848659659835372,0.8805,-6.4398
50,Topic2,154.60887618204967,estate,218.26001794985086,0.8157,-2.4666
82,Topic2,134.32652487597866,house,192.19403767193418,0.8023,-2.6072
34,Topic2,54.62182387900289,classical,81.59098597886117,0.7592,-3.5071
133,Topic2,93.73646966404186,property,155.82336043924383,0.6523,-2.967
22,Topic2,163.23957535288227,building,336.24890343618273,0.4379,-2.4123
88,Topic2,100.59111596865077,landmark,207.75084343347157,0.4352,-2.8965
78,Topic2,14.977560138299658,historic,31.846859398025586,0.4061,-4.801
105,Topic2,3.255513173950618,monument,7.173061046313238,0.3705,-6.3272
192,Topic2,3.973469860957676,wall,8.876666917239193,0.3567,-6.1279
4,Topic2,205.0821072337321,architecture,466.4413739493574,0.3388,-2.1841
128,Topic2,3.477655934642299,plaza,9.973499400705789,0.1069,-6.2612
52,Topic2,29.005859422314263,facade,102.60630405989133,-0.1029,-4.14
181,Topic2,30.35777518706717,tree,138.18875713095483,-0.3551,-4.0945
157,Topic2,34.54487495206164,sky,170.2191868688727,-0.4343,-3.9653
32,Topic2,18.81940900796027,city,105.21350126391897,-0.5606,-4.5726
72,Topic2,12.268366702183869,grass,87.52724221173503,-0.8044,-5.0005
100,Topic2,6.555769151363618,medieval,65.14094693677664,-1.1357,-5.6272
155,Topic2,3.882245905336731,site,19.9858314912272,-0.4781,-6.1511
91,Topic3,23.785824976802267,lawn,24.879326247287587,2.0156,-3.4384
119,Topic3,14.318165371236672,pasture,15.270696977632433,1.9961,-3.9459
153,Topic3,12.56289764391251,shrub,13.507666514547726,1.988,-4.0767
99,Topic3,11.998499495339578,meadow,12.920145545730621,1.9865,-4.1227
90,Topic3,10.80066129501464,landscaping,11.767866987449217,1.9748,-4.2279
59,Topic3,10.279553734710785,field,11.247593214816428,1.9706,-4.2773
124,Topic3,8.967905918330839,plain,9.905891978780957,1.9611,-4.4138
201,Topic3,8.995504785472429,yard,9.936662453470513,1.961,-4.4107
73,Topic3,21.748479169162287,grassland,24.680013858628328,1.9341,-3.5279
61,Topic3,5.0480957174893035,flower,5.9916964295479405,1.8892,-4.9885
148,Topic3,16.312187325061032,rural,19.363222735022152,1.8891,-3.8156
131,Topic3,4.51297839439931,prairie,5.442799119291099,1.8732,-5.1005
163,Topic3,7.3802217867826325,spring,9.267584024565304,1.8328,-4.6087
120,Topic3,3.6721025759026875,phenomenon,4.6223397762312235,1.8304,-5.3067
53,Topic3,9.965751902712965,family,12.742201683405455,1.8148,-4.3083
54,Topic3,2.9736210076063943,farm,3.8981877739373028,1.7898,-5.5177
125,Topic3,23.245379678433434,plant,30.78413508967132,1.7797,-3.4614
72,Topic3,65.257384674803,grass,87.52724221173503,1.7669,-2.4291
87,Topic3,23.352092871953317,land,31.539334973535087,1.76,-3.4568
95,Topic3,23.35942939689576,lot,32.24498891951943,1.7382,-3.4565
76,Topic3,2.3491743126279077,groundcover,3.281505959942429,1.7263,-5.7534
43,Topic3,2.1468296120197317,crop,3.0817354486965094,1.6991,-5.8435
44,Topic3,2.088707318469072,cumulus,3.0152329368876747,1.6934,-5.8709
152,Topic3,2.0878494358337085,shed,3.024036110728825,1.6901,-5.8713
191,Topic3,2.0759009312688184,walkway,3.00981534570571,1.6891,-5.8771
7,Topic3,1.9160641484131415,atmospheric,2.8322752058366607,1.6697,-5.9572
19,Topic3,1.911477702760865,bovine,2.828404695273587,1.6687,-5.9596
74,Topic3,1.9147727468232265,grazing,2.8406547855858184,1.6661,-5.9579
199,Topic3,1.882922083997512,woody,2.808314444305295,1.6608,-5.9746
106,Topic3,5.778050975892285,morning,8.65072325360686,1.657,-4.8534
17,Topic3,18.987990784008794,botanical,30.52183242829734,1.5859,-3.6637
89,Topic3,46.04169247252646,landscape,77.21643754491761,1.5435,-2.7779
108,Topic3,56.320459354717705,natural,108.21404942399522,1.4075,-2.5764
67,Topic3,42.79819942576388,garden,83.95510369852012,1.3868,-2.851
48,Topic3,19.58027810768141,environment,43.15985971087875,1.2702,-3.6329
117,Topic3,12.290171896295536,park,27.558608119662395,1.253,-4.0987
18,Topic3,20.45595255431943,botany,54.38282276007408,1.0828,-3.5892
35,Topic3,13.582325300535633,cloud,33.25153642745601,1.1652,-3.9987
75,Topic3,4.83097226609744,green,9.364695391511392,1.3987,-5.0324
186,Topic3,10.029224050869948,vegetation,28.984812448821177,0.9993,-4.302
181,Topic3,27.0467773307463,tree,138.18875713095483,0.4295,-3.3099
109,Topic3,16.12274011699469,nature,61.85994863866824,0.7159,-3.8272
157,Topic3,29.80492775588284,sky,170.2191868688727,0.3181,-3.2128
139,Topic3,10.056001932114645,reserve,30.650828581942722,0.9461,-4.2993
5,Topic3,15.329851435542153,area,114.15628116035184,0.0528,-3.8777
98,Topic4,22.713675592752224,marsh,23.623190672394813,2.3751,-3.1307
9,Topic4,22.180869771822223,bank,23.1583603905734,2.3713,-3.1544
16,Topic4,14.485632772969483,body,15.41711232627925,2.3521,-3.5805
195,Topic4,13.12954036989779,waterway,14.08880947379838,2.3439,-3.6788
64,Topic4,8.549861186090153,freshwater,9.474430776882768,2.3117,-4.1077
145,Topic4,13.838467232422815,river,15.653562634567566,2.2912,-3.6262
143,Topic4,22.424949944525785,resources,25.635866862641524,2.2806,-3.1435
144,Topic4,6.116559661435929,riparian,7.052691918574173,2.272,-4.4426
202,Topic4,6.11365649052435,zone,7.049892783502636,2.2719,-4.4431
86,Topic4,6.031841732683799,lake,6.967406329865906,2.2702,-4.4566
196,Topic4,5.859409597304632,wetland,6.7712023064869395,2.2698,-4.4856
168,Topic4,4.474090422074068,stream,5.406730428494247,2.2251,-4.7553
194,Topic4,11.953078762554487,watercourse,14.93235117986804,2.1919,-3.7726
149,Topic4,3.1100401236756863,salt,4.029643352970607,2.1554,-5.119
175,Topic4,2.8959282783809566,tidal,3.8185436274755826,2.1378,-5.1903
60,Topic4,2.7959086106068636,fish,3.735385082002342,2.1247,-5.2255
57,Topic4,4.941784511647043,fen,6.773229442388289,2.0991,-4.6559
109,Topic4,44.87643952475562,nature,61.85994863866824,2.0934,-2.4497
193,Topic4,69.54738093551605,water,102.2893360489311,2.0286,-2.0116
25,Topic4,1.970430206616903,canal,2.9011517581234667,2.0275,-5.5754
138,Topic4,6.885975920037623,reflection,10.569005027263175,1.986,-4.3241
139,Topic4,19.765042730356686,reserve,30.650828581942722,1.9757,-3.2697
