term,Topic,Freq,Term
0,5,0.9204751719215563,aerial
1,1,0.7422166841640095,almshouse
2,1,0.26748770489059426,apartment
2,5,0.26748770489059426,apartment
3,1,0.7932759515910633,arch
4,1,0.5145341159767215,architecture
4,2,0.4394978907301163,architecture
4,3,0.0021438921499030063,architecture
4,6,0.03644616654835111,architecture
4,7,0.006431676449709019,architecture
5,1,0.3153571545435323,area
5,3,0.13139881439313847,area
5,5,0.5431150994916389,area
6,8,0.5840922806951799,asphalt
7,3,0.7061460679662996,atmospheric
8,2,0.843101194822114,attraction
9,4,0.9499808979980764,bank
11,7,0.7373745986295474,basketball
12,4,0.36721907743973864,bicycle
12,9,0.36721907743973864,bicycle
13,3,0.35179668180062845,biome
13,4,0.46906224240083794,biome
14,4,0.12374804869596054,bird
14,5,0.8043623165237436,bird
15,5,0.7064146848589663,block
16,4,0.9080818575951016,body
17,3,0.6225052196533507,botanical
17,6,0.36039775874667673,botanical
18,1,0.018388159151131157,botany
18,3,0.3677631830226232,botany
18,6,0.588421092836197,botany
19,3,0.7071123885991651,bovine
20,1,0.9056800859973685,brick
21,1,0.7168903294400572,brickwork
22,1,0.4936819073716487,building
22,2,0.48475994519023335,building
22,6,0.005947974787610225,building
22,8,0.008921962181415338,building
23,1,0.6899947773686474,byzantine
24,5,0.26346324277827443,campus
24,9,0.26346324277827443,campus
25,4,0.689381379102225,canal
26,8,0.9228127183965182,car
27,2,0.8970196562506307,castle
28,1,0.9665824093390095,cathedral
29,1,0.8651161227852487,chapel
30,1,0.04940182982566938,chateau
30,2,0.9386347666877182,chateau
31,1,0.9843556290898284,church
32,1,0.6082869520657955,city
32,2,0.18058518889453307,city
32,5,0.16157622164247695,city
32,8,0.01900896725205611,city
32,9,0.01900896725205611,city
33,5,0.6393950962404903,cityscape
34,1,0.31866265235152513,classical
34,2,0.6740940722820724,classical
35,1,0.36088557971389024,cloud
35,3,0.4210331763328719,cloud
35,4,0.12029519323796341,cloud
35,7,0.09022139492847256,cloud
36,2,0.8557127222100244,college
37,1,0.5484783406516459,commercial
37,5,0.3656522271010973,commercial
38,3,0.5408372191104114,community
38,4,0.2704186095552057,community
39,5,0.7069548073806022,condominium
40,1,0.7162162490162721,cottage
40,3,0.20463321400464918,cottage
41,7,0.8438862318531551,court
42,2,0.9460266829393859,courthouse
43,3,0.6489849739846897,crop
44,3,0.6632986710686443,cumulus
45,1,0.38303404521696927,daytime
45,3,0.38303404521696927,daytime
45,4,0.09575851130424232,daytime
45,6,0.09575851130424232,daytime
46,5,0.9669989198024771,design
47,1,0.9475199668278118,downtown
48,3,0.4633935358913796,environment
48,4,0.5329025662750866,environment
49,9,0.7001413182952786,equipment
50,1,0.270319779839642,estate
50,2,0.7101621334770256,estate
50,3,0.018326764734890984,estate
51,5,0.9104614603145936,eye
52,1,0.7114572605343028,facade
52,2,0.28263370623965456,facade
53,3,0.7847937309784773,family
53,8,0.15695874619569544,family
54,3,0.769588376439316,farm
55,1,0.6562871116791581,farmhouse
56,6,0.8322520142508602,feature
57,3,0.1476400598127963,fen
57,4,0.7382002990639815,fen
58,7,0.7966878090088667,fence
59,3,0.88907909532388,field
60,4,0.8031300479445773,fish
61,3,0.8344882052673083,flower
62,2,0.7415451974113174,fortification
63,6,0.9391209195566214,fountain
64,4,0.9499251418839473,freshwater
65,6,0.49579930574968545,fun
65,7,0.24789965287484272,fun
66,7,0.27929987800202993,furniture
66,9,0.27929987800202993,furniture
67,3,0.5121785109623772,garden
67,6,0.47644512647662995,garden
68,3,0.7095259940610886,geological
69,7,0.7382704645395993,goal
70,1,0.9549348376405326,gothic
71,2,0.7794921518543227,government
72,1,0.011425014369593917,grass
72,2,0.137100172435127,grass
72,3,0.7426259340236047,grass
72,4,0.04570005747837567,grass
72,7,0.04570005747837567,grass
72,9,0.011425014369593917,grass
73,3,0.8914095480667092,grassland
73,4,0.08103723164242811,grassland
74,3,0.7040630245352206,grazing
75,3,0.5339201961157476,green
75,4,0.4271361568925981,green
76,3,0.6094762662064731,groundcover
77,3,0.7182668768487739,hill
78,1,0.5024043281640498,historic
78,2,0.47100405765379666,historic
80,1,0.23731451336323015,home
80,2,0.7594064427623365,home
81,3,0.3298916682072695,horizon
81,4,0.49483750231090423,horizon
82,1,0.28616912712912723,house
82,2,0.6972120551873281,house
82,3,0.0052030750387114045,house
82,9,0.0052030750387114045,house
83,1,0.5574145962371404,human
83,5,0.4180609471778553,human
83,9,0.023225608176547514,human
85,3,0.37968180285390535,infrastructure
85,8,0.37968180285390535,infrastructure
86,4,0.8611525890604224,lake
87,1,0.19023863391649345,land
87,3,0.7292480966798915,land
87,8,0.03170643898608224,land
88,1,0.4861592777713242,landmark
88,2,0.4861592777713242,landmark
88,6,0.024067290978778428,landmark
89,3,0.5957280789241451,landscape
89,4,0.3496664811076504,landscape
89,5,0.02590122082278892,landscape
89,9,0.01295061041139446,landscape
90,3,0.9347488386580023,landscaping
91,3,0.9646563480639492,lawn
92,3,0.7114893892219217,leaf
93,6,0.188789365156533,leisure
93,7,0.2831840477347995,leisure
93,9,0.377578730313066,leisure
94,2,0.782614711932864,local
95,1,0.18607542446286635,lot
95,3,0.7132891271076544,lot
95,8,0.062025141487622115,lot
96,1,0.03179027543922457,manor
96,2,0.9537082631767372,manor
97,1,0.014836562611260295,mansion
97,2,0.9792131323431795,mansion
98,4,0.9736195384849917,marsh
99,3,0.9287821067902229,meadow
100,1,0.8903769860191413,medieval
100,2,0.10745929141610326,medieval
101,5,0.7797302266007075,metropolis
102,5,0.9511520361257622,metropolitan
103,8,0.6938968383192521,mid
104,1,0.6418995085271864,mixed
104,5,0.27509978936879415,mixed
105,1,0.13941049623632762,monument
105,2,0.41823148870898286,monument
105,6,0.27882099247265524,monument
106,3,0.6935836257966456,morning
106,4,0.2311945419322152,morning
107,3,0.27288059474476517,mountain
107,4,0.27288059474476517,mountain
107,7,0.27288059474476517,mountain
108,3,0.5174928791416491,natural
108,4,0.46204721351932954,natural
108,5,0.00924094427038659,natural
109,3,0.25864877601916575,nature
109,4,0.7274496825539037,nature
110,1,0.63681379897594,neighbourhood
110,5,0.3566157274265264,neighbourhood
111,7,0.7340495596584877,net
112,1,0.6955114813856065,observation
113,2,0.9766025554820886,official
114,9,0.7977140694761323,outdoor
115,1,0.014351853362509147,palace
115,2,0.9831019553318766,palace
116,1,0.7060449993384633,parish
117,3,0.4354356340456212,park
117,6,0.36286302837135104,park
117,7,0.036286302837135104,park
117,9,0.14514521134854041,park
118,8,0.83554168818377,parking
119,3,0.9167885408574559,pasture
120,3,0.8653626071732352,phenomenon
121,5,0.9252454332472745,photography
122,1,0.9733857694327345,place
124,3,0.9085501860184388,plain
125,2,0.03248426493345007,plant
125,3,0.7471380934693517,plant
125,4,0.03248426493345007,plant
125,6,0.16242132466725037,plant
125,9,0.03248426493345007,plant
126,9,0.7701017581079282,play
127,9,0.8014480954592228,playground
128,1,0.6015942608444336,plaza
128,2,0.3007971304222168,plaza
129,4,0.6607845769407035,pond
129,6,0.33039228847035174,pond
130,6,0.6448886493026031,pool
130,7,0.2763808497011156,pool
131,3,0.918644963816197,prairie
132,2,0.9718819637004793,presidential
133,1,0.3593812881595159,property
133,2,0.6032471622677589,property
133,3,0.032087615014242496,property
134,1,0.710594028844974,public
134,6,0.06179078511695426,public
134,7,0.06179078511695426,public
134,9,0.15447696279238565,public
135,1,0.9508314658805834,real
135,8,0.027965631349428925,real
136,6,0.16380435710785188,recreation
136,7,0.16380435710785188,recreation
136,9,0.49141307132355566,recreation
137,6,0.8297218149985695,reflecting
138,4,0.6623140004137775,reflection
138,6,0.2838488573201904,reflection
139,3,0.32625545418016155,reserve
139,4,0.6525109083603231,reserve
140,4,0.4821369423141131,reservoir
140,6,0.24106847115705654,reservoir
141,2,0.9765211173464138,residence
142,1,0.4929224885687383,residential
142,5,0.4694499891130841,residential
143,4,0.858172657779715,resources
143,6,0.07801569616179227,resources
144,4,0.850738990058282,riparian
145,4,0.8943650929076028,river
145,7,0.06388322092197163,river
146,1,0.40572777767576595,road
146,3,0.2254043209309811,road
146,5,0.045080864186196216,road
146,7,0.18032345674478487,road
146,8,0.13524259255858864,road
147,1,0.8722541639764827,roof
147,3,0.058150277598432186,roof
148,1,0.10328859133467547,rural
148,3,0.8263087306774037,rural
149,4,0.7444827587008251,salt
150,2,0.7824396171301323,seat
151,1,0.5573402249733939,settlement
151,5,0.4180051687300454,settlement
151,9,0.023222509373891413,settlement
152,3,0.6613677637328143,shed
153,3,0.9624164163365323,shrub
154,1,0.6499810430034769,siding
155,1,0.7505316957457719,site
155,2,0.20014178553220585,site
156,8,0.7853027802473027,size
157,1,0.48173182770029443,sky
157,2,0.20561724353061347,sky
157,3,0.17624335159766868,sky
157,4,0.035248670319533736,sky
157,6,0.06462256225247852,sky
157,7,0.035248670319533736,sky
158,3,0.3862197967848172,soil
158,9,0.3862197967848172,soil
159,1,0.7104668854625927,space
159,6,0.06177972917066024,space
159,7,0.06177972917066024,space
159,9,0.15444932292665062,space
160,1,0.9076028013158193,spire
161,7,0.8556686981847806,sport
162,4,0.3318069149155774,sports
162,7,0.3318069149155774,sports
163,1,0.10790298715925643,spring
163,3,0.755320910114795,spring
164,1,0.8345469441920133,square
165,7,0.7414587030795549,stadium
166,1,0.011780956315223273,stately
166,2,0.9778193741635316,stately
167,1,0.9725820090054843,steeple
168,4,0.7398186487936267,stream
169,1,0.8586080684763224,street
170,5,0.9117442749125406,suburb
171,7,0.864126147177162,summer
172,7,0.3860487726736239,surface
172,8,0.3860487726736239,surface
173,7,0.7045223579870623,swimming
174,7,0.5211059866523777,thoroughfare
174,8,0.26055299332618886,thoroughfare
175,4,0.7856398388155337,tidal
176,1,0.5886787582098765,tourism
176,2,0.16819393091710758,tourism
