term,Category,Freq,Term,Total,loglift,logprob
3,Default,147.0,architecture,147.0,30.0,30.0
41,Default,61.0,house,61.0,29.0,29.0
25,Default,54.0,estate,54.0,28.0,28.0
48,Default,34.0,mansion,34.0,27.0,27.0
40,Default,32.0,home,32.0,26.0,26.0
65,Default,36.0,property,36.0,25.0,25.0
12,Default,98.0,building,98.0,24.0,24.0
44,Default,66.0,landmark,66.0,23.0,23.0
58,Default,38.0,palace,38.0,22.0,22.0
84,Default,24.0,stately,24.0,21.0,21.0
90,Default,31.0,town,31.0,20.0,20.0
28,Default,32.0,facade,32.0,19.0,19.0
77,Default,45.0,sky,45.0,18.0,18.0
19,Default,31.0,classical,31.0,17.0,17.0
4,Default,23.0,area,23.0,16.0,16.0
18,Default,35.0,city,35.0,15.0,15.0
16,Default,16.0,chateau,16.0,14.0,14.0
93,Default,32.0,tree,32.0,13.0,13.0
49,Default,17.0,medieval,17.0,12.0,12.0
36,Default,14.0,grass,14.0,11.0,11.0
57,Default,10.0,official,10.0,10.0,10.0
68,Default,10.0,residence,10.0,9.0,9.0
39,Default,11.0,historic,11.0,8.0,8.0
104,Default,11.0,winter,11.0,7.0,7.0
17,Default,10.0,church,10.0,6.0,6.0
94,Default,10.0,urban,10.0,5.0,5.0
47,Default,7.0,manor,7.0,4.0,4.0
69,Default,9.0,residential,9.0,3.0,3.0
78,Default,9.0,snow,9.0,2.0,2.0
82,Default,7.0,spring,7.0,1.0,1.0
41,Topic1,60.434554607277796,house,61.22096639091441,0.4148,-2.6385
25,Topic1,53.83845207477101,estate,54.61917114464328,0.4133,-2.7541
48,Topic1,34.10985233043254,mansion,34.850219159782654,0.4063,-3.2105
40,Topic1,32.16896085364032,home,32.917629113572886,0.4047,-3.2691
84,Topic1,23.70451617574282,stately,24.45851888252365,0.3964,-3.5744
58,Topic1,36.73873882058947,palace,38.52354150973728,0.3803,-3.1363
65,Topic1,34.9257370010378,property,36.66887175673486,0.379,-3.1869
16,Topic1,16.09616630463962,chateau,16.922829614579147,0.3776,-3.9615
68,Topic1,9.602798866428621,residence,10.322463901541724,0.3555,-4.478
57,Topic1,9.599172890408687,official,10.324633800511847,0.3549,-4.4784
47,Topic1,6.78037991706605,manor,7.479525170705847,0.3296,-4.826
22,Topic1,4.8753407179977915,courthouse,5.595312402389417,0.29,-5.1559
5,Topic1,4.869416438193441,attraction,5.606045852284936,0.2869,-5.1571
88,Topic1,4.859811317013258,tourist,5.61209918314836,0.2838,-5.1591
14,Topic1,4.877858792559909,castle,5.636899842740834,0.2831,-5.1554
19,Topic1,27.13740456733382,classical,31.80199435245297,0.2691,-3.4392
53,Topic1,3.931665901635048,monument,4.638106060324115,0.2625,-5.371
1,Topic1,3.913989323836023,almshouse,4.667032654173555,0.2518,-5.3755
