term,Category,Freq,Term,Total,loglift,logprob
17,Default,194.0,building,194.0,30.0,30.0
57,Default,70.0,garden,70.0,29.0,29.0
173,Default,109.0,water,109.0,28.0,28.0
98,Default,115.0,natural,115.0,27.0,27.0
42,Default,121.0,estate,121.0,26.0,26.0
68,Default,77.0,home,77.0,25.0,25.0
102,Default,70.0,palace,70.0,24.0,24.0
87,Default,68.0,mansion,68.0,23.0,23.0
70,Default,96.0,house,96.0,22.0,22.0
161,Default,58.0,town,58.0,21.0,21.0
1,Default,277.0,architecture,277.0,20.0,20.0
63,Default,74.0,grass,74.0,19.0,19.0
165,Default,100.0,tree,100.0,18.0,18.0
14,Default,44.0,botany,44.0,17.0,17.0
2,Default,60.0,area,60.0,16.0,16.0
28,Default,70.0,city,70.0,15.0,15.0
77,Default,83.0,landscape,83.0,14.0,14.0
149,Default,49.0,stately,49.0,13.0,13.0
147,Default,50.0,spring,50.0,12.0,12.0
111,Default,51.0,plant,51.0,11.0,11.0
41,Default,45.0,environment,45.0,10.0,10.0
118,Default,36.0,public,36.0,9.0,9.0
144,Default,36.0,space,36.0,8.0,8.0
64,Default,31.0,grassland,31.0,7.0,7.0
76,Default,126.0,landmark,126.0,6.0,6.0
130,Default,16.0,road,16.0,5.0,5.0
117,Default,63.0,property,63.0,4.0,4.0
26,Default,31.0,chateau,31.0,3.0,3.0
99,Default,50.0,nature,50.0,2.0,2.0
71,Default,31.0,human,31.0,1.0,1.0
102,Topic1,69.28070287191214,palace,70.30575606038374,1.1254,-2.9108
87,Topic1,67.52229960991494,mansion,68.6203857797028,1.1239,-2.9365
149,Topic1,48.521655276524264,stately,49.353072296998874,1.1231,-3.267
68,Topic1,75.44941211870699,home,77.03566636916267,1.1192,-2.8255
26,Topic1,30.4765902403222,chateau,31.249685881968237,1.115,-3.732
101,Topic1,26.57349413304408,official,27.370021792430162,1.1105,-3.8691
126,Topic1,26.57344800495493,residence,27.371640992324,1.1105,-3.8691
