term,Topic,Freq,Term
0,5,0.3856470647663209,aerial
1,1,0.5037887924051776,architecture
1,2,0.32746271506336544,architecture
1,3,0.15833362047019867,architecture
1,4,0.007196982748645394,architecture
2,3,0.8572565882742988,area
2,5,0.13188562896527675,area
3,4,0.16361770629089809,asphalt
3,6,0.6544708251635923,asphalt
3,7,0.16361770629089809,asphalt
4,5,0.7752637586607298,atmospheric
5,1,0.6021609388448633,attraction
5,3,0.30108046942243166,attraction
6,2,0.9568811534527006,bank
7,2,0.8262353451829795,biome
8,5,0.38684846422049735,bird
9,3,0.845618836754628,block
10,4,0.8347034417606524,blossom
11,2,0.39975059864985046,boardwalk
11,6,0.39975059864985046,boardwalk
12,2,0.9763643268884429,body
13,4,0.9592666672437522,botanical
14,1,0.022222739128030154,botany
14,4,0.9555777825052967,botany
15,5,0.9152340696408465,bovine
16,4,0.9300325530788021,branch
17,1,0.6172197455253633,building
17,2,0.1337309448638287,building
17,3,0.22117040881325517,building
17,4,0.01543049363813408,building
17,7,0.010286995758756055,building
18,7,0.7581241775610685,business
19,1,0.19132216739754934,campus
19,3,0.573966502192648,campus
20,2,0.9088757021104562,canal
21,5,0.7698349729474108,canola
22,7,0.8044329553557744,car
23,1,0.9347152302537479,castle
24,1,0.0761165316720461,cathedral
24,2,0.9133983800645532,cathedral
25,1,0.8082425538193397,chapel
26,1,0.9600096498029335,chateau
27,1,0.3859528166818407,church
27,2,0.6064972833571783,church
28,1,0.2538152350869216,city
28,2,0.0846050783623072,city
28,3,0.6486389341110218,city
28,7,0.014100846393717866,city
29,1,0.36601446799799225,classical
29,2,0.6100241133299871,classical
30,2,0.11318147554797582,cloud
30,3,0.22636295109595164,cloud
30,5,0.5659073777398791,cloud
31,3,0.6529875675679765,college
32,5,0.8142139767759425,community
33,3,0.707947964113404,condominium
34,1,0.825195498443044,cottage
35,1,0.9070587518823822,courthouse
36,3,0.3018293189017249,daytime
36,4,0.22637198917629364,daytime
36,5,0.3018293189017249,daytime
36,6,0.07545732972543122,daytime
37,3,0.4820012401472097,design
38,8,0.42711555803319834,door
39,3,0.8090766471354439,downtown
40,5,0.869205466332998,ecoregion
41,2,0.36972071203042745,environment
41,5,0.6089517609912923,environment
42,1,0.8569657868888645,estate
42,3,0.05768038950213511,estate
42,4,0.07416050078845943,estate
42,6,0.008240055643162159,estate
43,5,0.387404598258682,eye
44,1,0.4279897726560315,facade
44,2,0.5230986110240385,facade
44,3,0.0475544191840035,facade
45,4,0.5955536246553025,family
45,5,0.29777681232765124,family
46,5,0.9156113353457089,farm
47,2,0.08414395494012654,feature
47,3,0.2524318648203796,feature
47,4,0.6731516395210123,feature
48,2,0.8163248682387018,fen
49,5,0.9412416765971514,field
50,7,0.6250586601012833,filling
51,3,0.7913682521747744,flag
52,1,0.037161755037568626,flower
52,3,0.11148526511270587,flower
52,4,0.8547203658640784,flower
53,1,0.6541076388142009,fortification
54,3,0.3198641539077772,fountain
54,4,0.6397283078155545,fountain
55,2,0.8650173634659759,freshwater
56,7,0.7586440354475847,fuel
57,1,0.014247560979248843,garden
57,4,0.9688341465889213,garden
58,7,0.6253015918616096,gas
59,2,0.8024081110469864,geological
60,3,0.4816541754561461,glass
61,2,0.9632173898572975,gothic
62,1,0.9075746778972383,government
63,1,0.09391761324979839,grass
63,2,0.013416801892828342,grass
63,4,0.5232552738203052,grass
63,5,0.3622536511063652,grass
64,5,0.963725459496971,grassland
65,5,0.9140778131625455,grazing
66,2,0.044546817169014555,green
66,4,0.26728090301408736,green
66,5,0.6682022575352183,green
67,1,0.6621055557556293,historic
67,2,0.3310527778778147,historic
68,1,0.9735750144691739,home
68,4,0.012981000192922318,home
69,2,0.3459647761287495,horizon
69,5,0.5189471641931241,horizon
70,1,0.9144151074663585,house
70,3,0.06234648459997899,house
70,4,0.020782161533326328,house
71,3,0.9607287263564742,human
72,4,0.2381755958223491,infrastructure
72,6,0.7145267874670473,infrastructure
73,3,0.8366472947953234,iron
74,2,0.8323066690567229,lake
75,5,0.8803387174367289,land
75,6,0.05178463043745464,land
75,7,0.05178463043745464,land
76,1,0.6242227901221794,landmark
76,2,0.21334196624428917,landmark
76,3,0.1422279774961928,landmark
76,4,0.015803108610688087,landmark
77,2,0.37123066069436284,landscape
77,4,0.23950365206087926,landscape
77,5,0.3832058432974068,landscape
78,4,0.8970000225578248,landscaping
79,4,0.5863447222590032,lane
79,5,0.19544824075300107,lane
80,4,0.7416221319402614,lawn
80,5,0.22819142521238814,lawn
81,1,0.16173224080481965,leaf
81,4,0.8086612040240984,leaf
82,3,0.7777264462773061,leisure
83,3,0.3864055913394034,light
83,5,0.3864055913394034,light
84,1,0.9045057416851516,local
85,5,0.9056185972167267,lot
85,6,0.05327168218921922,lot
86,1,0.9205008755866569,manor
87,1,0.9909591621694686,mansion
88,2,0.9167484280120014,marsh
89,5,0.9623428159238411,meadow
90,1,0.36946480272219323,medieval
90,2,0.600380304423564,medieval
91,4,0.6695687416042329,memorial
92,3,0.8989212049353438,metropolitan
93,3,0.9572544050743135,mixed
94,7,0.4296643854626611,mode
95,2,0.20602710572909966,morning
95,3,0.20602710572909966,morning
95,5,0.4120542114581993,morning
96,5,0.8248511415293327,mustard
97,1,0.7945111318656695,national
98,2,0.38887726238753517,natural
98,4,0.10370060330334271,natural
98,5,0.4925778656908779,natural
99,2,0.6951443956435909,nature
99,4,0.01986126844695974,nature
99,5,0.2581964898104766,nature
100,2,0.05084079569486309,neighbourhood
100,3,0.9151343225075357,neighbourhood
101,1,0.9864807636896913,official
102,1,0.98142746577873,palace
103,1,0.9055724238494223,parish
104,4,0.9603014898524207,park
105,5,0.9837738016476633,pasture
106,3,0.6774284234091098,pedestrian
107,2,0.5501075123646252,phenomenon
107,5,0.3667383415764168,phenomenon
108,1,0.2088471587596603,photography
108,5,0.4176943175193206,photography
109,1,0.17919761884452645,place
109,2,0.806389284800369,place
