topic,Freq,cluster,topics,x,y
0,57.77599906827189,1,1,0.30421217069446405,-0.1189781412483763
9,21.997965040987328,1,2,-0.18875327025027272,-0.005915449081447203
6,13.942635510250154,1,3,-0.17857622130581027,-0.19819072273546526
3,5.019782932335753,1,4,-0.002614055328883018,0.28133270683276046
7,0.845408752550767,1,5,0.057549775134799766,0.0068068871919654
8,0.0836417391208239,1,6,-0.0017673443014632505,0.00875988758007054
5,0.0836417391208239,1,7,0.000711714090928444,0.0064780182323524935
4,0.0836417391208239,1,8,0.0030756705834036548,0.006541448487107409
2,0.0836417391208239,1,9,0.008454777084401443,0.004699970814884418
1,0.0836417391208239,1,10,-0.0022932164015679202,0.00846539392614846
