term,Category,Freq,Term,Total,loglift,logprob
14,Default,114.0,building,114.0,30.0,30.0
3,Default,181.0,architecture,181.0,29.0,29.0
53,Default,86.0,landmark,86.0,28.0,28.0
71,Default,56.0,palace,56.0,27.0,27.0
47,Default,50.0,house,50.0,26.0,26.0
61,Default,45.0,mansion,45.0,25.0,25.0
46,Default,44.0,home,44.0,24.0,24.0
27,Default,68.0,estate,68.0,23.0,23.0
104,Default,37.0,stately,37.0,22.0,22.0
20,Default,34.0,classical,34.0,21.0,21.0
4,Default,32.0,area,32.0,20.0,20.0
83,Default,42.0,property,42.0,19.0,19.0
63,Default,30.0,medieval,30.0,18.0,18.0
114,Default,65.0,tree,65.0,17.0,17.0
29,Default,28.0,facade,28.0,16.0,16.0
70,Default,26.0,official,26.0,15.0,15.0
17,Default,26.0,chateau,26.0,14.0,14.0
67,Default,49.0,natural,49.0,13.0,13.0
89,Default,26.0,residence,26.0,12.0,12.0
113,Default,40.0,town,40.0,11.0,11.0
99,Default,71.0,sky,71.0,10.0,10.0
18,Default,22.0,church,22.0,9.0,9.0
19,Default,32.0,city,32.0,8.0,8.0
54,Default,39.0,landscape,39.0,7.0,7.0
36,Default,27.0,garden,27.0,6.0,6.0
122,Default,35.0,water,35.0,5.0,5.0
68,Default,31.0,nature,31.0,4.0,4.0
16,Default,18.0,cathedral,18.0,3.0,3.0
39,Default,34.0,grass,34.0,2.0,2.0
128,Default,15.0,worship,15.0,1.0,1.0
71,Topic1,56.38098507436196,palace,56.93612497106077,0.5388,-3.0507
61,Topic1,45.09200950683486,mansion,45.65270454864914,0.5362,-3.2741
46,Topic1,44.036219551560826,home,44.61107516743784,0.5356,-3.2978
47,Topic1,49.62704733126697,house,50.284077040863465,0.5354,-3.1783
104,Topic1,37.33570681602114,stately,37.888358759404376,0.5339,-3.4629
20,Topic1,33.82783883276928,classical,34.38213916613936,0.5323,-3.5616
63,Topic1,29.61998554557829,medieval,30.178526504397706,0.5299,-3.6944
53,Topic1,84.37001194222027,landmark,86.00171927587577,0.5294,-2.6476
29,Topic1,28.360237685768215,facade,28.923105192239294,0.5289,-3.7378
70,Topic1,25.853611865353418,official,26.40115132692297,0.5276,-3.8304
89,Topic1,25.858957757021994,residence,26.409318711902028,0.5275,-3.8302
17,Topic1,25.63468968172543,chateau,26.191100922950206,0.5271,-3.8389
18,Topic1,21.462472008340296,church,22.010630542703783,0.5234,-4.0165
16,Topic1,17.68966861691912,cathedral,18.23983571933705,0.518,-4.2099
76,Topic1,14.978417401904583,place,15.529518518441707,0.5125,-4.3762
128,Topic1,14.977892701215671,worship,15.530049249978383,0.5124,-4.3763
112,Topic1,13.688415170809108,tower,14.227163836914148,0.51,-4.4663
102,Topic1,13.501155575226417,spire,14.03958852314584,0.5095,-4.4801
3,Topic1,173.50911872178776,architecture,181.95798079349933,0.5011,-1.9266
60,Topic1,10.574416221890589,manor,11.12021227991601,0.4983,-4.7244
105,Topic1,9.527266948761055,steeple,10.078062347862387,0.4924,-4.8287
38,Topic1,9.308990799906402,gothic,9.864566835824425,0.4906,-4.8519
14,Topic1,107.95255658751574,building,114.92115618299626,0.486,-2.4011
82,Topic1,7.6463349693848315,presidential,8.195707576887832,0.4792,-5.0486
44,Topic1,6.598218863574864,historic,7.148303360134759,0.4685,-5.196
27,Topic1,61.74563053360683,estate,68.50463797601427,0.4447,-2.9598
83,Topic1,37.98948450788661,property,42.55096857845621,0.4352,-3.4455
98,Topic1,4.300540640654743,site,4.845820905818181,0.4292,-5.6241
13,Topic1,3.8915405557841223,brick,4.437249262461334,0.4174,-5.724
15,Topic1,3.6694787918303216,castle,4.209752068957203,0.4112,-5.7828
99,Topic1,49.86965933027216,sky,71.00304613946699,0.1953,-3.1734
113,Topic1,26.027414394515436,town,40.313131173919224,0.1111,-3.8237
19,Topic1,14.818717881520714,city,32.63893954658354,-0.241,-4.3869
114,Topic1,22.158087935520328,tree,65.39213865489005,-0.5336,-3.9846
26,Topic2,16.385638998993432,environment,16.928978604296855,1.4816,-3.3208
7,Topic2,14.029327084799375,bank,14.570524735516397,1.4764,-3.4761
88,Topic2,11.448714268603993,reserve,11.995575857141123,1.4676,-3.6793
117,Topic2,10.351329563742723,vegetation,10.93882365639759,1.459,-3.7801
124,Topic2,9.324467524126574,waterway,9.877223684784378,1.4566,-3.8846
123,Topic2,8.038135700549986,watercourse,8.573729751721373,1.4497,-4.033
91,Topic2,6.958301765551558,resources,7.5196177979221455,1.4366,-4.1773
10,Topic2,6.342246043863623,body,6.886072911229101,1.432,-4.27
103,Topic2,6.104111697551611,square,6.637940596777972,1.4304,-4.3082
116,Topic2,6.093068492707982,use,6.6384026728310195,1.4285,-4.3101
65,Topic2,6.097957783559681,mixed,6.649284706581095,1.4277,-4.3093
93,Topic2,5.688943577134512,river,6.227815848292393,1.4237,-4.3787
