term,Topic,Freq,Term
0,4,0.8847877738689555,aerial
1,4,0.899611111941415,apartment
3,1,0.9562647334357337,architecture
3,2,0.027478871650452118,architecture
3,3,0.01648732299027127,architecture
3,5,0.005495774330090424,architecture
4,1,0.1522620322283294,area
4,2,0.1522620322283294,area
4,4,0.6699529418046495,area
5,1,0.9481447210298901,attraction
6,2,0.08150074884681441,autumn
6,3,0.8965082373149585,autumn
7,2,0.9608439129082487,bank
8,2,0.6635203741981297,biome
9,4,0.8879433441053217,bird
10,2,0.8713239138400374,body
11,3,0.9691199115517997,botanical
12,3,0.9880101586707466,botany
13,1,0.9014593869764277,brick
14,1,0.9397747428508703,building
14,2,0.04350808994679955,building
14,5,0.00870161798935991,building
15,1,0.9501747215699662,castle
16,1,0.9868509934504076,cathedral
17,1,0.9927035933498026,chateau
18,1,0.9540844347578769,church
19,1,0.45957375479651924,city
19,2,0.27574425287791154,city
19,4,0.2451060025581436,city
20,1,0.988885532564079,classical
21,1,0.36757753489738804,cloud
21,2,0.18378876744869402,cloud
21,3,0.36757753489738804,cloud
22,1,0.3894387771832424,cobblestone
22,2,0.3894387771832424,cobblestone
23,3,0.9431098504346684,daytime
24,4,0.42905136716275766,design
24,5,0.42905136716275766,design
25,2,0.5159762840948332,dirt
26,2,0.9451249466367059,environment
27,1,0.9050482103373533,estate
27,3,0.08758531067780838,estate
28,4,0.8852771006863746,eye
29,1,0.9680841601859892,facade
30,5,0.6531205194026779,factory
31,2,0.4828748270026102,family
31,3,0.4828748270026102,family
32,3,0.8070877408953991,feature
33,1,0.6745968783455191,fisheye
34,5,0.6525530409791638,floor
35,2,0.1952101404649882,fountain
35,3,0.7808405618599528,fountain
36,3,0.984867639782978,garden
37,2,0.8326501231600923,geological
38,1,0.9123563304691048,gothic
39,1,0.11650856989556839,grass
39,2,0.37865285216059724,grass
39,3,0.49516142205616565,grass
40,2,0.9318014707647104,grassland
41,5,0.6519535028890198,hall
42,2,0.5147523210153915,highland
43,2,0.8211412635711608,hill
44,1,0.9792533482893536,historic
45,1,0.522370630494058,history
46,1,0.9863021645377453,home
47,1,0.9943505567252908,house
48,2,0.69516579366585,human
48,4,0.31598445166629546,human
49,5,0.6565070732987133,industry
50,5,0.655085153034011,interior
51,2,0.8208823453727558,lake
52,2,0.6061227023248248,land
52,3,0.3030613511624124,land
53,1,0.9767246597773858,landmark
53,3,0.011627674521159355,landmark
54,2,0.5530407316329571,landscape
54,3,0.42734965626183047,landscape
55,3,0.960143315901636,lawn
56,2,0.09329785814760361,leaf
56,3,0.8863296524022343,leaf
57,1,0.6738776719855281,lens
58,2,0.5143218622784205,loch
59,2,0.606666111522105,lot
59,3,0.3033330557610525,lot
60,1,0.9891897495398425,manor
