topic,Freq,cluster,topics,x,y
2,46.483996518929416,1,1,-0.2955826930827344,-0.048901516876881206
0,26.487450242513837,1,2,-0.2840134842112453,-0.02499268295125626
7,13.555619611561143,1,3,0.21830601451625561,-0.14253616463318505
9,5.574679889240781,1,4,-0.12788865147858555,-0.09338531141360912
5,2.9847736981158577,1,5,0.14805065462255096,-0.08864896750744718
3,1.7022267834293032,1,6,0.13348566856684058,-0.0024534273333882157
8,1.6185666639930893,1,7,0.011290614652394743,0.2406166565853137
6,1.42661328574894,1,8,0.11503366431464611,0.02469650146436876
4,0.08303665323382416,1,9,0.042329330801296444,0.06831166569836875
1,0.08303665323382416,1,10,0.038988881298580504,0.06729324696771594
