month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1.0000000000000002,0.04199068606818452,0.05076999182272456,0.04809931166144749,0.03823512603683095,0.11633792144214533,0.0,0.0617339102855491,0.09823570888917084,0.007403215375742253,0.08577544079170703,0.1274240442926927
Feb,0.04199068606818452,1.0000000000000002,0.25829741015605345,0.11029911643800897,0.007581237141956347,0.0,0.18431105231868283,0.0,0.0,0.1110854869925375,0.10562513862995239,0.2063249264719056
Mar,0.05076999182272456,0.25829741015605345,1.0,0.5736827667621781,0.0,0.0,0.45342320060770464,0.15386614036850843,0.05164994903319604,0.07442760706768879,0.03632430557677622,0.16298233405366447
Apr,0.04809931166144749,0.11029911643800897,0.5736827667621781,1.0,0.0,0.0,0.7491377787476726,0.2503603844788862,0.0,0.0,0.02768073565998882,0.19858506503709294
May,0.03823512603683095,0.007581237141956347,0.0,0.0,1.0,0.5437445159132862,0.0,0.7965828445639025,0.11098654317853313,0.0,0.10569666649821718,0.044593012108141275
Jun,0.11633792144214533,0.0,0.0,0.0,0.5437445159132862,0.9999999999999999,0.0,0.5815053650489996,0.0,0.0,0.0,0.07040213560532713
Jul,0.0,0.18431105231868283,0.45342320060770464,0.7491377787476726,0.0,0.0,1.0000000000000002,0.18236295856898027,0.0,0.0,0.0,0.18332572742683828
Aug,0.0617339102855491,0.0,0.15386614036850843,0.2503603844788862,0.7965828445639025,0.5815053650489996,0.18236295856898027,1.0000000000000002,0.039245073523399815,0.0,0.06786298162732622,0.07385078091693817
Sep,0.09823570888917084,0.0,0.05164994903319604,0.0,0.11098654317853313,0.0,0.0,0.039245073523399815,1.0,0.0,0.2315658143046587,0.1760420653822557
Oct,0.007403215375742253,0.1110854869925375,0.07442760706768879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16316570852961568,0.0
Nov,0.08577544079170703,0.10562513862995239,0.03632430557677622,0.02768073565998882,0.10569666649821718,0.0,0.0,0.06786298162732622,0.2315658143046587,0.16316570852961568,1.0000000000000002,0.19655269705387676
Dec,0.1274240442926927,0.2063249264719056,0.16298233405366447,0.19858506503709294,0.044593012108141275,0.07040213560532713,0.18332572742683828,0.07385078091693817,0.1760420653822557,0.0,0.19655269705387676,1.0000000000000002
