month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1,0.041990686,0.050769992,0.048099312,0.038235126,0.116337921,0,0.06173391,0.098235709,0.007403215,0.085775441,0.127424044
Feb,0.041990686,1,0.25829741,0.110299116,0.007581237,0,0.184311052,0,0,0.111085487,0.105625139,0.206324926
Mar,0.050769992,0.25829741,1,0.573682767,0,0,0.453423201,0.15386614,0.051649949,0.074427607,0.036324306,0.162982334
Apr,0.048099312,0.110299116,0.573682767,1,0,0,0.749137779,0.250360384,0,0,0.027680736,0.198585065
May,0.038235126,0.007581237,0,0,1,0.543744516,0,0.796582845,0.110986543,0,0.105696666,0.044593012
Jun,0.116337921,0,0,0,0.543744516,1,0,0.581505365,0,0,0,0.070402136
Jul,0,0.184311052,0.453423201,0.749137779,0,0,1,0.182362959,0,0,0,0.183325727
Aug,0.06173391,0,0.15386614,0.250360384,0.796582845,0.581505365,0.182362959,1,0.039245074,0,0.067862982,0.073850781
Sep,0.098235709,0,0.051649949,0,0.110986543,0,0,0.039245074,1,0,0.231565814,0.176042065
Oct,0.007403215,0.111085487,0.074427607,0,0,0,0,0,0,1,0.163165709,0
Nov,0.085775441,0.105625139,0.036324306,0.027680736,0.105696666,0,0,0.067862982,0.231565814,0.163165709,1,0.196552697
Dec,0.127424044,0.206324926,0.162982334,0.198585065,0.044593012,0.070402136,0.183325727,0.073850781,0.176042065,0,0.196552697,1
