a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018
Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_01353,Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark,Lundagérd 9,Nadia Naji, Aug 2014
Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
Lund_02241,Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain,Lunds Pistolklubb,Jonas Ezzi, Aug 2017
Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_01549,Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent,Lundagérd 9,@ Rene Wagner, Aug 2017
Lund_00574,Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home,AB Tetra Pak c,a FN, Aug 2017
Lund_02741,Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources,Nobbel6vs mosse,L 1T T, Aug 2014
Lund_02474,Road,Tree,Grass,Land lot,Natural landscape,Shrub,Trail,Lane,Thoroughfare,Woody plant,,, Aug 2017
Lund_01747,Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace,Coop Konsum,J  Janus sobrzezeje, Aug 2018
Lund_01079,Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence,Lundagérd,0 Joachim Maxein, Aug 2017
Lund_00701,Classical architecture,Landmark,Architecture,Building,Facade,Palace,Château,City,House,Mansion,Lundagérd 9,@ Rene Wagner, Aug 2017
Lund_02451,Building,Fuel,Filling station,Retail,Vehicle,Convenience store,Gasoline,Business,Gas,,CircleK,"’I‘, Johan Carlsson", Aug 2017
Lund_02191,Property,Building,House,Architecture,Town,Home,Brick,Facade,Tree,Real estate,Asylen,ﬁ BN PN R, Aug 2017
Lund_00892,Building,Property,Architecture,Landmark,House,Real estate,Facade,City,Courthouse,Commercial building,Scandic Star Lund,Z) zvi moses, Aug 2017
Lund_01721,Building,Castle,Property,Fortification,Medieval architecture,Wall,Estate,Architecture,Stately home,Château,Lundagérd,""" Andi Varn Johani", Aug 2011
Lund_02496,Grass,Sport venue,Player,Team sport,Playground,Lawn,Ball game,Sports,Sports training,Sports equipment,Linero IP {,"@""‘ Staffan Slager", Aug 2016
Lund_00719,Landmark,Water,Fountain,Sky,Architecture,Garden,Botanical garden,Botany,Tree,Water feature,Lundagérd,S GEERS Wy, Aug 2018
Lund_00877,Landmark,Architecture,Tree,Building,Estate,House,Mansion,Lawn,Park,City,Stadsparken,C Carmelo Pellegri, Aug 2017
Lund_01787,Landmark,Sky,Tree,Garden,Architecture,Botany,Building,Grass,Steeple,Park,Lundagérd,Benjamin Kiintze, Aug 2018
Lund_01287,Property,Building,Estate,House,Architecture,Mansion,Stately home,Manor house,Real estate,Tree,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_03147,Building,Commercial building,Architecture,Facade,Sky,Corporate headquarters,Mixed-use,Company,Headquarters,City,CircleK 9,Jill Miller, Aug 2017
Lund_01649,Fountain,Water,Garden,Natural landscape,Grass,Water resources,Water feature,Botanical garden,Botany,Lawn,Stadsparken,@ Gheorghe Zamfir, Aug 2018
Lund_00920,Landmark,Architecture,Building,Sky,Medieval architecture,City,Tower,Church,Facade,Urban area,Lundagérd,C  Christoph Kirchn, Aug 2017
Lund_01135,Building,Landmark,Property,Architecture,Town,City,Stately home,Public space,Facade,Palace,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_03114,Building,Architecture,Commercial building,Road,City,Facade,Mixed-use,Street,,,Asylen,@ BN PN R, Aug 2017
Lund_01578,Medieval architecture,Building,Landmark,Architecture,Classical architecture,Place of worship,Church,Facade,Cathedral,Historic site,Lund Cathedral :,Mikael Rojnert, Aug 2017
Lund_00107,Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,Sea,Coastal and oceanic landforms,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02375,Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,Grass,Plain,Road,Nobbel6vs mosse,i\ 1T T, Aug 2014
Lund_02619,Architecture,Sky,Property,Building,Wall,Church,House,Roof,Facade,Convent,Stora Raby Kyrka,T Takashi Tokushir, Aug 2018
Lund_00435,Landmark,Architecture,Sky,Building,Medieval architecture,Classical architecture,Church,Place of worship,Cathedral,Steeple,Lundagérd 9,6 Rene Wagner, Aug 2017
Lund_00033,Natural landscape,Rapeseed,Field,Meadow,Canola,Nature,Grassland,Pasture,Natural environment,Land lot,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01229,Garden,Botanical garden,Lawn,Yard,Botany,Landscaping,Plant,Landscape,Grass,Flower,Botanical Garden,Maria K, Aug 2017
Lund_01539,Landmark,Building,Architecture,Medieval architecture,Sky,Facade,Church,Tower,Classical architecture,Place of worship,Lund Cathedral,; P RS E, Aug 2017
Lund_01665,Garden,Water,Botanical garden,Natural landscape,Botany,Fountain,Tree,Pond,Reflecting pool,Landscape,Lundagérd 9,6 Rene Wagner, Aug 2017
Lund_01008,Estate,Property,Mansion,Building,Manor house,House,Stately home,Château,Lawn,Palace,Botanical Garden,"-_’é, Tiago Duarte", Aug 2016
Lund_00911,Landmark,Sky,Architecture,Building,Mansion,City,Estate,Town square,Palace,Tree,universita di lund mc,A) Anna Riggio, Aug 2018
Lund_02901,Boutique,Room,Building,Textile,Bazaar,Retail,Shopping,Market,Outlet store,Antique,Hep Cat Store,‘f ‘j Martin Lannerés, Aug 2018
Lund_02056,Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky,Lundagard ¢,21308, Aug 2018
Lund_00378,Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Official residence,Estate,Château,Sky,Lundagérd 9,A Anna Riggio, Aug 2018
Lund_00674,Building,Architecture,Landmark,Sky,City,Medieval architecture,Town,Cathedral,Church,Place of worship,"[T, T o1 T T T","-'.""""‘\ Darth Dane", Aug 2018
Lund_01002,Building,Property,Landmark,Architecture,Palace,Mansion,House,Official residence,Classical architecture,Estate,AB Tetra Pak c,a FN, Aug 2017
Lund_02021,Building,Campus,College,Property,Estate,Public space,Town,Human settlement,City,University,Lundagérd,Salvatore De Pao, Aug 2017
Lund_01311,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,House,Lundagérd 9,Maxime LMA, Aug 2018
Lund_00494,Building,Estate,Mansion,Palace,Official residence,Property,Stately home,Château,Architecture,Classical architecture,Lundagérd 9,S  Sheila Sang, Aug 2018
Lund_01139,Estate,Property,Landmark,Building,Architecture,Mansion,Garden,Botany,Botanical garden,Tree,Lundagérd,% William Térneber, Aug 2016
Lund_02840,Estate,Building,Property,Mansion,Architecture,House,Garden,Home,Stately home,Lawn,Lundagérd,'aﬂ Gaston Ragnar R, Aug 2016
