a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house,Lundagérd,U\ G LIEEFLE RV, Jun 2018
Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
Lund_02365,Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018
Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
Lund_01670,Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_00468,Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple,Lund Cathedral :,@ Jun Luo, Jun 2017
Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018
Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism,[T T o1 T 1T,Artur Muc, Jun 2010
Lund_00385,Property,Estate,House,Building,Home,Architecture,Tree,Real estate,Residential area,Botany,Kulturen,@ Erik Olausson, Jun 2017
Lund_01884,Building,Landmark,Architecture,Town,Stately home,City,Facade,Palace,Sky,Estate,University Library,R G074, Jun 2018
Lund_00778,Landmark,Building,Estate,Mansion,Architecture,Palace,Stately home,Official residence,Plaza,Classical architecture,L (LT T,P ) Peter-Michael Wi, Jun 2007
Lund_00863,Landmark,Architecture,Palace,Building,Mansion,Château,Estate,Stately home,Tourism,Villa,Lundagérd,@ Juca Felix Galino, Jun 2016
