,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment,Bantorget 8,Bantorget 8, Mar 2017,"Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment"
1,Lund_00592,Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City,Lundagard ¢,Lundagard ¢, Mar 2017,"Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City"
2,Lund_01443,Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church,Lundagard ¢,Lundagard ¢, Mar 2017,"Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church"
3,Lund_01930,Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate,Folkuniversitetets fo,LRI IYCET, Mar 2017,"Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate"
4,Lund_01794,Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade,Lundagérd,Zackarias Soderl, Mar 2017,"Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade"
5,Lund_00401,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade"
6,Lund_00258,Building,Landmark,Architecture,Château,Stately home,Estate,Mansion,Manor house,Historic house,Palace,Bantorget 8,Bantorget 8, Mar 2017,"Building,Landmark,Architecture,Château,Stately home,Estate,Mansion,Manor house,Historic house,Palace"
7,Lund_00399,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade"
8,Lund_01100,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,Metropolitan area,Photography,Landscape,Ideon Science Park,'?:“ jan kees dommis, Mar 2018,"Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,Metropolitan area,Photography,Landscape"
9,Lund_01028,Building,Property,Architecture,Estate,Stately home,Château,Medieval architecture,Tree,Historic house,Castle,Folkuniversitetets fo,LRI IYCET, Mar 2017,"Building,Property,Architecture,Estate,Stately home,Château,Medieval architecture,Tree,Historic house,Castle"
10,Lund_00788,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace"
11,Lund_02112,Property,Sky,Landmark,Building,Tree,Architecture,House,Estate,Town,Grass,Lundagérd 8,@ Martin Giles, Mar 2014,"Property,Sky,Landmark,Building,Tree,Architecture,House,Estate,Town,Grass"
