a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02369,Sky,Transport,,,,,,,,,MAX IV Laboratory,MAX IV Laboratory, Jun 2015
Lund_00768,Building,Mansion,Estate,Landmark,Property,Architecture,Palace,House,Stately home,Château,Lundagérd 9,T ) Tom Zeitlos, Jun 2016
Lund_00527,Building,Mixed-use,Urban area,Human settlement,City,Residential area,Town,,,,Vegalyckan,J | Jakob Navrozidis, Jun 2017
Lund_02833,Building,Palace,Estate,Landmark,Mansion,Stately home,Classical architecture,Official residence,,,Lundagérd,q Aleksandra Zhely, Jun 2015
Lund_02823,Building,Property,Estate,Mansion,Architecture,Palace,House,Official residence,,,Lundagérd &,‘ Ménica Plaza, Jun 2018
Lund_00361,Estate,Building,Mansion,Garden,Palace,Official residence,Stately home,Botany,,,Universitit Lund,ﬁ Michael Neitzel, Jun 2015
Lund_01125,Property,House,Landmark,Architecture,Building,Home,Town,Sky,,,,, Jun 2017
Lund_00496,Building,Landmark,Property,Architecture,Mansion,Estate,House,Palace,Tree,,Lundagérd,ﬂ Jaime Mora Salv, Jun 2018
Lund_02847,Building,Landmark,Architecture,Medieval architecture,,,,,,,[T L He 1 BT,""" [V EWEEEG)", Jun 2018
Lund_01833,Property,Building,Landmark,Architecture,House,Château,Estate,Town,,,Bantorget,A’ Stefanos Karidak, Jun 2017
Lund_00288,Building,Property,Estate,Architecture,Stately home,Château,,,,,Akademiska Forenin,@ Jun Luo, Jun 2017
Lund_02396,Transport,Yellow,Building,,,,,,,,Netto 3,o Travel to, Jun 2017
Lund_00447,Landmark,Architecture,Sky,Building,Place of worship,Church,Cathedral,Steeple,Medieval architecture,,Lund Cathedral,§f' Niels Peter Thorr, Jun 2017
Lund_03043,Animal sports,Sports,,,,,,,,,Restaurant Thuleher,D) Daniel Pereyra, Jun 2017
Lund_00697,Classical architecture,Building,Landmark,Architecture,,,,,,,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_03153,Natural landscape,Natural environment,Grassland,,,,,,,,Stadsodlingen pa Br,Sanja Blomberg, Jun 2017
Lund_03164,Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree,Rinnebiéck Gorge,% Daniel Nilsson, Jun 2018
Lund_02314,Architecture,Land lot,,,,,,,,,MAX IV Laboratory,@ BT PR, Jun 2016
Lund_01165,Body of water,Natural landscape,Nature,Bank,River,Water,Water resources,Reflection,Watercourse,Natural environment,Stadsparken,g * Alexander Engstr, Jun 2017
Lund_02677,Team sport,Sky,Grass,Sport venue,Competition event,,,,,,Klostergérdens IP,il VPN CY T Lo (o)), Jun 2017
Lund_02802,Building,Architecture,Water,,,,,,,,Lundagérd,M Martin Jansson, Jun 2017
Lund_01048,Classical architecture,Building,Landmark,Architecture,Palace,,,,,,Lundagérd 9,6@@ Lau Moura, Jun 2018
Lund_01191,Estate,Building,,,,,,,,,Stadsparken,padma ravindran, Jun 2017
Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,,,,,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
Lund_01904,Architecture,Landmark,Building,Classical architecture,Facade,,,,,,Lundagérd,Anders Sjostrom, Jun 2018
Lund_00801,Building,Human settlement,City,Architecture,Palace,,,,,,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
Lund_00325,Building,Landmark,Architecture,Sky,Town,,,,,,Lund Cathedral,"{:, Pascal BASROGE", Jun 2018
Lund_00572,Building,Landmark,Estate,Mansion,Property,Architecture,Palace,House,Official residence,,[T TV HTET 0 T,A Anna Gester, Jun 2018
Lund_00639,Landmark,Building,Architecture,Classical architecture,City,,,,,,J. T,.}gg Genial Barani, Jun 2017
Lund_01651,Property,House,Cottage,Home,Thatching,Building,Roof,,,,Kulturen,(Z‘w Alexandra von Pe, Jun 2017
Lund_02773,Product,,,,,,,,,,Biltema,Albin Roslund, Jun 2017
Lund_01277,Classical architecture,Building,Landmark,Architecture,Facade,Palace,,,,,Lundagérd,Silvana faussone, Jun 2013
Lund_01899,Landmark,Tree,Botany,,,,,,,,Lundagérd,Fabian Eklund Si, Jun 2017
Lund_00558,City,Sky,Town,Building,Landmark,Architecture,Human settlement,Public space,Town square,Plaza,[T T o1 T T T,a Imran Khan, Jun 2017
Lund_02583,Body of water,Natural landscape,Nature,Water,Water resources,Vegetation,Nature reserve,River,Natural environment,Bank,L TR TR,O ) Olexiy Avramche!, Jun 2017
Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
Lund_02134,Wall,Town,Medieval architecture,Building,Landmark,Property,Sky,Architecture,,,Dekanhuset,ﬁ BN PN R, Jun 2017
Lund_02432,Water resources,Natural landscape,Natural environment,Water,Thermokarst,Watercourse,Riparian zone,Bank,Nature reserve,Wetland,Rinnebick Gorge 2,G; Emil Nilsson, Jun 2016
Lund_00537,Estate,Building,Mansion,Palace,Official residence,Château,Stately home,Architecture,Manor house,,2015-06-18_12_25_(,L 1T T, Jun 2015
Lund_00706,Building,Estate,Palace,Mansion,Architecture,Official residence,,,,,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
Lund_02271,Pasture,Grazing,Grassland,Herd,Natural environment,Meadow,Bovine,Farm,Rural area,Livestock,N[ AT T T,L Bengt Jiirs, Jun 2014
Lund_01425,Building,City,Human settlement,Town square,Town,Public space,Architecture,Plaza,,,J. T,.}gg Genial Barani, Jun 2017
Lund_01758,Property,Building,House,Architecture,,,,,,,Kulturen,Frida Olsson, Jun 2016
Lund_02367,Land lot,Grassland,Vegetation,Pasture,Natural environment,Field,Dirt road,Plain,Grass,Prairie,Killbybadet,@ Peter Nordensva, Jun 2018
Lund_03156,Sport venue,Architecture,Net,,,,,,,,(T L L T,m L7 N EEE, Jun 2017
