a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01491,Building,Architecture,Estate,,,,,,,,Lundagérd,% LEVL GRGET ), Oct 2017
Lund_01613,Building,Town,Property,Human settlement,Architecture,Neighbourhood,City,,,,University Library,(NN TR o= Tal o], Oct 2016
Lund_02931,Sky,Landmark,Estate,Building,Mansion,Château,Atmospheric phenomenon,Morning,House,Palace,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018
Lund_03200,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,,,,,Lundagérd,Krystian Czernek, Oct 2017
Lund_02209,Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness,Janus Wojtaszcz,Janus Wojtaszcz, Oct 2017
Lund_00292,Building,Landmark,Property,Architecture,Estate,Palace,Sky,Town,City,Stately home,University Library,(S VYA, Oct 2010
Lund_02797,Landmark,Building,Architecture,Medieval architecture,Sky,Town,Classical architecture,Facade,City,Church,Lundagérd,@ cissio Oliveira, Oct 2017
Lund_00961,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
Lund_01244,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd,Centar Prevencij:, Oct 2016
Lund_01029,Sky,Garden,Tree,Natural landscape,Estate,Leaf,Lawn,Botanical garden,Botany,Grass,Stadsparken,5 m Anna Sadowska, Oct 2018
Lund_00277,Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,,Lundagérd,;&g peter kurnavka, Oct 2017
Lund_00295,Landmark,Building,Architecture,,,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant,Lund 9,@ David Bjarup, Oct 2016
Lund_02074,Sky,Architecture,Landmark,Building,Photography,Fisheye lens,,,,,[T T e T T T,Mark Vartok, Oct 2015
Lund_00042,Walkway,Botanical garden,Natural landscape,Garden,Tree,Botany,Public space,,,,@ Mohammad Wat,@ Mohammad Wat, Oct 2017
Lund_00376,Building,Classical architecture,Palace,Landmark,Mansion,Architecture,Official residence,Estate,Presidential palace,Château,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017
Lund_02766,Landmark,Architecture,Winter,,,,,,,,[T He 1 L T,OZRONK CARPE|, Oct 2018
Lund_02276,Property,House,Sky,Building,Architecture,Home,Yard,,,,Kulturen,ina andersen, Oct 2018
Lund_02537,Natural landscape,Nature,Tree,Nature reserve,Water,Natural environment,Watercourse,Bank,Waterway,Riparian zone,Rinnebick Gorge 2,L 1T T, Oct 2013
Lund_00115,Landmark,Tower,Steeple,Building,Spire,Architecture,,,,,. Marion Kaletta,. Marion Kaletta, Oct 2017
Lund_03005,Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,,,,,Rinnebick Gorge 2,L 1T T, Oct 2013
Lund_03181,Sky,Tree,Garden,Leaf,Grass,Daytime,Wilderness,Lawn,Autumn,Park,Stadsparken,5 m Anna Sadowska, Oct 2018
Lund_00524,Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,,?‘}m Goran Todorovié¢,?‘}m Goran Todorovié¢, Oct 2014
Lund_01526,Building,Architecture,Landmark,Medieval architecture,Sky,Place of worship,Cathedral,,,,[T T o1 T T T,[T TR, Oct 2016
Lund_01359,Town,Building,Property,Mixed-use,Architecture,,,,,,Park Inn by Radissor,l& Thom Seaman, Oct 2016
Lund_03042,Dirt road,Pasture,Road,Land lot,Rural area,Grass,,,,,Rinnebick Gorge,T ) Thomas Hildebre, Oct 2018
Lund_00562,Building,Classical architecture,Palace,Mansion,Landmark,Architecture,Official residence,Estate,Presidential palace,Stately home,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017
Lund_02580,Vegetation,Grass,,,,,,,,,Rinnebick Gorge,s Zingo Andersen, Oct 2017
Lund_01828,Landmark,Building,Architecture,Classical architecture,Mansion,House,Estate,Official residence,Palace,Presidential palace,Lundagérd 9,Zoran Trivic, Oct 2017
Lund_03162,Landmark,Building,Mansion,Estate,Palace,Classical architecture,Property,Architecture,Stately home,Official residence,Lundagérd,R Ryan Lannigan, Oct 2018
Lund_01618,Classical architecture,Landmark,Architecture,Building,Sky,Facade,,,,,Lundagérd,LT [N EETG Y, Oct 2018
Lund_02016,Classical architecture,Building,Landmark,Architecture,,,,,,,Lundagérd,(elT. 1 W [V =, Oct 2014
Lund_02746,Building,,,,,,,,,,V.ES.PA,@ Michael Bossett:, Oct 2018
Lund_01836,Natural landscape,Body of water,Nature,Water resources,Water,Fountain,Tree,Watercourse,Nature reserve,Bank,Stadsparken,5 a Anna Sadowska, Oct 2018
Lund_01482,Sky,Garden,Nature,Cloud,Botanical garden,Daytime,Natural landscape,Tree,Botany,Grass,Stadsparken g,M> Max Power, Oct 2015
Lund_02712,Residential area,Building,Architecture,Neighbourhood,Property,Human settlement,Urban area,Town,City,Apartment,Virvelvindsviagen ¢,t Erik Lundgren, Oct 2016
Lund_02564,Building,,,,,,,,,,MAX IV Laboratory,@ EONE Y, Oct 2016
Lund_02606,Property,Building,House,Architecture,Brick,Home,Residential area,Town,Neighbourhood,Facade,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018
Lund_00985,Building,Town,Medieval architecture,Architecture,,,,,,,[T e T T T,Ania Jasiok, Oct 2018
Lund_03201,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,,,,,Lund Cathedral,@ Krystian Czernek, Oct 2017
Lund_00607,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012
Lund_01776,Tree,Landmark,Medieval architecture,Château,Castle,Building,,,,,Lundagérd 9,L CIOEILEIVE, Oct 2017
Lund_00224,Building,Landmark,Architecture,Estate,Palace,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
