Building,99
Architecture,92
Landmark,69
Property,41
Sky,40
Estate,35
Mansion,28
Stately home,28
Tree,25
Classical architecture,23
Natural landscape,23
Town,23
Palace,22
Medieval architecture,22
Grass,21
Facade,18
Water,17
House,16
Land lot,14
City,13
Natural environment,13
Human settlement,12
Château,12
Bank,11
Official residence,11
Church,10
Place of worship,9
Plain,9
Grassland,8
Cathedral,8
Residential area,8
Body of water,7
Water resources,7
Public space,7
Waterway,6
Road,6
Pasture,6
Nature,6
Spring,6
Watercourse,5
River,5
Daytime,5
Gothic architecture,5
Manor house,5
Cloud,5
Field,5
Pond,5
Sport venue,5
Urban area,5
Steeple,4
Home,4
Botany,4
Transport,4
Historic site,3
Botanical garden,3
Reservoir,3
Meadow,3
Soil,3
Player,3
Reflection,3
Town square,3
Real estate,3
Team sport,3
Green,3
Wilderness,3
Nature reserve,3
Plaza,3
Stadium,3
Garden,2
Campus,2
Vegetation,2
Metropolitan area,2
Castle,2
Sports,2
Fen,2
Mountain,2
Lawn,2
Neighbourhood,2
Trail,2
Ball game,2
Freshwater marsh,2
Roof,2
Prairie,2
Spire,2
Baseball park,1
Cottage,1
Street,1
Football,1
College,1
Monument,1
Highland,1
Apartment,1
Farm,1
Baseball field,1
Soccer,1
Lane,1
Dirt road,1
Condominium,1
Reflecting pool,1
Canal,1
Baptistery,1
Cityscape,1
Asphalt,1
Net,1
Blossom,1
Aerial photography,1
Cherry blossom,1
Wall,1
Thoroughfare,1
Fortification,1
Ruins,1
Lake,1
Steppe,1
Marsh,1
Competition event,1
Statue,1
Walking,1
Stream,1
Mode of transport,1
Restaurant,1
Urban design,1
Atmospheric phenomenon,1
Arch,1
Park,1
Soccer-specific stadium,1
Plant,1
Cumulus,1
Flower,1
Metropolis,1
Vehicle,1
Floodplain,1
Parish,1
