features,Jan_freq,Feb_freq,Mar_freq,Apr_freq,May_freq,Jun_freq,Jul_freq,Aug_freq,Sep_freq,Oct_freq,Nov_freq,Dec_freq
Building,55,18,108,110,212,234,350,342,249,124,18,28
Architecture,53,18,104,104,202,225,324,320,233,116,18,28
Landmark,31,15,70,69,133,144,211,203,135,83,11,19
House,24,8,50,44,79,106,157,146,100,44,9,9
Tree,23,14,34,50,105,89,143,113,77,65,6,16
City,22,6,40,37,74,63,112,109,74,29,4,11
Property,21,4,38,41,65,99,164,160,111,45,3,6
Medieval architecture,18,2,18,23,46,48,67,77,51,32,6,12
Facade,17,7,36,35,47,87,115,100,67,31,9,10
Sky,17,9,48,56,121,113,179,149,109,71,10,16
Town,16,4,29,23,46,53,83,87,54,36,3,14
Estate,15,10,52,51,106,119,182,169,126,61,7,5
Stately home,13,7,25,35,49,63,84,96,80,36,4,2
Mansion,13,10,36,33,68,91,134,126,94,45,5,1
Palace,13,8,38,33,66,91,119,113,87,46,7,1
Classical architecture,12,7,33,31,35,71,83,92,57,37,7,4
Real estate,9,0,5,10,17,25,40,31,19,7,0,1
Home,8,1,9,8,27,20,45,39,24,8,1,2
Place of worship,8,2,8,17,36,32,54,41,43,17,5,6
Natural landscape,7,8,4,23,69,49,69,51,33,34,9,3
Human settlement,7,2,5,12,32,18,44,42,30,14,1,5
Urban area,7,1,10,11,21,10,32,37,18,14,1,11
Church,6,2,11,18,39,38,57,65,45,24,5,11
Land lot,6,4,1,16,17,22,34,29,14,7,2,2
Château,6,2,17,20,32,56,60,62,47,24,3,2
Rural area,6,3,2,6,8,9,20,19,5,5,1,1
Water,6,6,5,17,49,43,55,38,29,23,8,3
Grass,6,8,13,36,72,69,83,62,55,33,4,6
Winter,6,3,11,1,1,0,0,4,1,1,0,0
Cathedral,5,0,8,15,28,27,42,36,31,18,2,6
Public space,5,0,8,7,35,17,34,29,22,13,1,3
Historic site,5,0,3,8,15,17,20,22,23,5,2,3
Tourism,5,0,2,0,17,9,11,9,8,4,1,0
Neighbourhood,5,2,9,5,20,17,42,27,21,15,1,5
Natural environment,4,7,3,13,46,35,45,29,19,17,3,3
Grassland,4,2,0,10,31,28,26,24,14,4,0,3
Snow,4,0,9,0,0,0,0,3,0,1,0,0
Mixed-use,4,0,6,2,15,4,14,11,10,6,0,2
Bank,4,2,3,11,28,21,23,16,12,15,4,0
Manor house,4,1,7,8,11,22,30,39,19,10,0,2
Pasture,4,4,0,6,22,15,16,16,11,4,1,2
Wall,4,0,2,1,1,11,8,11,12,5,4,2
Farm,3,0,0,3,4,3,3,9,3,0,0,0
Cloud,3,3,2,5,9,25,35,22,17,10,2,0
Roof,3,0,3,8,11,8,17,22,6,0,2,2
Gothic architecture,3,0,5,7,12,5,8,6,9,8,2,3
Lighting,3,0,1,0,1,0,1,2,1,0,0,0
Cottage,3,0,0,1,5,5,9,9,2,1,1,1
Freezing,3,1,4,0,0,0,0,2,0,1,0,0
Street,3,2,6,7,14,5,10,23,7,5,1,3
Residential area,3,1,9,10,23,13,45,32,13,11,1,1
Leisure,3,0,0,0,2,10,11,2,0,0,0,0
Night,3,0,1,0,0,0,0,4,2,0,0,0
Park,3,1,1,4,22,22,29,11,6,8,0,3
Official residence,3,6,10,16,28,50,62,63,46,26,3,1
Spire,3,1,7,5,10,6,9,11,7,13,1,5
Nature reserve,3,2,1,3,20,19,32,18,11,11,2,0
Metropolitan area,3,1,3,2,11,3,23,15,4,2,0,0
Landscape,3,2,3,1,13,6,12,14,6,6,1,2
Dome,3,0,1,0,1,0,0,0,0,0,0,0
Steeple,2,1,5,7,16,9,25,26,8,10,2,4
Water resources,2,1,1,7,26,24,26,18,15,9,6,0
Interior design,2,0,1,0,1,1,1,2,4,2,0,0
Campus,2,0,1,3,4,3,3,6,2,1,0,0
Plaza,2,1,4,5,18,12,9,15,9,6,1,0
Baptistery,2,0,0,1,0,0,0,0,1,0,0,0
Meadow,2,0,0,4,15,12,13,10,3,2,0,0
Field,2,2,1,7,13,10,10,14,4,1,0,2
Byzantine architecture,2,0,0,0,1,1,2,1,1,0,0,0
Table,2,0,0,0,0,0,1,1,2,0,0,1
Flooring,2,0,3,0,2,1,0,2,1,2,0,0
Room,2,0,3,0,4,0,0,4,3,0,0,0
Body of water,2,0,2,7,18,16,15,13,10,8,5,0
Ditch,2,0,0,0,0,0,0,0,0,1,0,0
Spring,2,0,7,11,51,8,9,9,2,1,1,1
Pedestrian,2,0,1,0,3,1,0,5,0,0,0,0
College,2,0,2,2,2,1,6,4,2,0,0,1
Sport venue,2,0,4,6,2,14,11,6,6,0,0,0
Leisure centre,2,0,0,0,1,0,2,0,0,0,0,0
Shed,2,0,0,0,0,0,2,0,0,0,0,1
Travel,2,0,0,0,1,0,0,0,1,0,0,0
Town square,2,0,4,7,15,8,8,14,9,6,1,1
Abbey,2,0,0,0,0,0,1,1,2,1,0,0
Vehicle,2,1,3,2,6,13,13,16,8,2,0,0
Vacation,2,0,0,0,1,2,3,0,1,0,0,0
