Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1,Lund_01120,Landmark,Medieval architecture,Architecture,Building,Sky,Place of worship,Church,Facade,Classical architecture,Historic site,[T L He G L T,@ Sumeet Ranjan S, May 2017
6,Lund_00981,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Leaf,Spring,Plant,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
14,Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area,Lundagérd,ﬁg‘ Nicolds Lundin, May 2017
17,Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,Spring,House,Lundagérd 9,Vanja Matic, May 2017
32,Lund_01701,Reflection,Reflecting pool,Waterway,Water,Property,Estate,Natural landscape,Bank,Home,Pond,Botanical Garden,@ Sumeet Ranjan S, May 2017
34,Lund_01566,Architecture,Landmark,Medieval architecture,Classical architecture,Building,Place of worship,Cathedral,Facade,Historic site,Church,Lund Cathedral,Ivan Vidanovic, May 2017
56,Lund_01103,Building,Estate,Property,Palace,Mansion,Architecture,Sky,Stately home,House,Château,Lundagérd,) ravio ERachici, May 2018
62,Lund_01681,Water,Tree,Reflection,Architecture,River,Pond,Reflecting pool,Bank,Watercourse,Landscape,Lundagérd,) ravio ERachici, May 2018
76,Lund_01938,Landmark,Steeple,Architecture,Building,Spire,Tower,Church,Medieval architecture,Roof,Sky,Lund Cathedral,Leif Bengtsson, May 2016
79,Lund_00287,Estate,Building,Landmark,Mansion,Architecture,Stately home,Palace,House,Historic house,Tree,Lundagérd 8,'?- Balézs Szab6, May 2017
102,Lund_00538,Architecture,Building,Landmark,Medieval architecture,Tower,Church,Place of worship,City,Sky,Classical architecture,Lund Tourist Center,5‘3.‘..@ LU G, May 2016
106,Lund_01324,Landmark,Architecture,Building,Medieval architecture,Sky,Tree,Castle,Château,Facade,Tourism,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017
113,Lund_02987,Grassland,Nature,Plain,Sky,Horizon,Natural environment,Green,Morning,Natural landscape,Atmospheric phenomenon,Klosteréngshojden,W Wokitty b, May 2017
122,Lund_02242,Water resources,Body of water,Water,Sky,Natural landscape,River,Natural environment,Lake,Bank,Vegetation,L TR TR,Charlotte Skarin, May 2017
128,Lund_02813,Landmark,Building,Architecture,Classical architecture,Medieval architecture,Facade,Historic site,Place of worship,Cathedral,City,Chocolaterie Hovby |,A  Anna-Grethe Sore, May 2017
