topic,Freq,cluster,topics,x,y
1,47.15151420232767,1,1,-0.11546392219099276,-0.005546686977980617
4,22.66211967694466,1,2,-0.09265119355288175,0.14618736303637425
0,15.187662648207843,1,3,-0.06972099505010233,-0.16406492283418864
6,12.346753557298753,1,4,0.229213564287151,0.0059209291058169005
9,0.4419916525368468,1,5,0.011726551512246079,0.0009399667436832107
8,0.4419916525368468,1,6,0.005936215122439666,0.002536211259772866
7,0.4419916525368468,1,7,0.012482922092759636,0.00221299981776901
5,0.4419916525368468,1,8,0.008881649942314378,-0.0007737500055773582
3,0.4419916525368468,1,9,0.00467822119552516,0.0027666523620621386
2,0.4419916525368468,1,10,0.004916986641540893,0.009821237492268226
