term,Category,Freq,Term,Total,loglift,logprob
1,Default,6.0,cathedral,6.0,9.0,9.0
5,Default,7.0,lund,7.0,8.0,8.0
3,Default,3.0,church,3.0,7.0,7.0
0,Default,2.0,building,2.0,6.0,6.0
6,Default,2.0,place,2.0,5.0,5.0
2,Default,2.0,center,2.0,4.0,4.0
4,Default,2.0,located,2.0,3.0,3.0
7,Default,2.0,structure,2.0,2.0,2.0
8,Default,2.0,sweden,2.0,1.0,1.0
1,Topic1,6.036844910562783,cathedral,6.572341772910299,0.6668,-0.9161
5,Topic1,4.9998269074928565,lund,7.3228711300093945,0.3702,-1.1045
8,Topic1,1.0073007618444358,sweden,2.2036716920082484,-0.031,-2.7067
7,Topic1,1.0126842284207205,structure,2.259519393757268,-0.0507,-2.7013
4,Topic1,1.0070176326419382,located,2.3841132340608575,-0.11,-2.7069
2,Topic1,0.37890951656730854,center,2.406345197078794,-1.0968,-3.6844
3,Topic1,0.33208277625655747,church,3.223959559022827,-1.5212,-3.8163
0,Topic1,0.16821648292485727,building,2.860637842322962,-2.0817,-4.4964
6,Topic1,0.14560132803339437,place,2.766540178829347,-2.1927,-4.6408
3,Topic2,2.528447967265064,church,3.223959559022827,1.2415,-1.0537
2,Topic2,1.6627694141894893,center,2.406345197078794,1.1149,-1.4728
4,Topic2,1.0240920469364372,located,2.3841132340608575,0.6395,-1.9575
5,Topic2,1.2473151844161268,lund,7.3228711300093945,-0.2855,-1.7603
7,Topic2,0.16076219304937953,structure,2.259519393757268,-1.1585,-3.8091
8,Topic2,0.152080606932344,sweden,2.2036716920082484,-1.189,-3.8646
6,Topic2,0.15807220942179934,place,2.766540178829347,-1.3778,-3.826
0,Topic2,0.14896216456418668,building,2.860637842322962,-1.4706,-3.8853
1,Topic2,0.1693765098474637,cathedral,6.572341772910299,-2.174,-3.7569
0,Topic3,2.3189931655194336,building,2.860637842322962,1.6748,-0.7399
7,Topic3,0.8583191824515526,structure,2.259519393757268,0.9168,-1.7338
5,Topic3,0.8596851266713234,lund,7.3228711300093945,-0.2575,-1.7322
8,Topic3,0.1373082925464749,sweden,2.2036716920082484,-0.891,-3.5666
2,Topic3,0.14681534590826073,center,2.406345197078794,-0.912,-3.4996
4,Topic3,0.13388332387793836,located,2.3841132340608575,-0.9949,-3.5918
6,Topic3,0.13935128711882927,place,2.766540178829347,-1.1037,-3.5518
3,Topic3,0.12866623352910594,church,3.223959559022827,-1.3365,-3.6316
1,Topic3,0.1370300898035909,cathedral,6.572341772910299,-1.9857,-3.5686
6,Topic4,2.2270758552941827,place,2.766540178829347,1.8749,-0.5733
8,Topic4,0.8112305980651777,sweden,2.2036716920082484,1.0924,-1.5832
7,Topic4,0.13527135851347324,structure,2.259519393757268,-0.7238,-3.3744
4,Topic4,0.1272645389515276,located,2.3841132340608575,-0.8385,-3.4354
2,Topic4,0.12243406066670826,center,2.406345197078794,-0.8865,-3.4741
0,Topic4,0.13045961724068342,building,2.860637842322962,-0.996,-3.4107
