topic,Freq,cluster,topics,x,y
5,44.94842412345303,1,1,0.02935883249621067,-0.12060124585554076
1,12.24423567992857,1,2,-0.14807319102164834,-0.06366565921024181
8,9.470021752101266,1,3,0.1315015797217168,0.048920147079690765
9,8.158062552587703,1,4,0.053507773208735857,-0.08015622676547489
4,6.675525589321099,1,5,0.06366977928921291,-0.029150759732826072
6,4.853106358224908,1,6,-0.0946797762467117,0.039285643724434535
0,4.528171674029846,1,7,-0.021790288168557572,0.0593858564559686
7,3.6848989269112264,1,8,-0.06354460096982656,0.054727494110911566
3,2.731809751878266,1,9,0.02870209314336901,0.05012052591388516
2,2.705743591564077,1,10,0.0213477985474985,0.04113422427919292
