term,Category,Freq,Term,Total,loglift,logprob
151,Default,20.0,visit,20.0,30.0,30.0
25,Default,20.0,church,20.0,29.0,29.0
1,Default,17.0,39,17.0,28.0,28.0
112,Default,7.0,park,7.0,27.0,27.0
96,Default,29.0,lund,29.0,26.0,26.0
52,Default,9.0,exciting,9.0,25.0,25.0
160,Default,11.0,worth,11.0,24.0,24.0
65,Default,17.0,garden,17.0,23.0,23.0
91,Default,6.0,little,6.0,22.0,22.0
101,Default,8.0,museum,8.0,21.0,21.0
29,Default,7.0,clock,7.0,20.0,20.0
105,Default,9.0,nice,9.0,19.0,19.0
21,Default,31.0,cathedral,31.0,18.0,18.0
16,Default,10.0,building,10.0,17.0,17.0
95,Default,5.0,lovely,5.0,16.0,16.0
115,Default,7.0,place,7.0,15.0,15.0
15,Default,8.0,botanical,8.0,14.0,14.0
133,Default,8.0,small,8.0,13.0,13.0
67,Default,6.0,good,6.0,12.0,12.0
90,Default,6.0,like,6.0,11.0,11.0
24,Default,6.0,christmas,6.0,10.0,10.0
89,Default,7.0,large,7.0,9.0,9.0
11,Default,37.0,beautiful,37.0,8.0,8.0
128,Default,2.0,ruins,2.0,7.0,7.0
110,Default,4.0,outside,4.0,6.0,6.0
117,Default,5.0,plants,5.0,5.0,5.0
61,Default,9.0,flowers,9.0,4.0,4.0
26,Default,5.0,churches,5.0,3.0,3.0
53,Default,3.0,exhibitions,3.0,2.0,2.0
152,Default,9.0,visited,9.0,1.0,1.0
11,Topic1,33.07930275461145,beautiful,37.28972522947907,0.6798,-2.3948
21,Topic1,27.33867410362062,cathedral,31.486025042631983,0.6584,-2.5854
45,Topic1,3.7413902450624046,details,4.758290088266023,0.5592,-4.5742
96,Topic1,22.626715889372818,lund,29.1904479595928,0.5449,-2.7745
124,Topic1,5.540622354707103,really,7.345173532026259,0.5177,-4.1816
35,Topic1,2.8736763659913094,connection,3.856157267360189,0.5056,-4.8381
149,Topic1,2.844881123021475,university,3.83160128061233,0.5019,-4.8481
75,Topic1,2.869303718584015,historic,3.8681901793882862,0.5009,-4.8396
116,Topic1,2.862627271375484,plant,3.869639302660869,0.4982,-4.8419
71,Topic1,2.857053170606647,greenhouses,3.8715276025460215,0.4958,-4.8439
10,Topic1,2.84201587410248,basement,3.857026261826353,0.4943,-4.8492
135,Topic1,2.852948670698979,story,3.878954774310783,0.4924,-4.8453
61,Topic1,6.413539693291971,flowers,9.255740502073078,0.4328,-4.0353
24,Topic1,4.650907630467901,christmas,6.814704047042103,0.4176,-4.3566
151,Topic1,13.832272357952185,visit,20.47417098781373,0.4075,-3.2667
42,Topic1,1.9561248118859722,decorated,2.9360256731693073,0.3936,-5.2227
3,Topic1,1.9479558731431854,ages,2.9257193946049784,0.3929,-5.2269
150,Topic1,1.9697035899192226,usually,2.9746281547710844,0.3874,-5.2158
36,Topic1,1.950977518223779,course,2.950874496817228,0.3859,-5.2253
22,Topic1,1.9640986838089702,centrally,2.9806064402855137,0.3826,-5.2186
114,Topic1,1.9642024768444957,peaceful,2.98274413508902,0.3819,-5.2186
86,Topic1,1.9571482209710467,kept,2.9844564486821064,0.3777,-5.2222
139,Topic1,1.934802483637964,surroundings,2.964829497815244,0.3728,-5.2337
31,Topic1,2.831460952861619,come,4.342309787977713,0.372,-4.8529
133,Topic1,5.374620163994848,small,8.327356874965933,0.3618,-4.212
92,Topic1,2.8776264419021054,located,4.545975651922418,0.3424,-4.8367
54,Topic1,3.7382374844296344,experience,5.922327203139269,0.3395,-4.5751
130,Topic1,2.8576238813541766,seen,4.531631044637593,0.3386,-4.8437
152,Topic1,5.796469706921912,visited,9.232760222256111,0.3341,-4.1364
122,Topic1,2.8509228032574163,quite,4.551671060483233,0.3318,-4.846
25,Topic1,12.653792499117602,church,20.739183969798834,0.3056,-3.3557
65,Topic1,10.013334015730845,garden,17.01619217569593,0.2694,-3.5898
98,Topic1,3.7519854074574095,middle,6.0798529589353905,0.317,-4.5714
90,Topic1,3.7480116803265284,like,6.38632966533909,0.2667,-4.5724
41,Topic1,2.849197869295815,day,4.622343185657259,0.3158,-4.8466
1,Topic1,7.988032294814347,39,17.333134286490026,0.025,-3.8157
107,Topic1,5.531027442260362,old,10.940193939079911,0.1176,-4.1833
146,Topic1,3.762314533030588,town,6.837058890359397,0.2023,-4.5686
144,Topic1,4.647013124015223,time,9.334294272002994,0.1022,-4.3574
160,Topic1,5.035345173882852,worth,11.531376591730778,-0.0289,-4.2772
89,Topic1,3.726175154517139,large,7.189957863669374,0.1424,-4.5783
29,Topic1,3.6137835447385123,clock,7.348087219859806,0.09,-4.6089
105,Topic1,3.683869267444278,nice,9.682014648742769,-0.1667,-4.5897
16,Topic1,3.619195234889398,building,10.270957320545504,-0.2434,-4.6074
15,Topic1,3.144961928753655,botanical,8.962635124172978,-0.2476,-4.7479
67,Topic1,2.8609049793730894,good,6.282335717886612,0.0131,-4.8425
117,Topic2,4.267192283526973,plants,5.949898992660728,1.7677,-3.1423
37,Topic2,2.493223137163298,cozy,3.5012508065003445,1.7606,-3.6796
70,Topic2,2.4732646744732465,greenhouse,4.001408546530264,1.619,-3.6877
94,Topic2,2.3543279240040214,lots,4.157943018786207,1.5313,-3.737
55,Topic2,2.4911612244811816,family,4.4092247280555865,1.5292,-3.6805
46,Topic2,3.2588091988054506,different,6.235917684130744,1.4512,-3.4118
23,Topic2,1.7142492283095148,children,3.6249925037813497,1.3512,-4.0542
15,Topic2,4.068296071892164,botanical,8.962635124172978,1.3103,-3.19
28,Topic2,3.1258036246355863,city,7.171841101507451,1.2696,-3.4535
115,Topic2,3.0459839351637843,place,7.146516205004066,1.2473,-3.4794
123,Topic2,1.7199850576028375,quot,4.121703308312956,1.2262,-4.0509
18,Topic2,1.7198518022693243,built,4.5397121914303735,1.1295,-4.051
136,Topic2,1.706647628686939,style,4.526681477206431,1.1247,-4.0587
2,Topic2,0.9325393931244231,actually,2.4737945026416175,1.1245,-4.6631
113,Topic2,0.9392943233119548,peace,2.4928436200666044,1.1241,-4.6558
100,Topic2,0.9223637595039166,modern,2.460593908130665,1.1189,-4.674
66,Topic2,0.9365865757326258,gardens,2.511890869942297,1.1136,-4.6587
109,Topic2,0.93396064963628,opportunities,2.5301348495094764,1.1035,-4.6615
141,Topic2,0.922399817297571,tell,2.504459194117537,1.1013,-4.674
88,Topic2,0.9287169249375652,landscaped,2.533815864301873,1.0964,-4.6672
33,Topic2,0.9360659935245615,completely,2.554740258697743,1.0961,-4.6593
118,Topic2,0.9377202305686759,play,2.606316646891282,1.0779,-4.6575
104,Topic2,0.9303731714612334,newly,2.627310676667357,1.062,-4.6654
129,Topic2,0.9243752780010921,saw,2.618668268263114,1.0588,-4.6718
47,Topic2,0.9305407534449505,disappointed,2.6432666629802672,1.0561,-4.6652
