topic,Freq,cluster,topics,x,y
2,30.222877761699625,1,1,-0.16255015351676377,0.03643683169311754
0,22.258828989741193,1,2,0.10787487432502317,-0.028409533638256896
4,19.29556469057821,1,3,0.13235089343648196,-0.0682865951672451
1,12.157109709886416,1,4,-0.11765232680782557,-0.10682096213998643
7,7.153302229196737,1,5,0.027454476399020263,0.10720657830074075
3,6.133696904769562,1,6,0.02708416959770711,0.08372916425155197
9,2.15238087605393,1,7,0.001548387390658072,0.01702370503839857
8,0.2087462793581085,1,8,-0.004662335163837338,-0.013578995541145365
6,0.2087462793581085,1,9,-0.0068513363438189355,-0.013904678800932513
5,0.2087462793581085,1,10,-0.004596649316644981,-0.013395513996242609
