term,Category,Freq,Term,Total,loglift,logprob
18,Default,7.0,lund,7.0,30.0,30.0
3,Default,4.0,beautiful,4.0,29.0,29.0
5,Default,4.0,building,4.0,28.0,28.0
30,Default,4.0,visit,4.0,27.0,27.0
7,Default,3.0,church,3.0,26.0,26.0
32,Default,2.0,worth,2.0,25.0,25.0
20,Default,4.0,nice,4.0,24.0,24.0
28,Default,3.0,town,3.0,23.0,23.0
12,Default,2.0,free,2.0,22.0,22.0
9,Default,3.0,day,3.0,21.0,21.0
17,Default,3.0,inside,3.0,20.0,20.0
29,Default,2.0,university,2.0,19.0,19.0
1,Default,3.0,15,3.0,18.0,18.0
23,Default,2.0,quiet,2.0,17.0,17.0
10,Default,2.0,dom,2.0,16.0,16.0
6,Default,2.0,center,2.0,15.0,15.0
0,Default,3.0,00,3.0,14.0,14.0
31,Default,3.0,walk,3.0,13.0,13.0
24,Default,2.0,relax,2.0,12.0,12.0
13,Default,2.0,freely,2.0,11.0,11.0
25,Default,1.0,romanesque,1.0,10.0,10.0
8,Default,2.0,clock,2.0,9.0,9.0
16,Default,2.0,impressive,2.0,8.0,8.0
21,Default,2.0,outside,2.0,7.0,7.0
14,Default,2.0,garden,2.0,6.0,6.0
2,Default,2.0,accessible,2.0,5.0,5.0
4,Default,2.0,botanical,2.0,4.0,4.0
11,Default,2.0,especially,2.0,3.0,3.0
19,Default,1.0,museum,1.0,2.0,2.0
26,Default,2.0,student,2.0,1.0,1.0
5,Topic1,4.251353783930273,building,4.94649631332196,1.0451,-1.9412
29,Topic1,1.801186472357193,university,2.469258277109843,0.8811,-2.8
10,Topic1,1.7871433995199322,dom,2.4717359581762945,0.8723,-2.8078
18,Topic1,5.067113080145505,lund,7.037957658045489,0.868,-1.7656
6,Topic1,1.7573241137436693,center,2.4486853957035777,0.8648,-2.8246
28,Topic1,1.8055822791279204,town,3.1124444754732057,0.652,-2.7975
26,Topic1,0.9688308313281659,student,2.265569253671721,0.3471,-3.4201
2,Topic1,0.9777187252659669,accessible,2.3812877533385,0.3064,-3.4109
21,Topic1,0.9725847969130706,outside,2.423921001146726,0.2834,-3.4162
16,Topic1,0.9703491547580109,impressive,2.421723121878771,0.282,-3.4185
3,Topic1,1.8136751142915153,beautiful,4.754746295150678,0.2328,-2.793
32,Topic1,0.970128087521574,worth,2.7017331138564984,0.1724,-3.4187
23,Topic1,0.9900183540138721,quiet,2.950529097314523,0.1046,-3.3984
17,Topic1,0.978497831824801,inside,3.2015308741200057,0.0112,-3.4101
30,Topic1,0.9736423014846762,visit,4.4540795531451085,-0.324,-3.4151
20,Topic1,0.9580558844345419,nice,4.671919204615842,-0.3878,-3.4312
19,Topic1,0.14773997381576315,museum,1.6024147975660354,-1.1872,-5.3007
25,Topic1,0.16340578454806742,romanesque,1.8234077990166282,-1.2157,-5.1999
15,Topic1,0.16040950453321365,gardens,2.241329801449021,-1.4405,-5.2184
14,Topic1,0.14608351752524845,garden,2.1128203206411804,-1.475,-5.312
24,Topic1,0.1440465663003549,relax,2.1224166169711602,-1.4936,-5.326
13,Topic1,0.1568316250598108,freely,2.325855436437358,-1.5001,-5.241
11,Topic1,0.14490371833190951,especially,2.241259621565261,-1.5422,-5.3201
4,Topic1,0.14928173961658447,botanical,2.3366197448834156,-1.5541,-5.2903
8,Topic1,0.14792528825721046,clock,2.320690196420526,-1.5563,-5.2994
27,Topic1,0.14201109256801184,summer,2.229252308669015,-1.5569,-5.3402
22,Topic1,0.14885475834668416,plays,2.343399507389808,-1.5598,-5.2932
12,Topic1,0.1534612616958996,free,2.8098270959896663,-1.7109,-5.2627
31,Topic1,0.1571724010786053,walk,3.0315662951653515,-1.7629,-5.2388
0,Topic1,0.15495780679651114,00,3.1170628224236117,-1.8049,-5.253
9,Topic1,0.15713457710729617,day,3.6334343346628497,-1.9443,-5.239
7,Topic1,0.15613389001165962,church,3.8920747852083584,-2.0194,-5.2454
7,Topic2,2.462633988135496,church,3.8920747852083584,1.0447,-2.1813
31,Topic2,1.6903274058664972,walk,3.0315662951653515,0.9183,-2.5576
0,Topic2,1.7042855857517551,00,3.1170628224236117,0.8987,-2.5494
1,Topic2,1.6901365486853541,15,3.102951169472009,0.8949,-2.5577
17,Topic2,1.7023652457573788,inside,3.2015308741200057,0.8708,-2.5505
14,Topic2,0.942949702228053,garden,2.1128203206411804,0.6957,-3.1413
11,Topic2,0.9162536198507412,especially,2.241259621565261,0.6079,-3.17
4,Topic2,0.9169185526493091,botanical,2.3366197448834156,0.567,-3.1693
22,Topic2,0.9109250993858866,plays,2.343399507389808,0.5575,-3.1758
21,Topic2,0.9258431484564574,outside,2.423921001146726,0.54,-3.1596
16,Topic2,0.9237266040636019,impressive,2.421723121878771,0.5386,-3.1619
20,Topic2,1.7051419003827215,nice,4.671919204615842,0.4945,-2.5489
