term,Category,Freq,Term,Total,loglift,logprob
1022,Default,198.0,museum,198.0,30.0,30.0
1069,Default,119.0,old,119.0,29.0,29.0
1531,Default,90.0,swedish,90.0,28.0,28.0
335,Default,196.0,clock,196.0,27.0,27.0
1073,Default,68.0,open,68.0,26.0,26.0
1529,Default,89.0,sweden,89.0,25.0,25.0
242,Default,74.0,buildings,74.0,24.0,24.0
122,Default,55.0,art,55.0,23.0,23.0
322,Default,171.0,church,171.0,22.0,22.0
458,Default,112.0,different,112.0,21.0,21.0
1128,Default,73.0,people,73.0,20.0,20.0
1410,Default,87.0,small,87.0,19.0,19.0
755,Default,116.0,history,116.0,18.0,18.0
1158,Default,267.0,place,267.0,17.0,17.0
276,Default,297.0,cathedral,297.0,16.0,16.0
776,Default,53.0,houses,53.0,15.0,15.0
925,Default,58.0,lot,58.0,14.0,14.0
1565,Default,143.0,time,143.0,13.0,13.0
846,Default,116.0,just,116.0,12.0,12.0
664,Default,127.0,garden,127.0,11.0,11.0
482,Default,75.0,don,75.0,10.0,10.0
76,Default,39.0,air,39.0,9.0,9.0
690,Default,74.0,good,74.0,8.0,8.0
1120,Default,20.0,paths,20.0,7.0,7.0
117,Default,22.0,areas,22.0,6.0,6.0
850,Default,27.0,kids,27.0,5.0,5.0
822,Default,173.0,interesting,173.0,4.0,4.0
1041,Default,217.0,nice,217.0,3.0,3.0
906,Default,60.0,little,60.0,2.0,2.0
899,Default,76.0,like,76.0,1.0,1.0
335,Topic1,195.5093868503736,clock,196.44116347848092,0.7552,-3.7597
140,Topic1,75.9385873260857,astronomical,76.39927328432707,0.7539,-4.7054
412,Topic1,71.34711533383707,crypt,71.80410743774843,0.7535,-4.7678
1581,Topic1,38.77009124580283,tour,39.22696510330452,0.7482,-5.3777
114,Topic1,36.94169322427414,architecture,37.40725233042223,0.7474,-5.426
1405,Topic1,37.725071609449245,sketches,38.202652563989744,0.7473,-5.405
520,Topic1,37.76369196291612,english,38.25166298584844,0.7471,-5.404
676,Topic1,34.93707691759826,giant,35.39375532664377,0.7469,-5.4818
1740,Topic1,36.946432733749276,years,37.432567067922015,0.7468,-5.4259
1729,Topic1,33.514778546412025,works,33.971918074594974,0.7464,-5.5233
622,Topic1,26.764680914582623,finn,27.221203146046523,0.743,-5.7482
127,Topic1,26.162175477376056,artists,26.6204834423945,0.7425,-5.771
122,Topic1,54.06005356906682,art,55.03099826359945,0.7421,-5.0452
1406,Topic1,23.463623712298816,skissernas,23.920427813208292,0.7406,-5.8799
292,Topic1,34.19194625998302,century,34.890379314175064,0.7397,-5.5033
1300,Topic1,19.78499701219775,romanesque,20.243477059002153,0.737,-6.0504
172,Topic1,19.666461148968903,basement,20.12255237734153,0.737,-6.0564
1155,Topic1,19.666556546704378,pieces,20.124166088733592,0.7369,-6.0564
0,Topic1,18.115467328002566,00,18.571844493649078,0.735,-6.1386
715,Topic1,17.317417060675982,guided,17.77395887535593,0.7339,-6.1836
138,Topic1,17.050229997974974,astrological,17.516113737846332,0.733,-6.1992
277,Topic1,15.41473804826677,cathedrals,15.871232047764627,0.7307,-6.3
12,Topic1,15.369559200112317,12,15.826047563551539,0.7306,-6.3029
801,Topic1,14.397375471087916,including,14.858501285627906,0.7284,-6.3683
322,Topic1,166.03554593970253,church,171.74644393853688,0.7261,-3.9231
1045,Topic1,12.59330981210806,noon,13.050147050904108,0.7243,-6.5022
616,Topic1,12.353105885706126,final,12.809744757245202,0.7236,-6.5214
1490,Topic1,11.814472264034102,story,12.270808814765022,0.722,-6.566
1555,Topic1,11.045329396501113,thing,11.502767018818114,0.7193,-6.6333
1024,Topic1,10.836416246421447,music,11.294492213314694,0.7185,-6.6524
276,Topic1,276.33838337173114,cathedral,297.62740385904647,0.6857,-3.4137
1557,Topic1,14.381267822532031,think,15.03649333562959,0.7154,-6.3694
823,Topic1,25.954299809109667,interior,27.658244013663953,0.6963,-5.779
798,Topic1,56.20018628827051,impressive,62.998667485451854,0.6457,-5.0064
755,Topic1,99.86788483015988,history,116.3906467480987,0.6068,-4.4315
598,Topic1,30.362790509881226,fascinating,33.72947458374171,0.6548,-5.6221
243,Topic1,30.726298819435637,built,34.341078121723456,0.6487,-5.6102
810,Topic1,86.57498374183213,inside,108.83730230541713,0.5311,-4.5743
998,Topic1,50.423043484616294,miss,59.88379894772828,0.588,-5.1149
822,Topic1,128.58586522170606,interesting,173.56697429010447,0.4599,-4.1787
241,Topic1,90.61283446387162,building,119.74658703905116,0.4811,-4.5287
482,Topic1,60.142525048999545,don,75.11437981327012,0.5376,-4.9386
1731,Topic1,113.43563729562838,worth,158.96625036697944,0.4225,-4.3041
1656,Topic1,174.1420921545542,visit,263.5034725484688,0.3457,-3.8755
939,Topic1,245.515991482284,lund,420.87289611324377,0.2209,-3.532
1531,Topic1,63.87010251520878,swedish,90.03049073377045,0.4166,-4.8785
180,Topic1,127.16815141510612,beautiful,245.65631605693483,0.1015,-4.1898
1022,Topic1,109.01177850381974,museum,198.52475933282085,0.1605,-4.3439
1657,Topic1,50.33364242512082,visited,68.93664579866721,0.4454,-5.1166
1565,Topic1,80.65895836411812,time,143.05132117072918,0.1869,-4.6451
1069,Topic1,64.09006625075114,old,119.06502069204122,0.1405,-4.875
1239,Topic1,46.377962093579185,really,85.46487921405382,0.1486,-5.1985
1041,Topic1,55.00358987460347,nice,217.74931474288297,-0.616,-5.0279
1529,Topic1,42.85210007490538,sweden,89.02763516342631,0.0287,-5.2776
1158,Topic1,52.333192834180686,place,267.2947173606243,-0.8708,-5.0777
700,Topic1,42.81802644530115,great,131.40516442742842,-0.3614,-5.2784
647,Topic1,39.42998213441642,free,77.159491835857,0.0886,-5.3608
430,Topic1,39.77909157976743,day,100.27767413462841,-0.1647,-5.352
664,Topic2,126.82669872362146,garden,127.2890169897931,0.8494,-4.0993
1165,Topic2,79.75481076324473,plants,80.21714688561774,0.8473,-4.5632
666,Topic2,80.22602977565776,gardens,80.70688967551945,0.8471,-4.5573
220,Topic2,70.83028110357873,botanical,71.29290754746887,0.8466,-4.6819
250,Topic2,58.72645392058245,cafe,59.209639537566474,0.8449,-4.8693
629,Topic2,51.413437321038046,flowers,51.8759031818473,0.8441,-5.0023
1512,Topic2,49.141743322995296,summer,49.659740678278496,0.8426,-5.0474
701,Topic2,37.95814238751381,green,38.423158566641646,0.8409,-5.3057
1031,Topic2,37.17259673868428,nature,37.63472154486773,0.8407,-5.3266
1149,Topic2,37.0462560623455,picnic,37.5080830666701,0.8407,-5.33
1454,Topic2,36.16443722684836,spring,36.64314254345215,0.8399,-5.3541
1105,Topic2,86.67930563410208,park,87.93214490814448,0.8387,-4.4799
1309,Topic2,31.0341851625533,run,31.496275441135708,0.8383,-5.5071
1496,Topic2,30.087492548268308,stroll,30.554480848454972,0.8377,-5.538
1602,Topic2,29.30965229251834,trees,29.77169851771575,0.8374,-5.5642
703,Topic2,24.923337409526813,greenhouse,25.38548551080483,0.8347,-5.7263
1472,Topic2,24.63460532584955,station,25.096782450403047,0.8345,-5.738
654,Topic2,23.82891984868167,friends,24.290826197852244,0.8339,-5.7713
234,Topic2,22.980695297838537,bring,23.442457180475092,0.8332,-5.8075
1730,Topic2,22.783293189336163,world,23.24675874055548,0.8329,-5.8161
1517,Topic2,21.189546216267356,sunny,21.65125191547595,0.8315,-5.8886
1178,Topic2,19.772464951232017,pond,20.23408159561922,0.83,-5.9579
344,Topic2,18.5194663866547,coffee,18.98191957704222,0.8284,-6.0233
1055,Topic2,18.222453158148856,oasis,18.684959899852387,0.828,-6.0395
1167,Topic2,17.99693185953958,playground,18.45895437950693,0.8277,-6.052
704,Topic2,17.83843575913796,greenhouses,18.30017640388163,0.8275,-6.0608
1263,Topic2,17.828305021337343,relax,18.29004513347533,0.8275,-6.0614
199,Topic2,17.040315674482322,birds,17.502635540308525,0.8263,-6.1066
1265,Topic2,16.71165651457939,relaxing,17.174259336198876,0.8258,-6.126
1341,Topic2,15.923594312840606,season,16.385613275642655,0.8245,-6.1744
1501,Topic2,28.61046822699619,students,29.92146390137824,0.8083,-5.5884
