topic,Freq,cluster,topics,x,y
7,45.313790352459804,1,1,-0.13325978517320522,0.0035702729460311096
5,15.310862253900561,1,2,0.11027891502088906,0.12690543639318125
6,12.452460802515468,1,3,0.17065087995478279,-0.11170349570599523
0,12.297936459199285,1,4,-0.04667910557504434,0.06971790971278198
2,7.132802123913468,1,5,-0.10376462893387546,-0.10322121634838499
4,5.758807955344427,1,6,-0.026818924242527933,0.05941463631098857
1,1.1103830835797481,1,7,0.006952966660482856,-0.028107140464078497
9,0.20765232302908265,1,8,0.0072614861898194745,-0.00551308739005621
8,0.20765232302908265,1,9,0.006993010887289515,-0.00603664314737518
3,0.20765232302908265,1,10,0.008385185211389451,-0.005026672307092532
