topic,Freq,cluster,topics,x,y
6,25.947088091913788,1,1,0.15948582125802005,0.046991034558624856
4,21.54538536718696,1,2,0.1307465409798328,-0.002766499753564782
7,17.290561976886302,1,3,-0.13726120982201317,0.09080895641754969
0,10.416802903050666,1,4,-0.029932278828973615,-0.17236072665595648
8,7.118880194556134,1,5,0.017004578302400795,0.07325189238175392
3,6.24677417105555,1,6,0.026359058513142956,-0.04984381008371881
2,5.430876597832455,1,7,-0.05071597722067305,0.005855777010294035
1,2.921795694353718,1,8,-0.07262085539650184,-0.011552484228164803
5,2.921751525332567,1,9,-0.011678236251803304,0.01596434890233865
9,0.16008347783187798,1,10,-0.03138744153343179,0.0036515114508439963
