term,Category,Freq,Term,Total,loglift,logprob
15,Default,22.0,cathedral,22.0,30.0,30.0
53,Default,19.0,lund,19.0,29.0,29.0
30,Default,6.0,garden,6.0,28.0,28.0
60,Default,8.0,old,8.0,27.0,27.0
17,Default,6.0,church,6.0,26.0,26.0
67,Default,3.0,quot,3.0,25.0,25.0
20,Default,6.0,clock,6.0,24.0,24.0
84,Default,13.0,visit,13.0,23.0,23.0
0,Default,4.0,39,4.0,22.0,22.0
43,Default,5.0,inside,5.0,21.0,21.0
32,Default,2.0,guide,2.0,20.0,20.0
38,Default,3.0,houses,3.0,19.0,19.0
8,Default,9.0,beautiful,9.0,18.0,18.0
52,Default,2.0,lot,2.0,17.0,17.0
12,Default,5.0,building,5.0,16.0,16.0
24,Default,3.0,does,3.0,15.0,15.0
74,Default,3.0,small,3.0,14.0,14.0
56,Default,3.0,museum,3.0,13.0,13.0
31,Default,5.0,great,5.0,12.0,12.0
61,Default,3.0,oldest,3.0,11.0,11.0
27,Default,3.0,especially,3.0,10.0,10.0
19,Default,6.0,city,6.0,9.0,9.0
77,Default,5.0,sweden,5.0,8.0,8.0
14,Default,2.0,built,2.0,7.0,7.0
44,Default,5.0,interesting,5.0,6.0,6.0
42,Default,7.0,impressive,7.0,5.0,5.0
63,Default,5.0,outside,5.0,4.0,4.0
78,Default,2.0,time,2.0,3.0,3.0
62,Default,2.0,outdoor,2.0,2.0,2.0
82,Default,5.0,university,5.0,1.0,1.0
18,Topic1,2.6753082741279712,churches,3.5636232215954373,1.0624,-3.5389
53,Topic1,13.2386758754566,lund,19.270912947917722,0.9737,-1.9399
25,Topic1,1.8464777964898376,entrance,2.7609072091121276,0.9468,-3.9097
75,Topic1,1.834760674158295,special,2.7606512729573636,0.9406,-3.9161
71,Topic1,1.8308206359453054,scandinavia,2.760633356113733,0.9384,-3.9182
82,Topic1,3.519900418335502,university,5.86892441842609,0.8379,-3.2646
15,Topic1,13.604738927911203,cathedral,22.788581757227035,0.8333,-1.9126
33,Topic1,1.8353257689929479,highlight,3.587538340261018,0.6789,-3.9158
61,Topic1,1.8215454354170717,oldest,3.9545846373250972,0.5739,-3.9233
84,Topic1,5.999992370804219,visit,13.028539575094033,0.5737,-2.7312
87,Topic1,3.833549260282693,worth,8.412440601355387,0.5632,-3.1792
13,Topic1,1.8401969337118045,buildings,4.133252534784273,0.5399,-3.9131
80,Topic1,0.9994936771559313,tourist,2.2899756348924045,0.5201,-4.5235
78,Topic1,0.9994932350117416,time,2.2911695253512634,0.5195,-4.5235
79,Topic1,0.984562027679635,today,2.314945853843875,0.4942,-4.5386
40,Topic1,0.990467167995454,imposing,2.4628587328036495,0.4382,-4.5326
36,Topic1,0.998826110259117,home,2.5187252022663875,0.4242,-4.5242
3,Topic1,1.0120977223013286,admission,2.685280155899448,0.3734,-4.511
66,Topic1,1.003865070839497,possibilities,2.676212925639475,0.3686,-4.5191
29,Topic1,0.998725739406941,free,2.6912328986035345,0.3578,-4.5243
46,Topic1,0.994207981424447,lake,2.685048546957571,0.3556,-4.5288
81,Topic1,0.996736274063209,town,2.7448371662057918,0.3361,-4.5263
77,Topic1,1.845444871000173,sweden,5.489847547914132,0.2589,-3.9103
31,Topic1,1.8512407997010185,great,5.60534921803544,0.2412,-3.9072
51,Topic1,1.0734199714315542,look,3.3140464315220983,0.2218,-4.4522
72,Topic1,1.1132309794738882,seeing,3.5001078333275246,0.2036,-4.4157
22,Topic1,1.004963045410176,definitely,3.298067816461411,0.1607,-4.5181
5,Topic1,0.9941376237073823,area,3.3432918559277396,0.1363,-4.5289
17,Topic1,1.919284206989398,church,6.72489662995489,0.0952,-3.8711
74,Topic1,1.0029757142718605,small,3.754227289477025,0.0292,-4.52
42,Topic1,1.8377722371200913,impressive,7.427547592249167,-0.0475,-3.9145
60,Topic1,1.8281702951047474,old,8.760723588497573,-0.2179,-3.9197
8,Topic1,1.1582444684259696,beautiful,9.702193801034392,-0.7763,-4.3761
63,Topic1,1.0698903043432362,outside,5.524230156645769,-0.2925,-4.4555
19,Topic1,1.0779830560588444,city,6.894062828655585,-0.5065,-4.4479
12,Topic2,4.246734564784243,building,5.130198657236161,1.346,-2.891
54,Topic2,2.6052686589766902,magnificent,3.5252018502461815,1.2326,-3.3796
58,Topic2,1.816426813269047,nice,2.6980312194022282,1.1394,-3.7402
60,Topic2,5.0567864180650846,old,8.760723588497573,0.9855,-2.7164
27,Topic2,1.7793685130075865,especially,3.092830046966261,0.9822,-3.7609
49,Topic2,1.7942438051474399,like,3.2292090010182957,0.9474,-3.7525
67,Topic2,1.7995919326126002,quot,3.485854467670449,0.8739,-3.7495
43,Topic2,2.6052554566302875,inside,5.274206208132761,0.8297,-3.3796
38,Topic2,1.7890322103744019,houses,3.795985966097324,0.7827,-3.7554
42,Topic2,3.444713861333679,impressive,7.427547592249167,0.7667,-3.1003
55,Topic2,0.978995689016443,middle,2.442387983742643,0.6208,-4.3583
57,Topic2,0.969245416154385,nature,2.434748592365723,0.6139,-4.3683
23,Topic2,0.9774749142651902,distance,2.460376033457849,0.6119,-4.3599
83,Topic2,0.9726031657464105,venerable,2.4866381818074985,0.5963,-4.3649
20,Topic2,2.6071876784943337,clock,6.906898769223379,0.5608,-3.3788
21,Topic2,0.9655766590415339,crypt,2.568138621795247,0.5568,-4.3721
39,Topic2,0.9728472136369081,important,2.6465331175005686,0.5342,-4.3646
