term,Topic,Freq,Term
0,3,0.23219144591701935,39
0,4,0.4643828918340387,39
1,4,0.8166112997036652,accessible
2,5,0.4505923506379529,activities
2,7,0.4505923506379529,activities
3,1,0.3724006218878287,admission
3,3,0.3724006218878287,admission
4,3,0.3970181440018777,allowed
4,4,0.3970181440018777,allowed
5,1,0.29910640263935534,area
5,2,0.29910640263935534,area
5,5,0.29910640263935534,area
6,7,0.4979735282743365,areas
7,4,0.660270543554327,astronomical
7,6,0.3301352717771635,astronomical
8,1,0.1030694727921623,beautiful
8,2,0.3092084183764869,beautiful
8,3,0.2061389455843246,beautiful
8,4,0.1030694727921623,beautiful
8,6,0.1030694727921623,beautiful
8,7,0.1030694727921623,beautiful
9,3,0.766996974040665,beautifully
10,6,0.4845100256725937,beginning
11,3,0.5901546609417605,botanical
12,2,0.7796969020601158,building
13,1,0.4838804266539659,buildings
13,3,0.24194021332698296,buildings
13,5,0.24194021332698296,buildings
14,6,0.3577286030146353,built
14,7,0.3577286030146353,built
15,1,0.6143427506435377,cathedral
15,2,0.21940812522983488,cathedral
15,5,0.043881625045966974,cathedral
15,6,0.08776325009193395,cathedral
16,3,0.4979279084088059,center
16,5,0.24896395420440295,center
17,1,0.297402340891211,church
17,4,0.4461035113368164,church
17,6,0.1487011704456055,church
18,1,0.8418398392456589,churches
19,1,0.14505234791934882,city
19,2,0.29010469583869763,city
19,3,0.29010469583869763,city
19,5,0.14505234791934882,city
19,6,0.14505234791934882,city
20,2,0.4343483378340181,clock
20,4,0.4343483378340181,clock
20,6,0.14478277927800604,clock
21,2,0.3893870803987029,crypt
21,4,0.3893870803987029,crypt
22,1,0.3032078342988495,definitely
22,2,0.3032078342988495,definitely
22,5,0.3032078342988495,definitely
23,2,0.4064419366801363,distance
23,5,0.4064419366801363,distance
24,3,0.5598485412069364,does
24,6,0.2799242706034682,does
25,1,0.7243995717781382,entrance
27,2,0.6466569354374284,especially
28,4,0.4042374986396001,expect
29,1,0.37157690830804513,free
29,3,0.37157690830804513,free
30,3,0.9210759485843621,garden
31,1,0.3568020335940745,great
31,3,0.17840101679703724,great
31,4,0.3568020335940745,great
32,3,0.381120628971273,guide
32,9,0.381120628971273,guide
33,1,0.5574853312520937,highlight
33,2,0.2787426656260468,highlight
34,2,0.29266367285569794,historic
34,3,0.5853273457113959,historic
35,3,0.4199140322821684,history
35,6,0.4199140322821684,history
36,1,0.3970262413304098,home
36,5,0.3970262413304098,home
37,3,0.7667917304526563,hours
38,2,0.5268723377437067,houses
38,7,0.26343616887185334,houses
39,2,0.37785281936861503,important
39,3,0.37785281936861503,important
40,1,0.40603222047641685,imposing
40,6,0.40603222047641685,imposing
41,3,0.408801295013954,impresses
41,5,0.408801295013954,impresses
42,1,0.2692678808395722,impressive
42,2,0.4039018212593583,impressive
42,4,0.2692678808395722,impressive
43,2,0.5688059741338966,inside
43,5,0.18960199137796552,inside
43,6,0.18960199137796552,inside
44,2,0.34342376042035916,interesting
44,3,0.5151356406305387,interesting
45,5,0.4528555591502266,kept
45,7,0.4528555591502266,kept
46,1,0.372432744701432,lake
46,3,0.372432744701432,lake
47,3,0.5905962561283515,landscaped
48,4,0.8168920158029473,lead
49,2,0.6193467190786728,like
49,7,0.3096733595393364,like
50,3,0.7672189523035448,long
51,1,0.3017459231977969,look
51,4,0.3017459231977969,look
52,8,0.4489492462135969,lot
53,1,0.6745918076187817,lund
53,2,0.2075667100365482,lund
53,3,0.05189167750913705,lund
53,5,0.05189167750913705,lund
54,2,0.8510150985511641,magnificent
55,2,0.4094353586147397,middle
55,6,0.4094353586147397,middle
56,1,0.2644860256929541,museum
56,3,0.2644860256929541,museum
56,7,0.2644860256929541,museum
57,2,0.4107200238807203,nature
57,7,0.4107200238807203,nature
58,2,0.7412812667316419,nice
59,3,0.7667701266499086,offers
60,1,0.22829164506752708,old
60,2,0.5707291126688177,old
60,7,0.11414582253376354,old
61,1,0.5057421153976897,oldest
61,5,0.2528710576988448,oldest
62,7,0.47389684242272123,outdoor
63,1,0.18102069820479477,outside
63,2,0.36204139640958954,outside
63,4,0.18102069820479477,outside
63,6,0.18102069820479477,outside
64,3,0.6228348010420862,park
64,5,0.3114174005210431,park
65,3,0.3147876754031945,paths
65,4,0.3147876754031945,paths
65,5,0.3147876754031945,paths
66,1,0.3736623459290155,possibilities
66,3,0.3736623459290155,possibilities
67,2,0.5737474178996848,quot
67,8,0.2868737089498424,quot
68,1,0.24012763587594615,really
68,3,0.4802552717518923,really
68,4,0.24012763587594615,really
69,4,0.42926944970899206,reserve
69,7,0.42926944970899206,reserve
70,5,0.44410911129426006,romanesque
70,6,0.44410911129426006,romanesque
71,1,0.7244714317353208,scandinavia
72,1,0.2857054832648707,seeing
72,2,0.2857054832648707,seeing
72,3,0.2857054832648707,seeing
73,5,0.4476703402155219,simple
73,6,0.4476703402155219,simple
74,1,0.26636639790109856,small
74,3,0.26636639790109856,small
74,7,0.26636639790109856,small
75,1,0.7244667298588164,special
76,3,0.42280179644118066,suitable
76,7,0.42280179644118066,suitable
77,1,0.36430884146498754,sweden
77,2,0.18215442073249377,sweden
77,4,0.18215442073249377,sweden
77,5,0.18215442073249377,sweden
78,1,0.43645831918381867,time
79,1,0.43197554635653357,today
80,1,0.43668586895117134,tourist
81,1,0.3643203364891431,town
81,2,0.3643203364891431,town
82,1,0.6815558890895902,university
82,2,0.17038897227239755,university
82,5,0.17038897227239755,university
83,2,0.40214937875405565,venerable
83,5,0.40214937875405565,venerable
84,1,0.4605274417302981,visit
84,2,0.3070182944868654,visit
84,3,0.1535091472434327,visit
85,3,0.7703164529867375,walk
86,3,0.4097340259340778,walking
86,5,0.4097340259340778,walking
87,1,0.4754862696273341,worth
87,2,0.35661470222050057,worth
87,3,0.11887156740683352,worth
87,4,0.11887156740683352,worth
