term,Topic,Freq,Term
0,3,0.24406856824005665,39
0,4,0.4881371364801133,39
0,6,0.24406856824005665,39
1,3,0.3779666860522609,absolutely
1,4,0.3779666860522609,absolutely
2,6,0.4403182370752105,air
2,7,0.4403182370752105,air
3,1,0.7401090173129666,architecture
4,1,0.39445038768449137,area
4,6,0.39445038768449137,area
5,2,0.5079005718434907,astronomical
5,3,0.33860038122899383,astronomical
5,4,0.16930019061449691,astronomical
6,1,0.12178586127223065,beautiful
6,2,0.060892930636115325,beautiful
6,3,0.6089293063611533,beautiful
6,4,0.060892930636115325,beautiful
6,5,0.060892930636115325,beautiful
6,7,0.060892930636115325,beautiful
7,3,0.416813394433121,botanical
7,5,0.416813394433121,botanical
8,5,0.7782742590049222,building
9,1,0.29026311032674207,built
9,4,0.5805262206534841,built
10,5,0.48665734919532905,cared
11,1,0.2929625956473538,cathedral
11,2,0.2929625956473538,cathedral
11,3,0.17577755738841225,cathedral
11,4,0.1171850382589415,cathedral
11,6,0.05859251912947075,cathedral
12,1,0.5077677739176164,center
12,2,0.3046606643505699,center
12,4,0.10155355478352329,center
12,6,0.10155355478352329,center
13,5,0.41169699852924263,chance
13,6,0.41169699852924263,chance
14,1,0.4498732642401504,church
14,4,0.4498732642401504,church
15,2,0.3992206650709876,city
15,3,0.13307355502366253,city
15,4,0.26614711004732505,city
16,2,0.400345008878782,clock
16,3,0.400345008878782,clock
16,4,0.13344833629292735,clock
17,1,0.4953038541900833,close
17,3,0.24765192709504166,close
17,7,0.24765192709504166,close
18,1,0.2367187274538906,crypt
18,3,0.4734374549077812,crypt
18,4,0.2367187274538906,crypt
19,2,0.6959997002336018,day
19,3,0.23199990007786728,day
20,1,0.4158903081929363,different
20,7,0.4158903081929363,different
21,1,0.5718600037395394,europe
21,3,0.2859300018697697,europe
22,1,0.7438363210227472,example
23,3,0.4202426283424861,garden
23,5,0.4202426283424861,garden
24,2,0.8551046823185473,gray
25,3,0.46183913631296986,greenhouse
26,6,0.42668989870962937,houses
27,1,0.3019599758972637,imposing
27,2,0.3019599758972637,imposing
27,4,0.15097998794863185,imposing
27,5,0.15097998794863185,imposing
28,2,0.3532410577022282,inside
28,3,0.1766205288511141,inside
28,6,0.1766205288511141,inside
29,1,0.586786823655749,interesting
29,3,0.11735736473114979,interesting
29,5,0.11735736473114979,interesting
29,7,0.11735736473114979,interesting
30,3,0.7535852203263129,kept
31,3,0.46401299883811464,large
32,1,0.2900426114462061,little
32,4,0.5800852228924122,little
33,2,0.29982907838086753,located
33,4,0.29982907838086753,located
33,6,0.29982907838086753,located
34,1,0.2952162668302447,lund
34,2,0.17712976009814685,lund
34,4,0.3542595201962937,lund
34,5,0.11808650673209789,lund
34,7,0.059043253366048945,lund
35,2,0.5742887887523492,magnificent
35,3,0.2871443943761746,magnificent
36,5,0.8110226372651905,main
37,1,0.37968074192907547,majestic
37,3,0.37968074192907547,majestic
38,7,0.5445181573064448,malmo
39,1,0.4113114631731119,medieval
39,7,0.4113114631731119,medieval
40,3,0.3049122396326219,miss
40,5,0.6098244792652437,miss
41,1,0.7165809946550379,museum
41,6,0.2388603315516793,museum
42,2,0.22268884058188396,nice
42,6,0.6680665217456518,nice
43,1,0.7443170152311704,northern
44,3,0.38181221408793653,offer
44,4,0.38181221408793653,offer
45,1,0.38833326865272955,oldest
45,2,0.38833326865272955,oldest
45,4,0.19416663432636477,oldest
46,1,0.7376821134303193,original
47,3,0.2117639146497925,place
47,4,0.423527829299585,place
47,6,0.2117639146497925,place
48,4,0.42067793301588735,places
48,7,0.42067793301588735,places
49,3,0.31579502532020737,plants
49,6,0.31579502532020737,plants
50,3,0.3791391014891194,really
50,4,0.3791391014891194,really
51,1,0.38229119129542166,restaurant
51,5,0.38229119129542166,restaurant
52,1,0.387759380057838,right
52,5,0.387759380057838,right
53,1,0.8398380319277665,romanesque
54,5,0.6708574790376772,small
54,7,0.3354287395188386,small
55,1,0.3853423702058119,solemn
55,5,0.3853423702058119,solemn
56,2,0.563803297169076,stands
57,1,0.7157306335670821,style
57,5,0.23857687785569404,style
58,1,0.37327611071082273,summer
58,3,0.37327611071082273,summer
59,2,0.46772391364167176,sweden
59,4,0.46772391364167176,sweden
60,2,0.3764875111819716,time
60,4,0.3764875111819716,time
61,2,0.2895237499862593,town
61,4,0.2895237499862593,town
61,7,0.2895237499862593,town
62,3,0.46399009392719476,tropical
63,4,0.3995523370161521,university
63,5,0.3995523370161521,university
64,2,0.326091087470475,village
64,6,0.326091087470475,village
64,7,0.326091087470475,village
65,4,0.5752323337153644,visit
65,5,0.1917441112384548,visit
66,3,0.5095242006986211,walk
66,6,0.25476210034931057,walk
67,2,0.37276921936889235,wooden
67,3,0.37276921936889235,wooden
68,4,0.3976066387319248,worth
68,6,0.3976066387319248,worth
