term,Topic,Freq,Term
0,1,0.4147542385911658,39
0,3,0.4147542385911658,39
1,4,0.3698933488934213,architecture
1,7,0.3698933488934213,architecture
2,2,0.45498468616702326,atmosphere
2,7,0.45498468616702326,atmosphere
3,1,0.3455286506586751,beautiful
3,3,0.3455286506586751,beautiful
3,8,0.3455286506586751,beautiful
4,1,0.4045577407795277,beautifully
4,2,0.4045577407795277,beautifully
5,2,0.8384649830204564,big
6,3,0.44454281841849297,botanical
7,1,0.4276419856689504,church
7,2,0.2138209928344752,church
7,4,0.2138209928344752,church
7,7,0.1069104964172376,church
7,8,0.1069104964172376,church
8,1,0.7748760061234365,city
9,1,0.435663483518453,copenhagen
9,6,0.435663483518453,copenhagen
10,1,0.4238229934702144,decorated
10,4,0.4238229934702144,decorated
11,1,0.4404674821644512,good
11,2,0.4404674821644512,good
11,6,0.2202337410822256,good
12,1,0.7854244560537373,got
13,5,0.27442085670136707,great
13,6,0.27442085670136707,great
13,7,0.27442085670136707,great
14,1,0.787301357807787,history
15,5,0.5070029032816238,impressive
15,8,0.5070029032816238,impressive
16,1,0.3401831069971651,inside
16,4,0.3401831069971651,inside
16,5,0.3401831069971651,inside
17,1,0.7793771487225838,introduction
18,3,0.46262402237931505,large
18,5,0.46262402237931505,large
19,1,0.33119424006138176,located
19,2,0.33119424006138176,located
19,5,0.33119424006138176,located
20,1,0.7866303977217879,lucky
21,1,0.5321019519217133,lund
21,3,0.26605097596085664,lund
21,5,0.26605097596085664,lund
22,6,0.49842653212284244,museum
23,2,0.6950135441530108,nice
23,3,0.1737533860382527,nice
23,6,0.1737533860382527,nice
24,3,0.45440378989285307,park
24,4,0.45440378989285307,park
25,2,0.45188512071479364,place
25,6,0.45188512071479364,place
26,3,0.45401500495054453,plants
27,2,0.353868333403314,quiet
27,3,0.353868333403314,quiet
27,8,0.353868333403314,quiet
28,4,0.47259026276201344,really
28,5,0.47259026276201344,really
29,1,0.4066129056962555,recommended
29,2,0.4066129056962555,recommended
30,3,0.4776549640179561,sit
30,8,0.4776549640179561,sit
31,7,0.5102056383426266,time
31,8,0.5102056383426266,time
32,1,0.43440686523117045,way
32,5,0.43440686523117045,way
33,4,0.3661558989956298,worth
33,7,0.3661558989956298,worth
