term,Category,Freq,Term,Total,loglift,logprob
18,Default,3.0,recommend,3.0,23.0,23.0
16,Default,5.0,place,5.0,22.0,22.0
3,Default,4.0,cathedral,4.0,21.0,21.0
12,Default,5.0,lund,5.0,20.0,20.0
6,Default,3.0,city,3.0,19.0,19.0
10,Default,3.0,interesting,3.0,18.0,18.0
9,Default,3.0,history,3.0,17.0,17.0
21,Default,3.0,visit,3.0,16.0,16.0
8,Default,2.0,great,2.0,15.0,15.0
0,Default,2.0,attraction,2.0,14.0,14.0
20,Default,2.0,romanesque,2.0,13.0,13.0
14,Default,2.0,museum,2.0,12.0,12.0
4,Default,2.0,center,2.0,11.0,11.0
17,Default,2.0,really,2.0,10.0,10.0
5,Default,2.0,charming,2.0,9.0,9.0
22,Default,2.0,worth,2.0,8.0,8.0
7,Default,2.0,exhibitions,2.0,7.0,7.0
15,Default,2.0,peace,2.0,6.0,6.0
19,Default,2.0,region,2.0,5.0,5.0
2,Default,2.0,building,2.0,4.0,4.0
13,Default,1.0,monuments,1.0,3.0,3.0
11,Default,2.0,knowledge,2.0,2.0,2.0
1,Default,2.0,beautiful,2.0,1.0,1.0
4,Topic1,1.7463714173361011,center,2.37326693243639,0.8546,-2.5297
20,Topic1,1.745833720681048,romanesque,2.3798357876567096,0.8515,-2.53
0,Topic1,1.75206786635862,attraction,2.3929738698814367,0.8495,-2.5264
6,Topic1,2.5125021571365447,city,3.832687650031943,0.739,-2.1659
12,Topic1,3.331680847349936,lund,5.364750848480078,0.6849,-1.8837
3,Topic1,2.5313025570127548,cathedral,4.684163421637726,0.5458,-2.1585
10,Topic1,2.10423391372394,interesting,3.9185238388360037,0.5395,-2.3433
2,Topic1,0.9563315537658139,building,2.35018035602782,0.2621,-3.1319
15,Topic1,0.9314868527778452,peace,2.3156868028104847,0.2506,-3.1582
17,Topic1,0.9449720931319758,really,2.9860118671618907,0.0108,-3.1438
16,Topic1,0.9431805744200144,place,5.970980852735024,-0.6841,-3.1457
7,Topic1,0.31608700660787037,exhibitions,2.300800897295522,-0.8237,-4.2389
19,Topic1,0.30812881426586286,region,2.289916689765401,-0.8445,-4.2644
14,Topic1,0.32750817362085227,museum,2.9674135850159002,-1.0426,-4.2034
9,Topic1,0.2919226545526878,history,3.07457817891022,-1.1931,-4.3185
13,Topic1,0.15234052045427743,monuments,1.865078507082646,-1.3437,-4.9688
22,Topic1,0.15871416312312958,worth,2.299150822017647,-1.5119,-4.9279
1,Topic1,0.14499564038286275,beautiful,2.1586612457645287,-1.5393,-5.0183
11,Topic1,0.14188924397154729,knowledge,2.162953090214478,-1.5629,-5.0399
5,Topic1,0.14367813474549682,charming,2.2627340487489094,-1.5955,-5.0274
8,Topic1,0.14074331855561412,great,2.5813112643882943,-1.7478,-5.048
21,Topic1,0.1448002282132624,visit,3.7194032864375273,-2.0847,-5.0196
18,Topic1,0.1449780174200072,recommend,3.7489361566634334,-2.0914,-5.0184
22,Topic2,1.6467651580431657,worth,2.299150822017647,1.2856,-2.1304
21,Topic2,2.4252569537842286,visit,3.7194032864375273,1.1917,-1.7432
13,Topic2,0.896952341915536,monuments,1.865078507082646,0.8873,-2.7379
11,Topic2,0.9000302646755971,knowledge,2.162953090214478,0.7425,-2.7345
15,Topic2,0.9010015243034591,peace,2.3156868028104847,0.6754,-2.7334
3,Topic2,1.6583742132500234,cathedral,4.684163421637726,0.581,-2.1233
8,Topic2,0.8950776313477455,great,2.5813112643882943,0.5602,-2.74
17,Topic2,0.8982794869998386,really,2.9860118671618907,0.4181,-2.7364
12,Topic2,0.8839944381978418,lund,5.364750848480078,-0.1838,-2.7525
16,Topic2,0.9182750751751946,place,5.970980852735024,-0.2528,-2.7144
2,Topic2,0.15269783433362885,building,2.35018035602782,-1.1145,-4.5085
1,Topic2,0.1386358909446532,beautiful,2.1586612457645287,-1.1261,-4.6051
7,Topic2,0.14514036143825285,exhibitions,2.300800897295522,-1.144,-4.5592
4,Topic2,0.14838415139165675,center,2.37326693243639,-1.1529,-4.5371
19,Topic2,0.1397946416248468,region,2.289916689765401,-1.1768,-4.5968
5,Topic2,0.13689018847095133,charming,2.2627340487489094,-1.1858,-4.6177
0,Topic2,0.13968705097854084,attraction,2.3929738698814367,-1.2216,-4.5975
20,Topic2,0.12828083797973064,romanesque,2.3798357876567096,-1.3012,-4.6827
9,Topic2,0.14457072646442984,history,3.07457817891022,-1.4378,-4.5632
14,Topic2,0.13855291898412953,museum,2.9674135850159002,-1.4449,-4.6057
18,Topic2,0.14378839398365634,recommend,3.7489361566634334,-1.6416,-4.5686
6,Topic2,0.1451186284880563,city,3.832687650031943,-1.6544,-4.5594
10,Topic2,0.13676259496731016,interesting,3.9185238388360037,-1.7359,-4.6187
18,Topic3,3.1174307956161162,recommend,3.7489361566634334,1.5169,-1.4101
5,Topic3,1.6243529327991921,charming,2.2627340487489094,1.3699,-2.062
16,Topic3,3.097291784113314,place,5.970980852735024,1.045,-1.4166
1,Topic3,0.8692912041104194,beautiful,2.1586612457645287,0.7918,-2.6872
2,Topic3,0.8845357403864811,building,2.35018035602782,0.7242,-2.6698
8,Topic3,0.8674979990747371,great,2.5813112643882943,0.611,-2.6892
13,Topic3,0.13746553210141582,monuments,1.865078507082646,-0.9063,-4.5315
22,Topic3,0.1486386116673977,worth,2.299150822017647,-1.0374,-4.4533
19,Topic3,0.14595125670931405,region,2.289916689765401,-1.0516,-4.4716
15,Topic3,0.138835961336943,peace,2.3156868028104847,-1.1128,-4.5216
11,Topic3,0.12755788606960083,knowledge,2.162953090214478,-1.1293,-4.6063
7,Topic3,0.1328841328348071,exhibitions,2.300800897295522,-1.1501,-4.5654
20,Topic3,0.13483484972287518,romanesque,2.3798357876567096,-1.1693,-4.5508
4,Topic3,0.13083247338185044,center,2.37326693243639,-1.1967,-4.5809
0,Topic3,0.13103284993450626,attraction,2.3929738698814367,-1.2034,-4.5794
17,Topic3,0.1360595239236042,really,2.9860118671618907,-1.3872,-4.5418
14,Topic3,0.1293249359398285,museum,2.9674135850159002,-1.4317,-4.5925
9,Topic3,0.12885203375673335,history,3.07457817891022,-1.4709,-4.5962
