term,Category,Freq,Term,Total,loglift,logprob
19,Default,6.0,city,6.0,30.0,30.0
44,Default,13.0,lund,13.0,29.0,29.0
11,Default,17.0,cathedral,17.0,28.0,28.0
49,Default,3.0,museum,3.0,27.0,27.0
41,Default,5.0,located,5.0,26.0,26.0
71,Default,3.0,time,3.0,25.0,25.0
5,Default,9.0,beautiful,9.0,24.0,24.0
10,Default,2.0,came,2.0,23.0,23.0
77,Default,3.0,walk,3.0,22.0,22.0
48,Default,2.0,medieval,2.0,21.0,21.0
54,Default,3.0,park,3.0,20.0,20.0
74,Default,3.0,university,3.0,19.0,19.0
26,Default,2.0,free,2.0,18.0,18.0
36,Default,2.0,large,2.0,17.0,17.0
50,Default,4.0,near,4.0,16.0,16.0
27,Default,5.0,garden,5.0,15.0,15.0
31,Default,2.0,history,2.0,14.0,14.0
70,Default,3.0,temple,3.0,13.0,13.0
55,Default,4.0,place,4.0,12.0,12.0
65,Default,2.0,students,2.0,11.0,11.0
35,Default,3.0,just,3.0,10.0,10.0
42,Default,2.0,look,2.0,9.0,9.0
30,Default,2.0,historical,2.0,8.0,8.0
53,Default,3.0,organ,3.0,7.0,7.0
73,Default,2.0,town,2.0,6.0,6.0
37,Default,2.0,largest,2.0,5.0,5.0
7,Default,2.0,big,2.0,4.0,4.0
3,Default,2.0,background,2.0,3.0,3.0
69,Default,2.0,swedish,2.0,2.0,2.0
29,Default,2.0,great,2.0,1.0,1.0
11,Topic1,15.758479287298387,cathedral,17.67593729435931,0.7924,-1.9594
52,Topic1,3.6094116984228837,oldest,4.470370353950781,0.6933,-3.4333
34,Topic1,5.3657211464638825,inside,6.915849537413014,0.6534,-3.0368
28,Topic1,2.7684572222474078,gothic,3.6237277053143857,0.638,-3.6985
66,Topic1,2.73772569616893,style,3.6202361823936338,0.6278,-3.7097
79,Topic1,1.9163483621068682,worth,2.7711951337519185,0.5384,-4.0664
72,Topic1,1.8873477875276738,tombs,2.7349908851113303,0.5363,-4.0816
62,Topic1,1.9039158137526369,size,2.766013942806208,0.5337,-4.0729
75,Topic1,1.9029168025926329,unusual,2.767737624447572,0.5326,-4.0734
64,Topic1,1.9001786254980928,striking,2.7660992906290187,0.5317,-4.0748
2,Topic1,1.889120905625244,ancient,2.7601360293836463,0.5281,-4.0807
9,Topic1,1.9045677959573766,building,2.787082086881811,0.5265,-4.0725
45,Topic1,1.884262066980908,lutheran,2.7601752035237372,0.5255,-4.0833
16,Topic1,1.8822318323389597,century,2.762771936912093,0.5234,-4.0843
39,Topic1,1.8838503481147997,like,2.7687505100047147,0.5221,-4.0835
15,Topic1,2.7618500917051945,central,4.209192024079608,0.4859,-3.7009
44,Topic1,8.836459159215135,lund,13.527367063103874,0.4814,-2.5379
14,Topic1,3.616624318486571,center,5.8366154040931635,0.4286,-3.4313
35,Topic1,1.8945811614428598,just,3.185289259408546,0.3877,-4.0778
50,Topic1,2.7351194025243686,near,4.670754890282618,0.3721,-3.7106
46,Topic1,1.8865129990460916,main,3.4022831215404845,0.3175,-4.0821
71,Topic1,1.922977458025107,time,3.593731837635268,0.2819,-4.0629
41,Topic1,2.6221281513916876,located,5.541135924442579,0.159,-3.7528
18,Topic1,1.8838369829242192,church,3.994678714164776,0.1556,-4.0835
74,Topic1,1.7242276735594697,university,3.768783812043809,0.1252,-4.172
42,Topic1,1.0236455478463857,look,2.2516126694810885,0.1189,-4.6934
30,Topic1,1.037243812722512,historical,2.2980190560537146,0.1117,-4.6802
3,Topic1,1.0438364888528238,background,2.3440316664558005,0.0983,-4.6739
37,Topic1,1.0200381483644714,largest,2.302668273424912,0.093,-4.697
73,Topic1,1.0311403145390292,town,2.3413043229361654,0.0872,-4.6861
5,Topic1,3.613328186320388,beautiful,9.54244719377574,-0.0639,-3.4322
63,Topic1,1.895812122720064,small,4.7671967616719035,-0.0149,-4.0772
1,Topic1,1.0389961154725347,amazing,2.569366951484302,0.0018,-4.6785
55,Topic2,2.2082911034945454,place,4.3830518507584175,1.4156,-2.7307
8,Topic2,1.5197845515787085,botanical,3.0187061797675865,1.4149,-3.1043
51,Topic2,1.5066616853115538,neat,3.031613643690297,1.4019,-3.113
23,Topic2,1.521487186031483,especially,3.0697829686244367,1.3992,-3.1032
57,Topic2,1.5033365235407443,plants,3.0786001362319584,1.3844,-3.1152
32,Topic2,1.5280882631795996,important,3.2691866329494377,1.3406,-3.0989
33,Topic2,1.521774716617388,impressive,3.279927631234072,1.3332,-3.103
77,Topic2,1.5141130512388907,walk,3.284339501639488,1.3268,-3.108
27,Topic2,2.203869364947306,garden,5.050754845976587,1.2718,-2.7327
29,Topic2,0.8309475526584169,great,2.126548843103512,1.1615,-3.7081
21,Topic2,0.8235962895910834,different,2.1609219542560427,1.1365,-3.7169
47,Topic2,0.8274380219816388,managed,2.319532837302379,1.0704,-3.7123
13,Topic2,0.8281495685825353,cemetery,2.3587241545988875,1.0545,-3.7114
58,Topic2,0.8208499630371999,pleasant,2.3476224460700053,1.0503,-3.7203
67,Topic2,0.8101920966013597,summer,2.3311187876768757,1.0443,-3.7334
60,Topic2,0.8232224123736268,science,2.421244918400365,1.0223,-3.7174
20,Topic2,0.8354952871798274,culture,2.5874467540128436,0.9707,-3.7026
24,Topic2,0.8222822808089388,finally,2.553518937077668,0.968,-3.7185
56,Topic2,0.8299123064764228,planned,2.582559459937085,0.9659,-3.7093
74,Topic2,0.8270848260176912,university,3.768783812043809,0.5845,-3.7127
54,Topic2,0.8195558044211261,park,3.8264319759546264,0.5602,-3.7219
63,Topic2,0.8098298309014403,small,4.7671967616719035,0.3285,-3.7338
69,Topic2,0.1357104983414141,swedish,2.0912385645476856,-0.6338,-5.5201
7,Topic2,0.13182745784588626,big,2.0785614781525226,-0.6568,-5.5491
0,Topic2,0.13326959853007347,air,2.1340057524550518,-0.6722,-5.5383
6,Topic2,0.12986016270920142,benches,2.125583799043696,-0.6942,-5.5642
44,Topic2,0.8251832753162607,lund,13.527367063103874,-0.6957,-3.715
61,Topic2,0.13052985335604347,sit,2.1449291026720254,-0.6981,-5.559
78,Topic2,0.1387316443459962,wonderful,2.286094839325032,-0.7009,-5.4981
73,Topic2,0.14143178760175787,town,2.3413043229361654,-0.7055,-5.4788
10,Topic2,0.13893205509282927,came,2.6305132953793584,-0.8398,-5.4966
4,Topic2,0.1361560433658084,basement,2.4900793978076234,-0.8051,-5.5168
12,Topic2,0.13434391388677425,cathedrals,2.5668090492598217,-0.8489,-5.5302
66,Topic2,0.13503175005167423,style,3.6202361823936338,-1.1876,-5.5251
70,Topic3,2.1511555661005852,temple,3.0315454539554256,1.8507,-2.6643
38,Topic3,1.455693995375166,lawns,2.370581886880228,1.7061,-3.0548
31,Topic3,1.4837164346017875,history,2.778993082591594,1.5662,-3.0357
40,Topic3,1.4932175373659713,liked,3.0671979799558353,1.4739,-3.0293
7,Topic3,0.8029429594383746,big,2.0785614781525226,1.2426,-3.6497
