term,Topic,Freq,Term
0,3,0.46860229821290644,air
0,6,0.46860229821290644,air
1,1,0.3892009272643241,amazing
1,4,0.3892009272643241,amazing
2,1,0.7246019684205967,ancient
3,1,0.42661539701467005,background
3,6,0.42661539701467005,background
4,1,0.4015936202196783,basement
4,5,0.4015936202196783,basement
5,1,0.4191796840761229,beautiful
5,3,0.3143847630570922,beautiful
5,4,0.10479492101903072,beautiful
5,5,0.10479492101903072,beautiful
5,6,0.10479492101903072,beautiful
6,4,0.4704589865851922,benches
6,6,0.4704589865851922,benches
7,3,0.4811019594613218,big
8,2,0.6625354972950638,botanical
8,5,0.3312677486475319,botanical
9,1,0.7175963741482768,building
10,1,0.38015394248588485,came
10,10,0.38015394248588485,came
11,1,0.9051853790579959,cathedral
11,4,0.056574086191124744,cathedral
12,1,0.3895887776647683,cathedrals
12,3,0.3895887776647683,cathedrals
13,2,0.4239580105415314,cemetery
13,4,0.4239580105415314,cemetery
14,1,0.6853286918981911,center
14,3,0.17133217297454778,center
14,4,0.17133217297454778,center
15,1,0.7127258587486246,central
15,5,0.23757528624954152,central
16,1,0.7239106396293313,century
17,4,0.4248729819654902,certainly
18,1,0.5006660467857346,church
18,4,0.2503330233928673,church
18,5,0.2503330233928673,church
19,1,0.15386649499215607,city
19,3,0.15386649499215607,city
19,4,0.15386649499215607,city
19,5,0.15386649499215607,city
19,7,0.15386649499215607,city
19,8,0.15386649499215607,city
20,1,0.3864813830271524,culture
20,2,0.3864813830271524,culture
21,2,0.4627654404780564,different
21,6,0.4627654404780564,different
22,1,0.40356881436339537,dungeon
22,5,0.40356881436339537,dungeon
23,2,0.6515118561935979,especially
23,3,0.32575592809679893,especially
24,1,0.3916164417188279,finally
24,2,0.3916164417188279,finally
25,3,0.4260140684006337,flowers
25,4,0.4260140684006337,flowers
26,5,0.7090073660614282,free
27,2,0.3959804150053319,garden
27,3,0.19799020750266594,garden
27,5,0.19799020750266594,garden
28,1,0.8278767733017973,gothic
29,2,0.47024548871428107,great
30,1,0.4351574010518674,historical
31,3,0.35984256537531006,history
32,1,0.30588648256456585,important
32,2,0.6117729651291317,important
33,1,0.3048847756509037,impressive
33,2,0.6097695513018074,impressive
34,1,0.7229769781646134,inside
34,3,0.14459539563292267,inside
35,1,0.6278864608896984,just
35,6,0.3139432304448492,just
36,1,0.37112372179533765,large
36,6,0.37112372179533765,large
37,1,0.43427879366776234,largest
38,3,0.42183735796447697,lawns
39,1,0.7223474967401792,like
40,3,0.32603047032992605,liked
40,4,0.32603047032992605,liked
41,1,0.5414052354800862,located
41,5,0.18046841182669543,located
41,9,0.18046841182669543,located
42,1,0.4441261206042432,look
43,3,0.42682994726660767,lot
43,4,0.42682994726660767,lot
44,1,0.6653179408835334,lund
44,2,0.07392421565372594,lund
44,4,0.07392421565372594,lund
44,5,0.07392421565372594,lund
44,7,0.07392421565372594,lund
45,1,0.7245916844143551,lutheran
46,1,0.5878405554604288,main
46,4,0.2939202777302144,main
47,2,0.4311212947357977,managed
47,5,0.4311212947357977,managed
48,3,0.4101733848989583,medieval
48,10,0.4101733848989583,medieval
49,1,0.2523137020525733,museum
49,3,0.2523137020525733,museum
49,9,0.2523137020525733,museum
50,1,0.6422944621310402,near
50,3,0.21409815404368007,near
51,2,0.6597146718093856,neat
51,5,0.3298573359046928,neat
52,1,0.8947804506767362,oldest
53,1,0.32121647429395217,organ
53,5,0.32121647429395217,organ
54,2,0.26134006988338476,park
54,4,0.26134006988338476,park
54,6,0.26134006988338476,park
55,2,0.4563030664704393,place
55,4,0.22815153323521964,place
55,5,0.22815153323521964,place
56,1,0.38721276915899605,planned
56,2,0.38721276915899605,planned
57,2,0.6496459142134298,plants
57,3,0.3248229571067149,plants
58,2,0.42596287221313284,pleasant
58,4,0.42596287221313284,pleasant
59,3,0.43604788672453465,pond
59,5,0.43604788672453465,pond
60,2,0.41301067578932343,science
60,3,0.41301067578932343,science
61,4,0.4662158757388574,sit
61,6,0.4662158757388574,sit
62,1,0.7230621541881808,size
63,1,0.4195337637581756,small
63,2,0.2097668818790878,small
63,4,0.2097668818790878,small
64,1,0.7230398441500611,striking
65,1,0.3359484564350507,students
65,4,0.3359484564350507,students
65,7,0.3359484564350507,students
66,1,0.8286752158850739,style
67,2,0.4289785682678876,summer
67,5,0.4289785682678876,summer
68,1,0.39270773619800375,sweden
68,3,0.39270773619800375,sweden
69,4,0.47818551979328583,swedish
70,3,0.6597295110289337,temple
71,1,0.5565245517361784,time
71,9,0.2782622758680892,time
72,1,0.7312638630306032,tombs
73,1,0.4271123536584631,town
74,1,0.5306751726136824,university
74,2,0.2653375863068412,university
74,9,0.2653375863068412,university
75,1,0.7226118481513185,unusual
76,1,0.31669938749167953,visit
76,4,0.31669938749167953,visit
76,5,0.31669938749167953,visit
77,2,0.6089504446789478,walk
77,6,0.3044752223394739,walk
78,4,0.43742717178577306,wonderful
78,5,0.43742717178577306,wonderful
79,1,0.7217102742570862,worth
