term,Category,Freq,Term,Total,loglift,logprob
50,Default,3.0,worth,3.0,30.0,30.0
0,Default,3.0,39,3.0,29.0,29.0
3,Default,8.0,beautiful,8.0,28.0,28.0
47,Default,5.0,visit,5.0,27.0,27.0
27,Default,6.0,lund,6.0,26.0,26.0
22,Default,2.0,history,2.0,25.0,25.0
24,Default,4.0,interesting,4.0,24.0,24.0
7,Default,11.0,cathedral,11.0,23.0,23.0
19,Default,2.0,good,2.0,22.0,22.0
18,Default,3.0,goes,3.0,21.0,21.0
21,Default,1.0,greenhouses,1.0,20.0,20.0
9,Default,3.0,city,3.0,19.0,19.0
49,Default,3.0,walk,3.0,18.0,18.0
6,Default,1.0,building,1.0,17.0,17.0
48,Default,1.0,visited,1.0,16.0,16.0
34,Default,4.0,place,4.0,15.0,15.0
10,Default,5.0,clock,5.0,14.0,14.0
29,Default,2.0,museum,2.0,13.0,13.0
40,Default,2.0,style,2.0,12.0,12.0
20,Default,2.0,great,2.0,11.0,11.0
14,Default,4.0,different,4.0,10.0,10.0
36,Default,2.0,pleasant,2.0,9.0,9.0
8,Default,2.0,center,2.0,8.0,8.0
5,Default,1.0,botanical,1.0,7.0,7.0
17,Default,1.0,gardens,1.0,6.0,6.0
39,Default,1.0,space,1.0,5.0,5.0
31,Default,2.0,option,2.0,4.0,4.0
37,Default,3.0,pretty,3.0,3.0,3.0
42,Default,2.0,sweden,2.0,2.0,2.0
12,Default,2.0,culture,2.0,1.0,1.0
10,Topic1,4.5491726129065135,clock,5.309629818217252,0.6329,-2.7974
44,Topic1,2.7784077329725374,time,3.5196594054537087,0.551,-3.2905
2,Topic1,2.7669731176527894,astronomical,3.5198410566668983,0.5468,-3.2946
7,Topic1,8.882973153854385,cathedral,11.411992097062996,0.537,-2.1282
26,Topic1,1.9109247737540116,little,2.632669637012396,0.4671,-3.6648
3,Topic1,6.281186635747979,beautiful,8.705253602588787,0.4611,-2.4748
23,Topic1,1.9196988606765224,inside,2.6658888203631887,0.4591,-3.6602
38,Topic1,1.9145443798144373,seeing,2.6618905040681007,0.4579,-3.6629
16,Topic1,1.9000769838581302,enter,2.6523385727001787,0.4539,-3.6705
51,Topic1,1.8952389031633157,years,2.6510103637275844,0.4519,-3.673
45,Topic1,1.8970453615820881,typical,2.661417660005047,0.4489,-3.6721
11,Topic1,1.898685946243562,crypt,2.665215420005767,0.4484,-3.6712
34,Topic1,2.7816482786749246,place,4.114190861154218,0.3961,-3.2893
14,Topic1,2.762645438392447,different,4.174836307730646,0.3746,-3.2962
18,Topic1,1.9090743601025268,goes,3.094222705349419,0.3046,-3.6658
47,Topic1,3.619739664477018,visit,5.934874356370965,0.2931,-3.026
37,Topic1,1.8992806505174984,pretty,3.2885969907339976,0.2385,-3.6709
27,Topic1,3.644652667807765,lund,6.583428269569375,0.1962,-3.0191
50,Topic1,1.9027876963460422,worth,3.493615537488184,0.1799,-3.6691
29,Topic1,1.035505561447259,museum,2.2426100946873015,0.0147,-4.2775
28,Topic1,1.0386571868559165,monument,2.3048063005439268,-0.0096,-4.2744
42,Topic1,1.0229305309079253,sweden,2.283802268506855,-0.0157,-4.2897
25,Topic1,1.0372992511169796,know,2.3701324447076884,-0.0388,-4.2758
15,Topic1,1.0393838880710828,does,2.40774349370944,-0.0526,-4.2737
46,Topic1,1.031049295693534,university,2.388772038385165,-0.0527,-4.2818
43,Topic1,1.0294460353543922,swedish,2.4211069944794246,-0.0677,-4.2834
33,Topic1,1.0438408237787473,people,2.4677336359287403,-0.0729,-4.2695
22,Topic1,1.0409522402285847,history,2.636543583080119,-0.1418,-4.2722
24,Topic1,1.9034731004525376,interesting,4.984911505151394,-0.1752,-3.6687
13,Topic1,1.041019796737097,days,2.983583180675169,-0.2654,-4.2722
9,Topic1,1.0402599842880798,city,3.4223271870082876,-0.4034,-4.2729
19,Topic2,2.0540010528776023,good,2.8534714191134674,1.8869,-2.1644
12,Topic2,1.415984696404287,culture,2.1941062378408698,1.7777,-2.5364
31,Topic2,1.4120672568806292,option,2.222929746716996,1.7619,-2.5392
40,Topic2,1.409783983737329,style,2.825951306438884,1.5202,-2.5408
21,Topic2,0.7706678204508256,greenhouses,1.7759916318379698,1.3808,-3.1447
41,Topic2,0.7676715549333846,summer,2.1577266895251865,1.1822,-3.1486
33,Topic2,0.7774870582968867,people,2.4677336359287403,1.0607,-3.1359
43,Topic2,0.76255420612052,swedish,2.4211069944794246,1.0603,-3.1553
49,Topic2,0.7639038160077989,walk,3.988135749801929,0.563,-3.1535
24,Topic2,0.7698184474781727,interesting,4.984911505151394,0.3476,-3.1458
47,Topic2,0.7649033886095582,visit,5.934874356370965,0.1668,-3.1522
3,Topic2,0.7854692165560377,beautiful,8.705253602588787,-0.1898,-3.1257
39,Topic2,0.12843469513170097,space,1.9279825177102141,-0.4932,-4.9366
7,Topic2,0.7513941892826743,cathedral,11.411992097062996,-0.5048,-3.17
17,Topic2,0.12475831493503374,gardens,1.9266870839082537,-0.5215,-4.9656
48,Topic2,0.12654413596236525,visited,1.954472421263351,-0.5216,-4.9514
5,Topic2,0.1249317324056534,botanical,1.9549258177761963,-0.5347,-4.9642
20,Topic2,0.1360102613103593,great,2.145191391684318,-0.5426,-4.8792
6,Topic2,0.1182679195558557,building,1.942976625500068,-0.5834,-5.019
8,Topic2,0.1273680475507472,center,2.1525974393620513,-0.6117,-4.9449
36,Topic2,0.1211183864825125,pleasant,2.099912698253548,-0.6372,-4.9952
32,Topic2,0.12135484638762281,park,2.124093102194094,-0.6467,-4.9933
29,Topic2,0.12770401604666493,museum,2.2426100946873015,-0.65,-4.9423
1,Topic2,0.11455316851555225,advantage,2.06332018286905,-0.6754,-5.0509
