term,Topic,Freq,Term
0,3,0.7836621411652367,39
1,3,0.4846557544983146,advantage
1,6,0.4846557544983146,advantage
2,1,0.85231121283665,astronomical
3,1,0.6892389669401139,beautiful
3,2,0.11487316115668565,beautiful
3,5,0.11487316115668565,beautiful
4,4,0.47527382917811245,big
4,5,0.47527382917811245,big
5,4,0.5115283612845927,botanical
6,6,0.5146742307013744,building
7,1,0.7886440792678301,cathedral
7,2,0.08762711991864779,cathedral
7,3,0.08762711991864779,cathedral
7,6,0.08762711991864779,cathedral
8,4,0.46455504485611687,center
9,1,0.29219883002307995,city
9,4,0.29219883002307995,city
9,5,0.29219883002307995,city
9,7,0.29219883002307995,city
10,1,0.9416852344103317,clock
11,1,0.7504083853738444,crypt
12,2,0.4557664450122794,culture
13,1,0.3351674612181268,days
13,4,0.3351674612181268,days
13,5,0.3351674612181268,days
14,1,0.7185910485747253,different
14,3,0.23953034952490845,different
15,1,0.4153266336769831,does
15,3,0.4153266336769831,does
16,1,0.7540515455249464,enter
17,5,0.5190256416581753,gardens
18,1,0.6463658858628107,goes
18,7,0.32318294293140537,goes
19,2,0.7009006596678551,good
20,5,0.46615887229290076,great
21,2,0.5630657161177625,greenhouses
22,1,0.37928445652006204,history
22,7,0.37928445652006204,history
23,1,0.7502188331047988,inside
24,1,0.4012107332162678,interesting
24,2,0.2006053666081339,interesting
24,3,0.2006053666081339,interesting
24,7,0.2006053666081339,interesting
25,1,0.42191734990714047,know
25,5,0.42191734990714047,know
26,1,0.7596851393286239,little
27,1,0.607586174894504,lund
27,3,0.151896543723626,lund
27,4,0.151896543723626,lund
27,6,0.151896543723626,lund
27,7,0.151896543723626,lund
28,1,0.43387593992779494,monument
28,6,0.43387593992779494,monument
29,1,0.4459089889807328,museum
29,7,0.4459089889807328,museum
30,4,0.47220782635930536,nice
30,5,0.47220782635930536,nice
31,2,0.4498567718916361,option
32,4,0.47078915654264136,park
32,5,0.47078915654264136,park
33,1,0.4052301210473417,people
33,2,0.4052301210473417,people
34,1,0.7291834776859047,place
34,5,0.24306115922863492,place
35,1,0.33501499023371695,places
35,3,0.33501499023371695,places
35,5,0.33501499023371695,places
36,4,0.47621027332787613,pleasant
37,1,0.6081620842064964,pretty
37,3,0.3040810421032482,pretty
38,1,0.7513457059722968,seeing
39,4,0.518676902313232,space
40,2,0.3538631390149987,style
40,3,0.3538631390149987,style
41,2,0.46345072564313167,summer
41,4,0.46345072564313167,summer
42,1,0.43786627843828085,sweden
42,6,0.43786627843828085,sweden
43,1,0.413034203891107,swedish
43,2,0.413034203891107,swedish
44,1,0.8523552010036832,time
45,1,0.7514791947372166,typical
46,1,0.41862512786109574,university
46,4,0.41862512786109574,university
47,1,0.673982254688523,visit
47,2,0.16849556367213075,visit
47,6,0.16849556367213075,visit
48,6,0.5116470251105463,visited
49,2,0.2507437215620519,walk
49,3,0.2507437215620519,walk
49,4,0.2507437215620519,walk
49,5,0.2507437215620519,walk
50,1,0.5724728375343632,worth
50,3,0.2862364187671816,worth
51,1,0.7544293403620652,years
