topic,Freq,cluster,topics,x,y
9,32.90877628362699,1,1,-0.06333303740234354,-0.0984216468064628
0,24.995946298282725,1,2,-0.16624994508584603,0.008980021629636046
8,20.530119369586973,1,3,-0.20211138785525076,0.14995465121382656
3,10.396985569297486,1,4,-0.08008756716715114,-0.20923619790157544
4,2.7412314284882373,1,5,0.05630241323978123,-0.03404086997664517
2,2.307151474577622,1,6,0.12434136418448927,0.02097204578014672
1,2.201233091234685,1,7,0.04066376595175866,0.09284190864463931
5,2.0494832512949426,1,8,0.13040240792725302,-0.019597637301853304
7,1.1411555016726207,1,9,0.08711423102125546,0.030998919702714955
6,0.7279177319377199,1,10,0.0729577551860536,0.05754880501557295
