term,Topic,Freq,Term
0,2,0.8691993060220723,00
3,10,0.6642942707438805,1000
6,3,0.8822783942365215,12th
7,3,0.8360528999420305,14th
11,1,0.3739329922039117,39
11,2,0.2419566420142958,39
11,3,0.28594875874416775,39
11,4,0.08065221400476526,39
11,7,0.02199605836493598,39
14,1,0.07071183597321583,absolutely
14,2,0.424271015839295,absolutely
14,3,0.35355917986607915,absolutely
14,5,0.07071183597321583,absolutely
14,6,0.07071183597321583,absolutely
14,7,0.07071183597321583,absolutely
16,2,0.9135321772271371,acoustics
20,2,0.7678124762016945,addition
20,4,0.10968749660024206,addition
20,9,0.10968749660024206,addition
23,4,0.9379758716703535,adult
24,2,0.301803895693753,adults
24,4,0.603607791387506,adults
26,2,0.5768472410550296,advent
26,10,0.5768472410550296,advent
29,2,0.23841502282173171,age
29,4,0.23841502282173171,age
29,8,0.47683004564346343,age
30,2,0.5534846544196526,ages
30,4,0.41511349081473947,ages
30,6,0.04612372120163772,ages
31,5,0.589158288851098,ago
31,8,0.294579144425549,ago
32,1,0.10683578637028993,air
32,4,0.7478505045920295,air
32,6,0.10683578637028993,air
35,2,0.854872775718517,allhelgonakyrkan
36,1,0.23273624932739084,amazing
36,3,0.5818406233184771,amazing
36,5,0.05818406233184771,amazing
36,7,0.05818406233184771,amazing
37,3,0.8884839268209628,amazingly
38,2,0.49376145883913847,amp
38,5,0.49376145883913847,amp
39,2,0.4423579298791749,ancestors
39,6,0.4423579298791749,ancestors
41,1,0.7857074325029154,animals
41,7,0.11224391892898793,animals
43,5,0.4837157929175408,appreciate
45,1,0.46502699990810953,april
45,6,0.46502699990810953,april
46,4,0.7757436261001559,architecturally
47,2,0.32708755175966525,architecture
47,3,0.6541751035193305,architecture
48,1,0.7066837147572934,area
48,2,0.19630103187702594,area
48,4,0.019630103187702592,area
48,5,0.039260206375405185,area
48,7,0.05889030956310778,area
51,2,0.2519474777018978,art
51,3,0.2519474777018978,art
51,4,0.5038949554037956,art
52,4,0.9096449098020583,artists
56,2,0.08055563009235947,astronomical
56,3,0.8861119310159542,astronomical
58,2,0.9158159354483024,atmosphere
60,2,0.8601793090113513,attraction
60,9,0.09557547877903903,attraction
62,2,0.32945102477366867,attractive
62,3,0.32945102477366867,attractive
64,1,0.7464385811222445,autumn
64,6,0.1492877162244489,autumn
66,2,0.4465318995683735,avoid
66,6,0.4465318995683735,avoid
67,1,0.38657574369941555,away
67,8,0.38657574369941555,away
69,3,0.464335217270971,baptism
69,9,0.464335217270971,baptism
73,3,0.9431081399814305,basement
75,1,0.3224335728275085,beautiful
75,2,0.16793415251432733,beautiful
75,3,0.4970850914424089,beautiful
75,9,0.006717366100573094,beautiful
78,2,0.4622580942190211,begins
78,7,0.4622580942190211,begins
85,1,0.15162240898110782,big
85,2,0.22743361347166172,big
85,3,0.5306784314338774,big
85,4,0.07581120449055391,big
88,1,0.9668831828611909,birds
93,3,0.43028221672859235,board
93,7,0.43028221672859235,board
96,1,0.3839344136905703,boats
96,9,0.3839344136905703,boats
99,1,0.7988143426061546,botan
99,6,0.15976286852123092,botan
100,1,0.966259375136871,botanical
106,3,0.8153640981850171,bring
106,7,0.1630728196370034,bring
108,2,0.18521566445591747,building
108,3,0.7964273571604452,building
108,10,0.018521566445591747,building
109,1,0.041099287888246815,buildings
109,2,0.6986878941001958,buildings
109,4,0.20549643944123408,buildings
109,5,0.041099287888246815,buildings
111,2,0.88858291609039,bunch
115,1,0.7672788500211422,cafe
115,2,0.1705064111158094,cafe
115,4,0.04262660277895235,cafe
118,1,0.3032105187280994,called
118,3,0.3032105187280994,called
118,5,0.1516052593640497,called
118,7,0.3032105187280994,called
120,2,0.9000139000845674,candle
123,1,0.938939690607338,car
125,1,0.02695958064047707,cathedral
125,2,0.5122320321690643,cathedral
125,3,0.4493263440079512,cathedral
125,7,0.008986526880159024,cathedral
129,1,0.5541781965888702,celebration
130,5,0.4875589365468005,cemetery
130,8,0.4875589365468005,cemetery
131,1,0.7217819131239339,center
131,2,0.13123307511344254,center
131,4,0.06561653755672127,center
131,9,0.06561653755672127,center
132,1,0.27525752879060256,central
132,2,0.6055665633393256,central
132,5,0.055051505758120504,central
134,3,0.9718065379604319,century
135,3,0.8263078708464803,chairs
136,4,0.8237104840394885,chance
137,3,0.3482745368447916,change
137,6,0.3482745368447916,change
138,1,0.44630031720629054,changes
138,5,0.44630031720629054,changes
141,2,0.8019611410749817,child
142,1,0.09330953151189951,children
142,2,0.09330953151189951,children
142,4,0.8024619710023358,children
142,6,0.0186619063023799,children
145,4,0.8050307412215806,chose
146,6,0.403366622660299,christian
146,8,0.403366622660299,christian
147,4,0.7789060475771042,christmas
147,8,0.12981767459618404,christmas
148,2,0.16302910021963074,church
148,3,0.8373767420371941,church
149,2,0.2652427912874663,churches
149,3,0.6631069782186658,churches
150,1,0.4973749969063615,city
150,2,0.4736904732441538,city
150,8,0.02368452366220769,city
152,6,0.7612571845416661,classes
155,7,0.703159939262629,clearly
156,2,0.15143680632855397,climbing
156,4,0.6057472253142159,climbing
156,9,0.15143680632855397,climbing
157,2,0.10870294656637003,clock
157,3,0.8877407302920218,clock
161,1,0.28270946693724036,coffee
161,2,0.6785027206493769,coffee
162,3,0.43017646658541736,cold
162,7,0.43017646658541736,cold
163,6,0.792149360800598,collection
164,2,0.1571188516032396,collections
164,4,0.6284754064129584,collections
164,8,0.1571188516032396,collections
166,1,0.933970167228801,colors
171,1,0.46880601106776104,company
171,6,0.46880601106776104,company
