topic,Freq,cluster,topics,x,y
6,28.117539368014512,1,1,0.06718224703898831,0.08411960727384211
1,24.5659095915426,1,2,-0.09485231334043102,-0.08151558547952184
5,17.748875773544462,1,3,-0.1450381720519742,0.06611753343795966
9,14.179155202389174,1,4,0.11406057219872542,0.024232016259264695
4,14.179155202389174,1,5,0.0629585361046277,-0.10402391689851609
8,0.24187297242401629,1,6,-0.0014771170418983208,0.0024733092265208116
7,0.24187297242401629,1,7,-0.0030110037270762993,0.0012711315797361684
3,0.24187297242401629,1,8,-0.0012053683339554083,0.002347360596893026
2,0.24187297242401629,1,9,-0.002408404515913847,0.0027434158350574814
0,0.24187297242401629,1,10,0.0037910236689079327,0.002235128168763742
