term,Category,Freq,Term,Total,loglift,logprob
5,Default,2.0,inside,2.0,12.0,12.0
7,Default,2.0,lund,2.0,11.0,11.0
3,Default,2.0,clock,2.0,10.0,10.0
4,Default,2.0,hours,2.0,9.0,9.0
8,Default,2.0,magnificent,2.0,8.0,8.0
1,Default,2.0,cathedral,2.0,7.0,7.0
6,Default,2.0,like,2.0,6.0,6.0
2,Default,2.0,city,2.0,5.0,5.0
10,Default,2.0,university,2.0,4.0,4.0
11,Default,2.0,visited,2.0,3.0,3.0
9,Default,2.0,quite,2.0,2.0,2.0
0,Default,1.0,39,1.0,1.0,1.0
7,Topic1,1.6818899092615067,lund,2.83713110466753,0.7459,-1.5435
11,Topic1,0.9220412368113039,visited,2.0938059292862805,0.4486,-2.1446
2,Topic1,0.9059275819038515,city,2.0890212172761733,0.4333,-2.1622
6,Topic1,0.9124415664066289,like,2.1286939208264806,0.4216,-2.1551
1,Topic1,0.9136776030250979,cathedral,2.135040827641819,0.42,-2.1537
8,Topic1,0.9041887032860084,magnificent,2.190144933503756,0.3841,-2.1641
4,Topic1,0.9139874114983076,hours,2.849198250160316,0.1318,-2.1534
9,Topic1,0.15144808889130526,quite,2.0823118431516425,-1.3522,-3.9509
0,Topic1,0.13881548893952356,39,1.9330593514496315,-1.3649,-4.038
10,Topic1,0.14332876806276199,university,2.0319188009124782,-1.3828,-4.006
3,Topic1,0.1483561181171531,clock,2.7888002816433706,-1.665,-3.9716
5,Topic1,0.13680854684061305,inside,2.8408735394805213,-1.7645,-4.0526
5,Topic2,1.625241283868272,inside,2.8408735394805213,0.8454,-1.4427
10,Topic2,0.8801050364835806,university,2.0319188009124782,0.5671,-2.0561
9,Topic2,0.8945183511791241,quite,2.0823118431516425,0.5589,-2.0399
8,Topic2,0.8947108025245697,magnificent,2.190144933503756,0.5086,-2.0396
4,Topic2,0.8968187136882965,hours,2.849198250160316,0.2479,-2.0373
3,Topic2,0.8777324116466451,clock,2.7888002816433706,0.2478,-2.0588
2,Topic2,0.15396117102720622,city,2.0890212172761733,-1.2039,-3.7994
1,Topic2,0.14263891712971097,cathedral,2.135040827641819,-1.3021,-3.8758
0,Topic2,0.12347562284488138,39,1.9330593514496315,-1.347,-4.0201
6,Topic2,0.1328984178562162,like,2.1286939208264806,-1.3699,-3.9466
11,Topic2,0.12976543975114121,visited,2.0938059292862805,-1.3772,-3.9704
7,Topic2,0.12658851763228463,lund,2.83713110466753,-1.7058,-3.9952
3,Topic3,1.4860817157782353,clock,2.7888002816433706,1.0994,-1.2072
6,Topic3,0.8101481954084364,like,2.1286939208264806,0.7628,-1.8139
1,Topic3,0.8087510527019373,cathedral,2.135040827641819,0.7581,-1.8156
5,Topic3,0.8088500876646809,inside,2.8408735394805213,0.4726,-1.8155
0,Topic3,0.1412233270619239,39,1.9330593514496315,-0.8877,-3.5608
11,Topic3,0.14110425577687893,visited,2.0938059292862805,-0.9684,-3.5616
9,Topic3,0.1377587730532901,quite,2.0823118431516425,-0.9869,-3.5856
10,Topic3,0.12292588738418389,university,2.0319188009124782,-1.0763,-3.6995
2,Topic3,0.12386784242088403,city,2.0890212172761733,-1.0964,-3.6919
8,Topic3,0.12713847457015987,magnificent,2.190144933503756,-1.1176,-3.6658
4,Topic3,0.13796334151766917,hours,2.849198250160316,-1.299,-3.5841
7,Topic3,0.12387226325417001,lund,2.83713110466753,-1.4024,-3.6919
0,Topic4,0.7422050230833375,39,1.9330593514496315,0.9962,-1.6769
10,Topic4,0.7408708946512083,university,2.0319188009124782,0.9445,-1.6787
2,Topic4,0.7609633610755279,city,2.0890212172761733,0.9435,-1.652
7,Topic4,0.7559177111500099,lund,2.83713110466753,0.6308,-1.6586
11,Topic4,0.12481580836946941,visited,2.0938059292862805,-0.8665,-3.4597
6,Topic4,0.1261497474740842,like,2.1286939208264806,-0.8724,-3.4491
1,Topic4,0.12442628105569607,cathedral,2.135040827641819,-0.8891,-3.4628
8,Topic4,0.1252095458957969,magnificent,2.190144933503756,-0.9083,-3.4566
9,Topic4,0.11253150065626645,quite,2.0823118431516425,-0.9646,-3.5633
3,Topic4,0.12386898646903616,clock,2.7888002816433706,-1.1607,-3.4673
4,Topic4,0.11808903398489229,hours,2.849198250160316,-1.23,-3.5151
5,Topic4,0.11511556280364299,inside,2.8408735394805213,-1.2525,-3.5406
0,Topic5,0.759113160422782,39,1.9330593514496315,1.0187,-1.6544
9,Topic5,0.7578923254414001,quite,2.0823118431516425,0.9427,-1.656
11,Topic5,0.7484913509922301,visited,2.0938059292862805,0.9247,-1.6685
