term,Topic,Freq,Term
0,4,0.5173146904413899,39
0,5,0.5173146904413899,39
1,1,0.46837511819598937,cathedral
1,3,0.46837511819598937,cathedral
2,1,0.4786930796729183,city
2,4,0.4786930796729183,city
3,2,0.35857712959306104,clock
3,3,0.35857712959306104,clock
4,1,0.3509759280329942,hours
4,2,0.3509759280329942,hours
4,5,0.3509759280329942,hours
5,2,0.7040088100386607,inside
5,3,0.35200440501933034,inside
6,1,0.4697716239128183,like
6,3,0.4697716239128183,like
7,1,0.7049374618993403,lund
7,4,0.35246873094967013,lund
8,1,0.45659078753305027,magnificent
8,2,0.45659078753305027,magnificent
9,2,0.48023546679082874,quite
9,5,0.48023546679082874,quite
10,2,0.49214565048117465,university
10,4,0.49214565048117465,university
11,1,0.4775991824327634,visited
11,5,0.4775991824327634,visited
