,"[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-0.86013055,-1.3323796,-0.53828704,-0.6425961,-0.75497633,-0.5575348,-0.58722234,-0.35757107,-1.0463439,-0.87919235,-0.7348218,-0.6044098,-0.56527853,-0.61088765,-0.2819161,-0.73407936
1,-0.031497695,-0.117101885,-0.37557507,-0.5933606,0.039443497,0.27431747,0.0626623,0.13932061,0.06316502,0.10967446,-0.054188013,-0.091649845,0.3243971,0.15095937,-0.13455462,0.041291647
2,0.5047997,0.8117472,1.0576239,-0.07031757,-0.19190203,0.6823145,0.12406349,0.029814646,0.5538943,0.22168268,0.55474573,0.47896907,0.47186714,0.15728848,0.6701091,-1.6249716e-05
3,0.093247674,-0.09015443,0.004588342,-0.6436547,0.01770148,-0.12526709,-0.10891554,-0.18581302,-0.29318246,-0.3483594,-0.3841862,-0.65494365,-0.0019059166,-0.3218639,-0.2134159,0.081567615
4,0.27485695,0.17576027,-0.42652366,0.106885694,0.04352136,-0.33561218,0.0572882,-0.049971785,-0.049828798,-0.03987504,-0.30444825,-0.24883156,0.29972607,-0.22753648,-0.055477045,-0.5622291
5,-0.020911006,-0.05812237,-0.6482107,-0.6999,-0.3749582,-0.65219474,-0.257496,-0.19463973,-0.3984818,-0.14690527,-0.012163572,-0.13325201,-0.24243563,-0.3192607,-0.36091644,-0.2681911
6,-1.0339732,-0.9470971,-0.8507281,-0.3280435,-0.5360984,-0.43410245,-0.26805452,-0.8772234,-0.5282655,-0.69803727,-0.46569097,-0.71884257,-0.7325004,-0.7700844,-0.17518799,-0.8382263
7,-0.2744886,0.15794294,-0.017342335,-0.05617404,0.18041815,-0.25633323,-0.28236923,0.10335942,-0.4383045,-0.06493428,-0.4274924,0.004163165,0.08290462,-0.013334369,-0.11197999,0.31387547
8,0.604356,0.519888,0.5501804,0.0041656755,0.25891328,0.43408656,0.0033548928,0.70804286,0.3413843,0.75273925,0.9265735,0.9466924,0.07417424,0.6572868,0.732809,0.22258036
9,0.8429973,0.59000075,0.7518529,0.1356158,-0.10385609,0.35007805,0.36029106,0.7351941,0.4629582,0.71442145,0.363366,0.535478,0.80908424,0.22289471,0.29994676,0.26614523
10,0.009540845,0.28174016,1.1695656,0.38337433,0.63227326,-0.047636215,0.3191898,0.657707,-0.0055470103,0.61960286,0.19648689,-0.2561716,-0.058873624,0.35157377,0.7918203,0.87030256
11,-0.78837633,-0.3656581,-0.82125235,-0.45708168,-0.5917485,-0.68287,-0.45147192,-0.5825911,-0.27879915,-0.85195893,-0.31648135,-0.6258909,-0.7532808,-0.8456269,0.1878541,-0.2785154
12,0.5962001,0.8790423,0.37959847,0.8101447,0.7118614,0.40236667,0.26347744,0.5206436,1.322775,0.7929108,1.081776,0.7380249,0.768532,0.76965624,0.8648213,0.9787389
13,0.09362435,0.5544619,0.02842084,0.6379036,0.18157195,0.5428192,0.13025959,0.13136457,0.0631744,-0.08765101,0.1793961,0.37651023,0.5134469,0.52510315,0.796633,0.29043114
