,"[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-0.2815405,-1.3450094,-0.35308278,-0.83380044,-0.56810343,-0.9176644,-0.5811967,-0.9810687,-0.34958234,-1.3602734,-0.690146,-0.72004825,-0.21227375,-0.9341545,-0.60263574,-0.7598903
1,0.7889526,-0.14883783,-0.18278983,0.1752569,-0.0027156845,0.10911149,-0.46890435,0.0384325,0.14974089,-0.6830545,0.08823332,-0.19947328,-0.33744654,0.25862053,-0.59759325,-0.031616785
2,0.08544831,0.908929,1.0258017,0.25999936,0.6536297,0.02694179,-0.09498286,0.47770202,0.5028626,0.27956292,0.8533752,0.78994864,0.33907762,0.7791308,-0.5838965,0.12982675
3,0.310227,0.1859798,0.14847893,-0.33390328,-0.15991127,0.14722691,0.0029019546,-0.20176193,0.77715737,-0.54236406,-0.45696816,-0.2748476,-0.013125929,-0.2056316,-0.52051634,-0.079588994
4,0.25960663,0.1709921,-0.43358245,-0.29737672,-0.25566384,-0.06297982,0.15087691,0.54055136,-0.013279365,-0.44003093,-0.1533666,-0.04396527,-0.06795442,0.3407738,0.39126953,-0.65846545
5,0.21662907,0.28078738,-0.22899637,-0.57583326,-0.29747048,-0.69176704,-0.78747976,-0.38136593,0.005959153,-0.5165103,-0.099055275,-0.060293753,-0.9095065,-0.5531982,-0.34388763,-0.58395535
6,-0.99184924,-0.99114627,-0.13360205,-1.0875825,-1.4329754,-0.6548784,-0.85880715,-1.1097105,-0.44067928,-0.62200505,-0.9353934,-0.92354107,-0.86767405,-1.341507,0.25409895,-0.5332934
7,-0.56737006,0.21336119,0.18065885,-0.56543535,-0.32970762,0.28070042,-0.1493649,-0.057796147,-0.45323467,0.25584477,-0.03542153,-0.22653544,-0.02590334,-0.69510275,0.1518941,0.654244
8,0.95224774,0.43025634,0.60069174,0.057262123,0.8556601,0.71671283,0.09937051,0.071846835,0.37627062,0.20970252,0.8222517,0.46881595,0.68013626,0.80675435,-0.2813498,0.15329525
9,0.14402601,0.43311787,0.23068383,0.5180852,-0.060117256,0.3170878,-0.068811506,0.72087747,0.44256234,0.92335486,0.29893076,0.46133327,0.15926188,-0.01636846,-0.15303496,0.094028786
10,0.2165013,0.2133052,1.697893,-0.053949863,-0.15676606,0.89018774,0.27322105,-0.1846688,0.5892147,1.2040418,0.5728401,-0.24927485,-0.006703943,0.19780368,0.5137075,1.0269672
11,-0.79006356,-0.43038478,-0.93248713,-0.09054257,-0.86114556,-0.6023439,-0.18230188,0.3728113,-0.85532725,-0.4997198,-0.39916006,-0.026543258,-0.6211834,-0.7203723,0.28829506,-0.2349403
12,0.74097687,0.68141884,0.77953106,0.548973,0.06427304,0.4066161,0.5334989,0.5731134,0.67575884,1.219167,1.2921404,0.52632797,0.7091234,0.17874853,0.9303965,0.80317223
13,0.24992296,0.66975695,0.59745723,0.5567656,0.024185782,0.82122433,1.1501799,0.2517372,0.0016391745,0.485456,-0.0066033476,0.0661959,0.41867146,0.6138205,0.079460256,0.15435036
14,0.09223814,-0.44987345,-0.24403167,-0.1920866,-0.08306152,-0.14769822,-0.114978656,-0.3735799,-0.023058424,-0.29870152,-0.32554287,-0.44141164,-0.3102408,-0.40890887,-0.6514626,0.064311
15,-0.2137141,-0.12088639,-0.89778423,-0.8461806,0.20588028,-1.1285396,-0.9498881,-0.7594047,-0.46397367,-0.8019734,-0.44609377,-0.8251851,-0.64529383,0.062563926,-0.8103128,-0.7582858
16,-0.076545164,-0.55256265,-0.4816803,-0.7410187,-0.2344273,-0.4748642,-0.21092027,-0.6615597,0.18768252,-0.15301594,-0.6745972,-1.1085173,-0.28433916,-0.09000863,-0.3754833,-1.3522685
17,0.5192405,0.96028215,0.25390854,0.42647603,0.35025454,-0.1054848,0.18459624,0.078541964,0.51630425,0.5344233,0.24526511,0.3232659,0.12650225,0.5889699,-0.58636975,-0.42407763
18,1.0254524,0.54448193,1.0995417,0.6305894,0.6727353,0.6568826,0.8493408,1.02389,0.9356047,1.85229,0.8886727,0.7582715,0.41908252,0.7410168,1.419698,1.0214309
