,"[Chinese, (Sim.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[Finnish]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,-1.1270397,-0.8887251,-1.362323,-0.615475,-1.125438,-0.30253845,-0.7720148,-0.21005765,-1.1026174,-0.772004,-0.61542654,-0.8756221,-1.1025872,-0.9032364,-0.8814487,-0.91302377
1,-0.42857665,0.1064887,-0.5754651,-0.4297448,-0.5814003,-0.018041896,0.053693052,0.0831629,-0.08502746,-0.17220956,-0.19913931,-0.18809101,-0.43966645,-0.07754822,-0.37020665,0.053509027
2,0.47230938,0.45665845,0.17109936,0.39347515,0.26465663,0.16588178,-0.29738086,-0.2951594,0.37445962,-0.013354523,0.2768094,0.45346263,0.72738,-0.30836758,0.10398174,-0.007248449
3,-0.25333223,0.019732745,0.26147798,0.27432248,-0.062166832,0.5167473,0.117483474,0.47376293,-0.119352214,0.21906164,0.087206736,-0.062551886,-0.10483904,0.25439388,-0.021292023,0.41190177
4,0.16283055,0.06066787,0.63734716,0.39138353,0.10699971,0.5782135,-0.27290475,0.40146026,0.523994,0.34578636,-0.0534404,0.3095466,0.35813048,0.89253336,0.31337178,0.13272363
5,-0.652205,-0.35142812,-0.33718696,-0.06289599,-0.41165078,0.12990649,-0.16520873,-0.59680676,0.1791875,-0.14742817,-0.2176507,-0.5570105,0.43014005,-0.58582145,0.3982269,0.17284623
6,-0.8990791,-1.0022615,-0.9219557,-0.80108446,-0.8042831,-0.52712977,-0.63203883,-0.6198824,-0.7292971,-0.663177,-0.72735333,-1.2974092,-0.9221603,-0.23785837,-0.49147737,-0.5616956
7,0.008084511,-0.093896195,0.19093235,-0.23792115,-0.0791947,-0.46744215,0.35460967,0.31099972,-0.20417437,0.30124465,-0.069913276,0.16233003,-0.19040659,-0.10758615,-0.044867974,0.2359497
8,0.2274627,0.31874934,0.66295415,0.9879459,-0.32943195,1.0286129,0.4773039,0.86141837,-0.22322398,-0.08046024,0.16141877,0.5835362,0.5557816,0.12510255,0.42937797,0.7846243
9,0.29402748,0.1538373,0.119547,-0.109963,0.7316028,-0.06638775,0.025232721,0.38900104,0.27776828,0.36128277,1.0171224,0.22503704,0.04345334,-0.16290426,0.36619553,0.34561345
10,0.06479494,-0.018854646,0.50700164,0.54216033,0.078283176,0.17668064,0.45827526,0.7368309,0.33716983,0.09369936,0.027800972,0.018483078,-0.14000571,-0.30533484,0.50559074,0.2521079
11,-0.12587722,-0.41367894,-1.0091256,-0.5053883,-0.41824943,-0.6672155,-0.63689876,-0.615153,-0.50117064,-0.18316509,-0.38198498,-0.92056227,-0.41820604,-0.2012656,-0.60153174,-0.49798915
12,0.784021,0.2539147,0.562991,0.0841721,0.45707336,0.4606045,0.7913645,0.7373059,0.7845272,0.31806266,0.79622847,0.3391061,0.79760873,0.36973003,0.91111946,0.60604423
13,0.6134621,0.114004955,0.5202155,0.792482,0.43783587,0.042449135,0.13699317,0.31335276,0.39519122,0.6316013,0.5037557,0.17950773,0.5463336,0.22142687,-0.11271494,0.31729838
14,-0.6467993,-0.4156481,-0.827873,-0.67779195,-0.768946,-0.104039505,-0.11471328,-0.601874,-0.11091809,-0.45031926,-0.23460014,-0.6046998,-0.15564659,-0.69350797,-0.4284778,-0.14767803
15,0.070488274,-0.4053624,-0.096931666,-0.12695163,0.11910638,-0.012247367,-0.39705703,-0.43233725,-0.17315702,-0.49564964,-0.24697922,-0.27420184,-0.12039281,-0.6899755,-0.15979975,-0.13219301
16,-0.19612443,0.16479228,-0.23149887,-0.7995458,0.09529467,0.30209506,-0.35342953,-0.50253266,-0.22353807,0.062001597,0.35291144,0.13704164,-0.11443786,-0.19068065,0.027102869,-0.3373173
17,0.3235865,0.6065695,0.48762113,0.14572841,0.47701627,0.4254656,0.28122902,-0.012782626,0.032686017,-0.019978607,0.47917634,0.6598257,0.34202346,0.25048846,0.39564812,0.23198171
18,1.244625,0.8411499,1.2383231,1.2416165,0.43951607,0.6505346,1.0793239,1.3224101,1.1707814,0.8634484,1.2203636,1.2429099,1.3005424,1.0038066,1.0164629,1.1298223
19,-0.15341924,-0.24817176,-0.65759814,-0.3834634,-0.98283154,0.090801276,0.41004908,0.28105387,0.05334924,-0.2682334,-0.39141673,-0.45720345,-0.11018494,0.37832943,0.084631786,-0.5039168
20,0.25476685,0.56839556,0.81125116,0.9920872,0.9565574,0.47052094,0.8487476,0.58151305,0.8702205,0.79446083,0.8211216,0.44834414,1.0936029,0.4995338,0.4722695,1.148576
21,1.3088673,0.903639,1.1196241,1.1757197,0.87750494,1.1648682,0.5126517,0.9402702,1.0011045,1.1679211,1.2051619,1.0732807,1.3470006,0.40839955,1.1137925,1.0923204
