,"[Chinese, (Sim.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[Finnish]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,0.0183087,-1.2839364,0.04545771,-0.7407111,-1.1217153,-0.90981984,-0.85813415,-0.97286505,-1.0492169,-1.2066449,-0.50241995,-1.2302909,-0.9126819,-0.41446844,-0.37791935,-1.3257295
1,0.30112478,-0.042812154,0.30482417,-0.20003211,-0.8454245,0.33609778,-0.15952209,-0.18982753,0.07426258,-0.48771006,-0.087132744,-0.23433463,-0.37794754,-0.4783322,0.3204644,-0.3284248
2,0.10972932,-0.48362944,0.062365588,0.008535785,-0.28785756,-0.06543117,-0.0929629,0.43875363,0.025769759,-0.0735299,-0.56088984,0.021543644,-0.11162082,0.44237426,0.618045,-0.36866757
3,-0.12445023,0.15757662,-0.35893366,0.5823586,-0.25259325,-0.036577825,0.54234034,0.048937876,0.15123668,0.22728136,0.5129364,-0.008872493,0.30919155,-0.42689142,0.70849913,0.32819563
4,0.44082534,0.46731123,-0.8864851,-0.09937813,0.70397216,-0.07030322,0.10944923,0.07805446,0.4896585,0.51526976,0.5012173,0.14038363,0.16335437,-0.365114,0.38955626,-0.12108522
5,-0.026790362,-0.6284492,0.28052673,-0.019386254,-0.08287357,-0.6373383,-0.011653909,-0.46342766,-0.46308488,-0.009206336,-0.2514264,-0.3381747,-0.23335227,-0.582566,0.46041447,-0.65206164
6,-0.616731,-0.4750931,-0.5867754,-0.8360577,-0.36873236,-1.2299176,-0.55563813,-0.5273101,-1.0766834,-0.68345547,-0.46626517,-0.67053264,-0.71318626,-0.3819641,-0.7362675,-0.8756538
7,0.083882935,0.10457376,0.2715065,0.22252557,0.3470259,0.17723653,0.063359804,0.10151112,-0.16637872,-0.13820648,0.025878489,0.02033418,0.2330749,-0.0566156,-0.42076108,0.06665155
8,-0.5190619,0.2724455,1.1118518,0.7519921,0.0007946808,0.7468541,0.014028886,0.41173872,0.07373157,0.26898718,0.022755284,0.27079785,0.72212666,0.22580177,0.98521954,0.19163719
9,0.7531208,-0.0962301,-0.39598143,-0.05992086,0.43325657,0.45523816,0.111853674,-0.26390865,0.1477299,-0.29924196,0.30606943,0.036368985,0.70448107,0.40255246,-0.100291185,0.30149287
10,1.1853085,0.63912266,1.0929395,0.6005931,-0.32538646,0.2814182,0.3389017,0.39934582,0.26395118,0.57330775,0.53557014,0.03283046,0.18968993,0.15296178,-0.4023094,0.38328212
11,-0.9963946,-1.060216,-0.33598825,-1.078613,-0.4267554,-1.0711268,-0.5844703,-0.77854806,-0.28664976,-0.18765625,-0.27327177,-0.37526894,-0.74505955,-0.056053042,-0.59590447,-0.84214824
12,0.29462755,0.6880221,0.7033116,0.69811094,0.42395073,0.49870002,-0.07134561,0.5764267,-0.10185071,0.50197417,0.3139876,0.20081443,0.32131496,0.4589401,1.1803895,0.8491308
13,0.584317,0.5193714,0.059662566,-0.12685233,0.16373332,0.20579696,0.54593956,0.5317412,0.6196826,-0.008887781,0.5982883,0.7460281,0.3119524,0.32100514,-0.13817981,0.2815273
14,-0.015186375,-0.49041298,-0.23419678,-0.4070721,-0.882712,-0.09316668,-0.5630577,-0.26538557,-1.2797477,-0.6733631,-0.53334415,-0.45865667,-0.1093756,0.3146361,0.26175347,-0.29803213
15,-0.48047116,-0.28567207,-0.37657014,-0.17507976,-0.044790193,-0.023670545,-0.17746998,-0.40116417,-0.44395658,-0.32662594,-0.13651012,-0.18142451,-0.38219145,-0.6761811,0.19309154,-0.23752423
