,languages,"[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,"[Chinese, (Sim.)]_Term",1.0000000000000002,0.9402872606387046,0.9672898258751701,0.9654983693701462,0.9540484044308178,0.9657835759753817,0.9640732258823067,0.9612482914701296,0.9705224663525333,0.9651177556951953,0.9658320879118709,0.9675202694936152,0.9630286291034384,0.9671977665055205,0.9504883877858518,0.9226863798626584
1,"[Chinese, (Trad.)]_Term",0.9402872606387046,1.0,0.9172240071716105,0.907195148047761,0.9158591831623516,0.9204163613337178,0.9177560668840088,0.9310708543265295,0.9230341497328466,0.9066707974316776,0.9185986205449663,0.9169082293750859,0.9355120869727954,0.9322873725058537,0.909370580724529,0.9011030727008019
2,[Danish]_Term,0.9672898258751701,0.9172240071716105,1.0,0.9565392679564542,0.9570662708783294,0.965970033464821,0.9666119658735658,0.9601952614448328,0.9772052593712391,0.9682830032535099,0.9613804758403522,0.96713084616886,0.9740784229531277,0.9686312737756849,0.9481455872893921,0.9306955255759966
3,[Dutch]_Term,0.9654983693701462,0.907195148047761,0.9565392679564542,1.0,0.9452753977744764,0.9555661078192872,0.9610991982180994,0.9552620487796337,0.95830560060522,0.9654806009838061,0.9592569998610239,0.9473249245026822,0.958913252920566,0.953781503430731,0.9348245261960224,0.9257513006771448
4,[English]_Term,0.9540484044308178,0.9158591831623516,0.9570662708783294,0.9452753977744764,1.0,0.9704034236016007,0.9461887624009786,0.95653975697442,0.968745323308438,0.9466323283026923,0.9536734458122009,0.9593735131369261,0.9552842556172065,0.9562652595599739,0.9519594593879626,0.914491212855468
5,[French]_Term,0.9657835759753817,0.9204163613337178,0.965970033464821,0.9555661078192872,0.9704034236016007,1.0,0.9578500136746558,0.9649110388316511,0.9682795890531831,0.9586694542532427,0.9623647042747973,0.9749297039317568,0.9606236587291793,0.9709478216058197,0.954503065404471,0.9228474837018265
6,[German]_Term,0.9640732258823067,0.9177560668840088,0.9666119658735658,0.9610991982180994,0.9461887624009786,0.9578500136746558,1.0,0.9653307571275717,0.9648710153016136,0.9615473220822107,0.9638191316321796,0.9532724942323095,0.9628902215227833,0.9649894580045102,0.9240836878897519,0.9382034136640014
7,[Italian]_Term,0.9612482914701296,0.9310708543265295,0.9601952614448328,0.9552620487796337,0.95653975697442,0.9649110388316511,0.9653307571275717,1.0,0.9602773032761617,0.9475851585287947,0.955068278293524,0.9554224040004516,0.9681022556396218,0.9553682953248208,0.9334616381479849,0.9325228496811884
8,[Japanese]_Term,0.9705224663525333,0.9230341497328466,0.9772052593712391,0.95830560060522,0.968745323308438,0.9682795890531831,0.9648710153016136,0.9602773032761617,1.0000000000000002,0.964661333180127,0.9629838586243269,0.9653868806267054,0.9699384876069781,0.9671595376385811,0.9534901411050917,0.9185469777367441
9,[Norwegian]_Term,0.9651177556951953,0.9066707974316776,0.9682830032535099,0.9654806009838061,0.9466323283026923,0.9586694542532427,0.9615473220822107,0.9475851585287947,0.964661333180127,1.0,0.9685875583310775,0.9569752434073534,0.9589134430824525,0.9672442870378549,0.9388365064711479,0.9296640679416843
10,[Polish]_Term,0.9658320879118709,0.9185986205449663,0.9613804758403522,0.9592569998610239,0.9536734458122009,0.9623647042747973,0.9638191316321796,0.955068278293524,0.9629838586243269,0.9685875583310775,1.0000000000000002,0.9518136267744083,0.9578295205378178,0.9629786886899191,0.9385468465114941,0.9274557790780195
11,[Portuguese]_Term,0.9675202694936152,0.9169082293750859,0.96713084616886,0.9473249245026822,0.9593735131369261,0.9749297039317568,0.9532724942323095,0.9554224040004516,0.9653868806267054,0.9569752434073534,0.9518136267744083,1.0000000000000002,0.9520255657399177,0.9744973620055574,0.9580474431475698,0.9209550390878634
12,[Russian]_Term,0.9630286291034384,0.9355120869727954,0.9740784229531277,0.958913252920566,0.9552842556172065,0.9606236587291793,0.9628902215227833,0.9681022556396218,0.9699384876069781,0.9589134430824525,0.9578295205378178,0.9520255657399177,1.0000000000000002,0.9591870531276212,0.9323002053248041,0.9257195588211707
13,[Spanish]_Term,0.9671977665055205,0.9322873725058537,0.9686312737756849,0.953781503430731,0.9562652595599739,0.9709478216058197,0.9649894580045102,0.9553682953248208,0.9671595376385811,0.9672442870378549,0.9629786886899191,0.9744973620055574,0.9591870531276212,0.9999999999999999,0.9490381732803411,0.9335584346652025
14,[Swedish]_Term,0.9504883877858518,0.909370580724529,0.9481455872893921,0.9348245261960224,0.9519594593879626,0.954503065404471,0.9240836878897519,0.9334616381479849,0.9534901411050917,0.9388365064711479,0.9385468465114941,0.9580474431475698,0.9323002053248041,0.9490381732803411,1.0000000000000002,0.8925812476252416
15,[Turkish]_Term,0.9226863798626584,0.9011030727008019,0.9306955255759966,0.9257513006771448,0.914491212855468,0.9228474837018265,0.9382034136640014,0.9325228496811884,0.9185469777367441,0.9296640679416843,0.9274557790780195,0.9209550390878634,0.9257195588211707,0.9335584346652025,0.8925812476252416,0.9999999999999999
