,languages,"[Chinese, (Sim.)]_Term",[Danish]_Term,[Dutch]_Term,[English]_Term,[Finnish]_Term,[French]_Term,[German]_Term,[Italian]_Term,[Japanese]_Term,[Norwegian]_Term,[Polish]_Term,[Portuguese]_Term,[Russian]_Term,[Spanish]_Term,[Swedish]_Term,[Turkish]_Term
0,"[Chinese, (Sim.)]_Term",1.0,0.9577571691996593,0.9499410208004485,0.9456756971290611,0.9215205806005933,0.9430552413752162,0.9522508179991448,0.9463860417400676,0.9540133973625686,0.9628844977999975,0.9477094766176605,0.9475212802881847,0.9538269642892132,0.9531619193873327,0.935448807904615,0.9439609105833175
1,[Danish]_Term,0.9577571691996593,0.9999999999999999,0.9507853980469909,0.9541580744681036,0.9310705564574678,0.958674734516593,0.9652195601994262,0.9544918089161543,0.9679907770306816,0.9654914515219348,0.9512659754899022,0.9514943412617858,0.9641988690107339,0.959742845089326,0.9571642730721123,0.9545982730307354
2,[Dutch]_Term,0.9499410208004485,0.9507853980469909,1.0,0.9445281562210999,0.9337440983708267,0.9586137447610525,0.9564457026637647,0.960407234840252,0.9532919326256569,0.9675730500432325,0.9493681913896796,0.9681639516120027,0.9601783206688931,0.9556966998603301,0.931775356944357,0.938379489249256
3,[English]_Term,0.9456756971290611,0.9541580744681036,0.9445281562210999,1.0000000000000002,0.9282654109258343,0.9577896217337442,0.9561031922159503,0.96256237718983,0.9449673655061511,0.9386448093169771,0.9462669446410037,0.9507216952749808,0.9447188607636474,0.9628043196942654,0.9327751559206463,0.9459640233595764
4,[Finnish]_Term,0.9215205806005933,0.9310705564574678,0.9337440983708267,0.9282654109258343,1.0,0.9342581814961985,0.9394129062717245,0.9249462403794086,0.9302201756105128,0.9317376168281496,0.9461899973007629,0.9408190447706892,0.9388799636009615,0.9292491143083692,0.905871430119613,0.9503286963454697
5,[French]_Term,0.9430552413752162,0.958674734516593,0.9586137447610525,0.9577896217337442,0.9342581814961985,1.0000000000000002,0.9597866913911498,0.967184576325984,0.9630168316058213,0.9465587500735873,0.9495213276546538,0.9663280508607549,0.9579435557048733,0.9659578081983913,0.9413570445855374,0.9462583078034229
6,[German]_Term,0.9522508179991448,0.9652195601994262,0.9564457026637647,0.9561031922159503,0.9394129062717245,0.9597866913911498,1.0000000000000002,0.9579272566210281,0.9590621525756781,0.9526184792625404,0.9562740576857499,0.9566724896200233,0.957281395208464,0.9545977707873636,0.9374818361830075,0.9543091047465654
7,[Italian]_Term,0.9463860417400676,0.9544918089161543,0.960407234840252,0.96256237718983,0.9249462403794086,0.967184576325984,0.9579272566210281,1.0000000000000002,0.9559802444203986,0.9463444424093497,0.9489000693763844,0.9658869635204221,0.9569780965312903,0.9630566442260463,0.9360684013849895,0.9387239687791177
8,[Japanese]_Term,0.9540133973625686,0.9679907770306816,0.9532919326256569,0.9449673655061511,0.9302201756105128,0.9630168316058213,0.9590621525756781,0.9559802444203986,1.0,0.9596981363397619,0.9523066823451626,0.9466366121833578,0.9648834212407642,0.9697812291387506,0.9498241529505579,0.9478291666235062
9,[Norwegian]_Term,0.9628844977999975,0.9654914515219348,0.9675730500432325,0.9386448093169771,0.9317376168281496,0.9465587500735873,0.9526184792625404,0.9463444424093497,0.9596981363397619,0.9999999999999999,0.9427837224572561,0.953137607342993,0.9726165597680229,0.9519258575581783,0.9449480433515136,0.9395356641577044
10,[Polish]_Term,0.9477094766176605,0.9512659754899022,0.9493681913896796,0.9462669446410037,0.9461899973007629,0.9495213276546538,0.9562740576857499,0.9489000693763844,0.9523066823451626,0.9427837224572561,1.0,0.9527325330352383,0.9549552710634781,0.9532367409771182,0.9374590954754799,0.9572641384521052
11,[Portuguese]_Term,0.9475212802881847,0.9514943412617858,0.9681639516120027,0.9507216952749808,0.9408190447706892,0.9663280508607549,0.9566724896200233,0.9658869635204221,0.9466366121833578,0.953137607342993,0.9527325330352383,1.0,0.9570110957294731,0.9567276940787973,0.9253274931669326,0.9437095708653929
12,[Russian]_Term,0.9538269642892132,0.9641988690107339,0.9601783206688931,0.9447188607636474,0.9388799636009615,0.9579435557048733,0.957281395208464,0.9569780965312903,0.9648834212407642,0.9726165597680229,0.9549552710634781,0.9570110957294731,0.9999999999999999,0.9633256430108074,0.9470056597599064,0.94519172160467
13,[Spanish]_Term,0.9531619193873327,0.959742845089326,0.9556966998603301,0.9628043196942654,0.9292491143083692,0.9659578081983913,0.9545977707873636,0.9630566442260463,0.9697812291387506,0.9519258575581783,0.9532367409771182,0.9567276940787973,0.9633256430108074,1.0,0.9470224011321222,0.9401332560213522
14,[Swedish]_Term,0.935448807904615,0.9571642730721123,0.931775356944357,0.9327751559206463,0.905871430119613,0.9413570445855374,0.9374818361830075,0.9360684013849895,0.9498241529505579,0.9449480433515136,0.9374590954754799,0.9253274931669326,0.9470056597599064,0.9470224011321222,1.0,0.9177517044566202
15,[Turkish]_Term,0.9439609105833175,0.9545982730307354,0.938379489249256,0.9459640233595764,0.9503286963454697,0.9462583078034229,0.9543091047465654,0.9387239687791177,0.9478291666235062,0.9395356641577044,0.9572641384521052,0.9437095708653929,0.94519172160467,0.9401332560213522,0.9177517044566202,0.9999999999999999
