,"[Chinese, (Sim.)]_Freq","[Chinese, (Sim.)]_Term","[Chinese, (Trad.)]_Freq","[Chinese, (Trad.)]_Term",[Danish]_Freq,[Danish]_Term,[Dutch]_Freq,[Dutch]_Term,[English]_Freq,[English]_Term,[French]_Freq,[French]_Term,[German]_Freq,[German]_Term,[Italian]_Freq,[Italian]_Term,[Japanese]_Freq,[Japanese]_Term,[Norwegian]_Freq,[Norwegian]_Term,[Polish]_Freq,[Polish]_Term,[Portuguese]_Freq,[Portuguese]_Term,[Russian]_Freq,[Russian]_Term,[Spanish]_Freq,[Spanish]_Term,[Swedish]_Freq,[Swedish]_Term,[Turkish]_Freq,[Turkish]_Term
0,4.434959491,church,6.036844911,cathedral,33.07930275,beautiful,4.251353784,building,195.5093869,clock,5.402003698,museum,2.675308274,churches,5.049382845,romanesque,2.628162229,tree,1.775269731,got,1.746371417,center,2.526149639,astronomical,15.75847929,cathedral,4.549172613,clock,55.58192072,nature,1.681889909,lund
1,12.09049667,lund,4.999826907,lund,27.3386741,cathedral,1.801186472,university,75.93858733,astronomical,7.092905393,lund,13.23867588,lund,1.787171479,architecture,2.612709338,look,1.769418013,lucky,1.745833721,romanesque,1.75648995,usually,3.609411698,oldest,2.778407733,time,30.36338778,botanical,0.922041237,visited
2,2.749833179,good,1.007300762,sweden,3.741390245,details,1.7871434,dom,71.34711533,crypt,4.488351746,romanesque,1.846477796,entrance,1.779004823,original,4.266186333,39,1.787725633,city,1.752067866,attraction,1.700506661,century,5.365721146,inside,2.766973118,astronomical,22.65623017,paths,0.905927582,city
3,1.893369763,famous,1.012684228,structure,22.62671589,lund,5.06711308,lund,38.77009125,tour,1.894054729,unmissable,1.834760674,special,1.758049828,example,1.805072561,colorful,1.777349429,introduction,2.512502157,city,2.565006983,city,2.768457222,gothic,8.882973154,cathedral,23.00428916,don,0.912441566,like
4,1.894019554,center,1.007017633,located,5.540622355,really,1.757324114,center,36.94169322,architecture,1.896018385,concert,1.830820636,scandinavia,1.752633348,northern,5.906485418,cathedral,1.756803934,history,3.331680847,lund,2.56250834,time,2.737725696,style,1.910924774,little,18.90983361,round,0.913677603,cathedral
5,1.897809743,time,0.378909517,center,2.873676366,connection,1.805582279,town,37.72507161,sketches,5.346391104,astronomical,3.519900418,university,2.592862082,style,1.803247679,dropped,1.780151298,lund,2.531302557,cathedral,1.707634153,clock,1.916348362,worth,6.281186636,beautiful,15.19594546,greenhouse,0.904188703,magnificent
6,1.867032445,amazing,0.332082776,church,2.844881123,university,0.968830831,student,37.76369196,english,1.883278351,life,13.60473893,cathedral,2.572305613,museum,8.352090292,lund,4.215011514,church,2.104233914,interesting,0.943733978,rich,1.887347788,tombs,1.919698861,inside,14.68164823,km,0.913987411,hours
7,1.875781076,main,0.168216483,building,2.869303719,historic,0.977718725,accessible,34.93707692,giant,1.902345243,air,1.835325769,highlight,5.031691133,interesting,2.627816062,city,0.958024114,copenhagen,0.956331554,building,0.968796908,went,1.903915814,size,1.91454438,seeing,45.69170527,garden,0.151448089,quite
8,4.45038951,cathedral,0.145601328,place,2.862627271,plant,0.972584797,outside,36.94643273,years,1.901541639,houses,1.821545435,oldest,1.761593872,europe,1.789613411,house,0.960012001,way,0.931486853,peace,0.958528928,simple,1.902916803,unusual,1.900076984,enter,38.76373609,plants,0.138815489,39
9,1.868832631,university,,,2.857053171,greenhouses,0.970349155,impressive,33.51477855,works,1.886140713,open,5.999992371,visit,4.761198801,center,0.970241521,near,0.963267364,decorated,0.944972093,really,0.949027475,winter,1.900178625,striking,1.895238903,years,13.72107256,greenhouses,0.143328768,university
10,1.046228291,visit,,,2.842015874,basement,1.813675114,beautiful,26.76468091,finn,1.896183466,missed,3.83354926,worth,1.782978241,close,1.803036442,english,0.964643027,39,0.943180574,place,3.362851049,beautiful,1.889120906,ancient,1.897045362,typical,12.86918944,running,0.148356118,clock
11,1.027784614,located,,,2.852948671,story,0.970128088,worth,26.16217548,artists,3.636407452,crypt,1.840196934,buildings,0.97051335,different,0.973983368,makes,0.958979264,recommended,0.316087007,exhibitions,2.529595622,cathedral,1.904567796,building,1.898685946,crypt,22.96162948,flowers,0.136808547,inside
12,1.033413086,structure,,,6.413539693,flowers,0.990018354,quiet,54.06005357,art,6.206394548,clock,0.999493677,tourist,0.966817282,medieval,0.970077152,walk,1.766907651,good,0.308128814,region,1.70152065,know,1.884262067,lutheran,2.781648279,place,12.17558805,rounds,,
13,1.043366886,scenery,,,4.65090763,christmas,0.978497832,inside,23.46362371,skissernas,10.09835582,beautiful,0.999493235,time,2.598839819,church,1.794094227,feel,0.958217624,beautifully,0.327508174,museum,0.939290108,sweden,1.882231832,century,2.762645438,different,11.94693162,restaurant,,
14,1.026210628,park,,,13.83227236,visit,0.973642301,visit,34.19194626,century,11.05281342,cathedral,0.984562028,today,0.967371938,area,0.967848731,sightseeing,0.962410601,beautiful,0.291922655,history,0.950532484,different,1.883850348,like,1.90907436,goes,11.430503,jogging,,
15,1.022751931,garden,,,1.956124812,decorated,0.958055884,nice,19.78499701,romanesque,2.77590112,small,0.990467168,imposing,0.969293267,right,0.986831742,short,0.964881297,inside,0.15234052,monuments,0.957010209,garden,2.761850092,central,3.619739664,visit,10.63426277,loop,,
16,1.008384401,great,,,1.947955873,ages,0.147739974,museum,19.66646115,basement,2.762735005,visit,0.99882611,home,0.966825859,solemn,0.981194323,tour,0.959749341,located,0.158714163,worth,0.952616271,park,8.836459159,lund,1.899280651,pretty,10.56199659,forest,,
17,0.473281613,train,,,1.96970359,usually,0.163405785,romanesque,19.66655655,pieces,1.895805409,oldest,1.012097722,admission,0.972101149,restaurant,0.970937706,houses,0.169912302,really,0.14499564,beautiful,0.940822385,charming,3.616624318,center,3.644652668,lund,10.44951957,wheelchair,,
18,0.519807368,39,,,1.950977518,course,0.160409505,gardens,18.11546733,0,1.036472902,seen,1.003865071,possibilities,0.942430621,majestic,0.978852657,people,0.14837429,time,0.141889244,knowledge,2.529750543,lund,1.894581161,just,1.902787696,worth,10.10706899,pond,,
19,0.158635052,went,,,1.964098684,centrally,0.146083518,garden,17.31741706,guided,1.022232689,heart,0.998725739,free,0.95773673,summer,0.980089468,museum,0.160575164,atmosphere,0.143678135,charming,0.952866816,visiting,2.735119403,near,1.035505561,museum,8.764356772,stadsparken,,
20,0.155330775,southern,,,1.964202477,peaceful,0.144046566,relax,17.05023,astrological,1.028049651,gothic,0.994207981,lake,2.278545095,imposing,0.97831334,guided,0.139383151,impressive,0.140743319,great,0.956548504,like,1.886512999,main,1.038657187,monument,8.634496774,birds,,
21,0.164229807,beautiful,,,1.957148221,kept,0.156831625,freely,15.41473805,cathedrals,1.032832162,buildings,0.996736274,town,1.763603562,oldest,0.977473061,place,0.147835726,sit,0.144800228,visit,0.957096943,visit,1.922977458,time,1.022930531,sweden,7.892467887,colors,,
22,0.152874201,sweden,,,1.934802484,surroundings,0.144903718,especially,15.3695592,12,1.015610686,century,1.845444871,sweden,5.492511254,cathedral,0.968752499,felt,0.15747795,botanical,0.144978017,recommend,0.967760842,church,2.622128151,located,1.037299251,know,7.846475246,car,,
23,0.158049187,life,,,2.831460953,come,0.14928174,botanical,14.39737547,including,1.026707379,like,1.8512408,great,5.010252683,lund,0.962249892,famous,0.13868453,museum,,,0.957306171,39,1.883836983,church,1.039383888,does,7.383422591,marked,,
24,0.146331685,place,,,5.374620164,small,0.147925288,clock,166.0355459,church,1.02604136,nice,1.073419971,look,0.973325623,little,0.962307905,german,0.151301713,park,,,0.979503425,worth,1.724227674,university,1.031049296,university,7.366462739,hike,,
25,0.169883593,museum,,,2.877626442,located,0.142011093,summer,12.59330981,noon,1.025752892,lovers,1.113230979,seeing,0.961794339,built,0.979738493,planning,0.145176582,large,,,0.139563033,houses,1.023645548,look,1.029446035,swedish,19.90433005,oasis,,
26,0.161720154,greenhouse,,,3.738237484,experience,0.148854758,plays,12.35310589,final,1.031125824,enjoy,1.004963045,definitely,0.958899142,crypt,0.975831784,fashionable,0.14368269,place,,,0.153127307,station,1.037243813,historical,1.043840824,people,7.036288635,spend,,
27,0.158888885,building,,,2.857623881,seen,0.153461262,free,11.81447226,story,1.011968135,stone,0.994137624,area,0.450600842,stands,1.799126246,station,0.151150629,big,,,0.156525353,open,1.043836489,background,1.04095224,history,12.43320154,picnic,,
28,,,,,5.796469707,visited,0.157172401,walk,11.0453294,thing,1.017393391,bike,1.919284207,church,1.509652437,beautiful,0.979579831,japan,0.134564538,plants,,,0.147692429,air,1.020038148,largest,1.9034731,interesting,6.752267687,know,,
29,,,,,2.850922803,quite,0.154957807,0,10.83641625,music,1.01932089,worth,1.002975714,small,0.463089558,inside,0.968557458,various,0.155743183,quiet,,,0.165532632,cool,1.031140315,town,1.041019797,days,6.587509359,naturum,,
30,,,,,12.6537925,church,0.157134577,day,276.3383834,cathedral,1.0250197,time,1.837772237,impressive,,,1.794684292,inside,0.14442063,architecture,,,0.156672794,cafes,3.613328186,beautiful,1.040259984,city,20.94583886,summer,,
31,,,,,10.01333402,garden,0.15613389,church,14.38126782,think,1.026346094,39,1.828170295,old,,,1.794190164,church,0.148021452,great,,,0.151822137,love,1.895812123,small,,,26.02737377,tracks,,
32,,,,,3.751985407,middle,,,25.95429981,interior,,,1.158244468,beautiful,,,1.797140959,history,0.141632136,worth,,,0.15435233,lots,1.038996115,amazing,,,24.14114601,want,,
33,,,,,3.74801168,like,,,56.20018629,impressive,,,1.069890304,outside,,,0.976241007,built,0.143681062,nice,,,0.161613143,medieval,,,,,18.54091992,day,,
34,,,,,2.849197869,day,,,99.86788483,history,,,1.077983056,city,,,0.975926873,appearance,,,,,0.157061209,museum,,,,,21.59316578,year,,
35,,,,,7.988032295,39,,,30.36279051,fascinating,,,,,,,0.978547869,building,,,,,,,,,,,59.50962772,walk,,
36,,,,,5.531027442,old,,,30.72629882,built,,,,,,,0.976929732,small,,,,,,,,,,,17.97913562,walking,,
37,,,,,3.762314533,town,,,86.57498374,inside,,,,,,,0.975897088,stone,,,,,,,,,,,16.58347931,trees,,
38,,,,,4.647013124,time,,,50.42304348,miss,,,,,,,0.975756681,plants,,,,,,,,,,,33.8273216,just,,
39,,,,,5.035345174,worth,,,128.5858652,interesting,,,,,,,,,,,,,,,,,,,35.76115188,area,,
40,,,,,3.726175155,large,,,90.61283446,building,,,,,,,,,,,,,,,,,,,58.98044764,place,,
41,,,,,3.613783545,clock,,,60.14252505,don,,,,,,,,,,,,,,,,,,,41.59838516,different,,
42,,,,,3.683869267,nice,,,113.4356373,worth,,,,,,,,,,,,,,,,,,,20.0094096,cozy,,
43,,,,,3.619195235,building,,,174.1420922,visit,,,,,,,,,,,,,,,,,,,48.01416935,park,,
44,,,,,3.144961929,botanical,,,245.5159915,lund,,,,,,,,,,,,,,,,,,,75.33621774,nice,,
45,,,,,2.860904979,good,,,63.87010252,swedish,,,,,,,,,,,,,,,,,,,17.77597083,cafe,,
46,,,,,,,,,127.1681514,beautiful,,,,,,,,,,,,,,,,,,,50.62899623,39,,
47,,,,,,,,,109.0117785,museum,,,,,,,,,,,,,,,,,,,67.81971219,lund,,
48,,,,,,,,,50.33364243,visited,,,,,,,,,,,,,,,,,,,48.29133052,beautiful,,
49,,,,,,,,,80.65895836,time,,,,,,,,,,,,,,,,,,,20.56229125,really,,
50,,,,,,,,,64.09006625,old,,,,,,,,,,,,,,,,,,,22.12688447,little,,
51,,,,,,,,,46.37796209,really,,,,,,,,,,,,,,,,,,,28.24782556,good,,
52,,,,,,,,,55.00358987,nice,,,,,,,,,,,,,,,,,,,21.39933821,city,,
53,,,,,,,,,42.85210007,sweden,,,,,,,,,,,,,,,,,,,18.4484713,great,,
54,,,,,,,,,52.33319283,place,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,42.81802645,great,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,39.42998213,free,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,39.77909158,day,,,,,,,,,,,,,,,,,,,,,,
