,languages,"[Chinese, (Sim.)]_Freq","[Chinese, (Trad.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
0,"[Chinese, (Sim.)]_Freq",1,0.762885723,0.532717195,0.560232189,0,0.435541582,0.736783259,0.125839976,0.669372683,0.452549085,0.571094757,0.407645327,0.580305608,0.40654344,0.029523607,0.589341926
1,"[Chinese, (Trad.)]_Freq",0.762885723,1,0.661520408,0.401145068,0,0.598238107,0.86023844,0.030268621,0.741462352,0.201657455,0.634580426,0.446580083,0.824721397,0.587338443,0,0.61454124
2,[Danish]_Freq,0.532717195,0.661520408,1,0.447131436,0.004154084,0.753228655,0.683273075,0,0.517248987,0.206700289,0.459595804,0.574804381,0.568519841,0.730513578,0.033634178,0.431461916
3,[Dutch]_Freq,0.560232189,0.401145068,0.447131436,1,0.001517142,0.333095171,0.468285098,0.105698143,0.39573623,0.203927777,0.464825557,0.28687639,0.377522436,0.294714116,0.007601817,0.382785038
4,[English]_Freq,0,0,0.004154084,0.001517142,1,0.360009242,0,0.058850409,0.031767894,0,0.020822517,0.282294173,0.01176424,0.331540924,0,0.040005568
5,[French]_Freq,0.435541582,0.598238107,0.753228655,0.333095171,0.360009242,1,0.581517968,0.157396962,0.478384887,0.151722788,0.458641557,0.610185542,0.540719454,0.780157434,0,0.38421087
6,[German]_Freq,0.736783259,0.86023844,0.683273075,0.468285098,0,0.581517968,1,0,0.687251264,0.159526323,0.573802474,0.409725519,0.75902444,0.613735883,0,0.583848368
7,[Italian]_Freq,0.125839976,0.030268621,0,0.105698143,0.058850409,0.157396962,0,1,0.017757201,0.144185778,0.405132916,0.010495858,0.104600127,0.031951579,0.009996919,0
8,[Japanese]_Freq,0.669372683,0.741462352,0.517248987,0.39573623,0.031767894,0.478384887,0.687251264,0.017757201,1,0.263059138,0.594980964,0.411057102,0.615413647,0.42339347,0,0.613993316
9,[Norwegian]_Freq,0.452549085,0.201657455,0.206700289,0.203927777,0,0.151722788,0.159526323,0.144185778,0.263059138,1,0.251355955,0.227985079,0.141830976,0.139513451,0,0.249759826
10,[Polish]_Freq,0.571094757,0.634580426,0.459595804,0.464825557,0.020822517,0.458641557,0.573802474,0.405132916,0.594980964,0.251355955,1,0.423470075,0.568558501,0.394262245,0,0.562231893
11,[Portuguese]_Freq,0.407645327,0.446580083,0.574804381,0.28687639,0.282294173,0.610185542,0.409725519,0.010495858,0.411057102,0.227985079,0.423470075,1,0.383589731,0.630090954,0.05131237,0.404524883
12,[Russian]_Freq,0.580305608,0.824721397,0.568519841,0.377522436,0.01176424,0.540719454,0.75902444,0.104600127,0.615413647,0.141830976,0.568558501,0.383589731,1,0.573471104,0,0.530454024
13,[Spanish]_Freq,0.40654344,0.587338443,0.730513578,0.294714116,0.331540924,0.780157434,0.613735883,0.031951579,0.42339347,0.139513451,0.394262245,0.630090954,0.573471104,1,0,0.352970996
14,[Swedish]_Freq,0.029523607,0,0.033634178,0.007601817,0,0,0,0.009996919,0,0,0,0.05131237,0,0,1,0
15,[Turkish]_Freq,0.589341926,0.61454124,0.431461916,0.382785038,0.040005568,0.38421087,0.583848368,0,0.613993316,0.249759826,0.562231893,0.404524883,0.530454024,0.352970996,0,1
