term,Category,Freq,Term,Total,loglift,logprob
38,Default,8.0,restaurant,8.0,30.0,30.0
31,Default,4.0,lund,4.0,29.0,29.0
49,Default,3.0,went,3.0,28.0,28.0
24,Default,5.0,good,5.0,27.0,27.0
23,Default,7.0,food,7.0,26.0,26.0
12,Default,2.0,decoration,2.0,25.0,25.0
42,Default,2.0,style,2.0,24.0,24.0
34,Default,4.0,ordered,4.0,23.0,23.0
14,Default,3.0,delicious,3.0,22.0,22.0
6,Default,4.0,chops,4.0,21.0,21.0
29,Default,2.0,like,2.0,20.0,20.0
2,Default,2.0,ate,2.0,19.0,19.0
41,Default,2.0,store,2.0,18.0,18.0
5,Default,2.0,chinese,2.0,17.0,17.0
7,Default,1.0,come,1.0,16.0,16.0
32,Default,3.0,main,3.0,15.0,15.0
35,Default,3.0,perfect,3.0,14.0,14.0
43,Default,3.0,taste,3.0,13.0,13.0
0,Default,2.0,accidentally,2.0,12.0,12.0
37,Default,2.0,printed,2.0,11.0,11.0
36,Default,3.0,pork,3.0,10.0,10.0
1,Default,2.0,ago,2.0,9.0,9.0
11,Default,2.0,dagens,2.0,8.0,8.0
50,Default,2.0,years,2.0,7.0,7.0
4,Default,1.0,came,1.0,6.0,6.0
20,Default,2.0,excellent,2.0,5.0,5.0
39,Default,2.0,service,2.0,4.0,4.0
25,Default,3.0,hotel,3.0,3.0,3.0
33,Default,1.0,meet,1.0,2.0,2.0
8,Default,2.0,cooking,2.0,1.0,1.0
6,Topic1,3.426387194982612,chops,4.182216327313389,1.0637,-2.5228
32,Topic1,2.5750235712758722,main,3.305041313350226,1.0134,-2.8084
36,Topic1,2.602733947230335,pork,3.3532752254355427,1.0096,-2.7977
48,Topic1,1.7820014118838758,weird,2.512830079394442,0.9193,-3.1765
26,Topic1,1.7886571974986034,ice,2.5240058890396386,0.9186,-3.1728
47,Topic1,1.7784094782716289,venison,2.5144268620762302,0.9167,-3.1786
10,Topic1,1.7896546746522106,cream,2.543883048364578,0.9113,-3.1723
46,Topic1,1.7789819962200966,today,2.529948639396563,0.9108,-3.1782
15,Topic1,1.7815887941164577,dessert,2.5337016170272886,0.9108,-3.1768
18,Topic1,1.7835075791416444,environment,2.536968205799692,0.9106,-3.1757
13,Topic1,1.7981518231260933,definitely,2.5730405458871326,0.9047,-3.1675
22,Topic1,1.7719803081218173,feels,2.5414836401979803,0.9023,-3.1822
3,Topic1,1.7843905097659203,best,3.3166966949376424,0.6431,-3.1752
17,Topic1,1.7781744927138818,dish,3.3115961641379332,0.6412,-3.1787
25,Topic1,1.7799853157887424,hotel,3.877329468742193,0.4845,-3.1777
19,Topic1,0.965018524694021,evening,2.2481298406745247,0.4173,-3.7899
31,Topic1,1.7935863147005997,lund,4.258657473422025,0.3983,-3.1701
34,Topic1,1.7787648141894303,ordered,4.571735357893844,0.319,-3.1784
41,Topic1,0.9735147961249815,store,2.8477864045594803,0.1896,-3.7811
14,Topic1,0.958738884168873,delicious,3.7392576907795347,-0.098,-3.7964
23,Topic1,1.785833690099525,food,7.978549936928773,-0.2339,-3.1744
7,Topic1,0.1460706735432834,come,1.689149603416064,-1.1849,-5.6779
33,Topic1,0.14303903999826179,meet,1.741038172888542,-1.2361,-5.6989
1,Topic1,0.1652347916799887,ago,2.0405117704045885,-1.2506,-5.5547
4,Topic1,0.14995903419627102,came,1.9523761171105543,-1.3034,-5.6517
37,Topic1,0.156265036911014,printed,2.053905472546667,-1.3129,-5.6105
0,Topic1,0.15143918663339148,accidentally,2.046099352346196,-1.3405,-5.6419
11,Topic1,0.14649503587109855,dagens,2.0242564482440284,-1.363,-5.675
20,Topic1,0.14614929675972807,excellent,2.0222762196500863,-1.3644,-5.6774
8,Topic1,0.16197519602975327,cooking,2.2875728113199845,-1.3848,-5.5746
40,Topic1,0.15393677683836324,steak,2.2462734217234805,-1.4175,-5.6255
28,Topic1,0.15141790314141734,lamb,2.2796906393731735,-1.4488,-5.642
16,Topic1,0.15488447846651826,dinner,2.4891349570837,-1.514,-5.6194
2,Topic1,0.1535027887995081,ate,2.5979225369728596,-1.5658,-5.6283
29,Topic1,0.1503347039047459,like,2.940788808312258,-1.7106,-5.6492
