term,Topic,Freq,Term
0,5,0.4887348206495116,accidentally
1,5,0.4900731348399534,ago
2,5,0.3849229473813395,ate
2,6,0.3849229473813395,ate
3,1,0.6030096158785487,best
3,2,0.30150480793927437,best
4,6,0.5121963904577791,came
5,2,0.6902419554541817,chinese
5,7,0.3451209777270908,chinese
6,1,0.7173230089528075,chops
7,8,0.5920138737135199,come
8,3,0.8742891111937775,cooking
9,2,0.8041563362309866,course
10,1,0.7861996648335576,cream
11,5,0.4940085535444212,dagens
12,4,0.34375299425127187,decoration
12,7,0.34375299425127187,decoration
13,1,0.7772905107138295,definitely
14,1,0.2674327587707727,delicious
14,3,0.5348655175415454,delicious
15,1,0.78935893104356,dessert
16,2,0.8034919899816215,dinner
17,1,0.6039383731804253,dish
17,2,0.30196918659021266,dish
18,1,0.7883425560587854,environment
19,1,0.4448141659380144,evening
19,6,0.4448141659380144,evening
20,4,0.4944922905601044,excellent
21,3,0.4473153847270573,expensive
22,1,0.786941913914583,feels
23,1,0.25067211658887867,food
23,2,0.25067211658887867,food
23,3,0.376008174883318,food
23,4,0.12533605829443933,food
24,2,0.7551000362757571,good
24,7,0.18877500906893926,good
25,1,0.5158189460357623,hotel
25,2,0.25790947301788114,hotel
25,6,0.25790947301788114,hotel
26,1,0.7923911781208173,ice
27,2,0.4229893987569204,ihsiri
27,3,0.4229893987569204,ihsiri
28,3,0.4386560100430825,lamb
29,3,0.6800896393331338,like
30,2,0.6336296402529565,lunch
30,3,0.31681482012647827,lunch
31,1,0.46963157109531734,lund
31,6,0.23481578554765867,lund
31,8,0.23481578554765867,lund
32,1,0.9077042359143722,main
33,7,0.574369945226938,meet
34,1,0.437470641546798,ordered
34,3,0.437470641546798,ordered
35,2,0.9196515173342901,perfect
36,1,0.8946477095718687,pork
37,5,0.48687732389168115,printed
38,2,0.7157590270201623,restaurant
38,4,0.11929317117002705,restaurant
39,4,0.49758387577722546,service
40,2,0.445181779888905,steak
40,6,0.445181779888905,steak
41,1,0.35114993118828675,store
41,4,0.35114993118828675,store
42,2,0.38903062259582427,style
42,7,0.38903062259582427,style
43,2,0.9200677856612737,taste
44,2,0.8151470492517437,time
45,2,0.8174320767012084,times
46,1,0.7905298822497183,today
47,1,0.7954098924748784,venison
48,1,0.7959153372129217,weird
49,6,0.6554891049725403,went
50,5,0.49892356458528175,years
