term,Category,Freq,Term,Total,loglift,logprob
243,Default,47.0,service,47.0,30.0,30.0
176,Default,43.0,nice,43.0,29.0,29.0
1,Default,30.0,39,30.0,28.0,28.0
227,Default,34.0,restaurant,34.0,27.0,27.0
222,Default,39.0,really,39.0,26.0,26.0
198,Default,29.0,place,29.0,25.0,25.0
150,Default,19.0,little,19.0,24.0,24.0
266,Default,9.0,sushi,9.0,23.0,23.0
122,Default,12.0,great,12.0,22.0,22.0
264,Default,11.0,super,11.0,21.0,21.0
66,Default,19.0,cozy,19.0,20.0,20.0
130,Default,6.0,hotel,6.0,19.0,19.0
112,Default,19.0,friendly,19.0,18.0,18.0
160,Default,18.0,lund,18.0,17.0,17.0
192,Default,9.0,people,9.0,16.0,16.0
270,Default,5.0,table,5.0,15.0,15.0
75,Default,23.0,delicious,23.0,14.0,14.0
64,Default,5.0,course,5.0,13.0,13.0
159,Default,9.0,lunch,9.0,12.0,12.0
25,Default,7.0,beer,7.0,11.0,11.0
196,Default,9.0,pizza,9.0,10.0,10.0
223,Default,12.0,reasonable,12.0,9.0,9.0
252,Default,12.0,small,12.0,8.0,8.0
163,Default,5.0,market,5.0,7.0,7.0
99,Default,11.0,experience,11.0,6.0,6.0
118,Default,70.0,good,70.0,5.0,5.0
214,Default,5.0,quality,5.0,4.0,4.0
108,Default,77.0,food,77.0,3.0,3.0
168,Default,13.0,menu,13.0,2.0,2.0
153,Default,9.0,located,9.0,1.0,1.0
118,Topic1,68.24423016001771,good,70.1618111137481,0.4629,-2.737
108,Topic1,75.17191290205832,food,77.80680821929445,0.4562,-2.6403
157,Topic1,13.56387236282178,lovely,14.207386023156738,0.4443,-4.3526
243,Topic1,44.91855622476686,service,47.28012562090464,0.4394,-3.1552
201,Topic1,8.542488106384864,portions,9.180773030365177,0.4185,-4.815
274,Topic1,8.536279372762806,tasted,9.177056658738673,0.4182,-4.8157
137,Topic1,6.590197456816632,italian,7.236335148964055,0.3971,-5.0745
20,Topic1,5.618780845866056,authentic,6.257461832691975,0.3829,-5.2339
17,Topic1,11.611575963038176,atmosphere,12.939916133497977,0.3823,-4.5081
81,Topic1,16.208359911172764,dishes,18.153732420898226,0.3773,-4.1745
127,Topic1,5.050593103494974,high,5.689979225902532,0.3714,-5.3406
122,Topic1,10.730159067381088,great,12.10072972604276,0.3704,-4.587
289,Topic1,4.970253747544326,unfortunately,5.608747604683744,0.3697,-5.3566
295,Topic1,4.484181674877457,visit,5.123902751903191,0.3572,-5.4595
303,Topic1,4.409555618441442,water,5.047539728442271,0.3555,-5.4763
72,Topic1,4.404581038557098,decor,5.043088832100152,0.3552,-5.4774
28,Topic1,4.32808124378706,big,4.958810631305885,0.3546,-5.4949
143,Topic1,4.397565747868517,large,5.04233280822708,0.3538,-5.479
277,Topic1,4.324042043691225,tasty,4.960509710502894,0.3533,-5.4959
302,Topic1,4.323366753211855,want,4.9604600844876545,0.3531,-5.496
112,Topic1,17.05276809032253,friendly,19.73761653103586,0.3444,-4.1237
138,Topic1,7.1561942028689876,just,8.352348857290675,0.336,-4.9921
19,Topic1,3.7529818343873735,attentive,4.3902000667099905,0.3338,-5.6375
78,Topic1,3.6821250826471674,different,4.314225865821571,0.3322,-5.6566
80,Topic1,3.6792663697625207,dish,4.3139282177235305,0.3315,-5.6573
104,Topic1,3.6797330283510408,fine,4.3156638924853565,0.3312,-5.6572
269,Topic1,3.6746602890310083,sweet,4.310390153846348,0.331,-5.6586
16,Topic1,3.6790330528318123,ate,4.317556263605373,0.3306,-5.6574
250,Topic1,3.594835002792915,slightly,4.225803600853342,0.3289,-5.6806
275,Topic1,3.5951156479434125,tastes,4.228082094032486,0.3284,-5.6805
308,Topic1,9.998564878082743,wine,11.77983678670985,0.3267,-4.6576
222,Topic1,31.32626854658312,really,39.92944568564788,0.2479,-3.5156
119,Topic1,26.822767271944684,got,34.16346636147878,0.2487,-3.6708
205,Topic1,11.37306171521844,price,14.49714550919106,0.2479,-4.5288
75,Topic1,17.295132633202144,delicious,23.19202657270533,0.1972,-4.1096
1,Topic1,21.797762494608865,39,30.27959112195661,0.1619,-3.8782
176,Topic1,29.62415671008505,nice,43.96838780400238,0.0957,-3.5715
180,Topic1,6.428072516486956,ok,8.111945103284208,0.2579,-5.0994
66,Topic1,13.959933659815892,cozy,19.81944446604065,0.1401,-4.3239
223,Topic1,9.350975214173681,reasonable,12.749227412998938,0.1806,-4.7246
264,Topic1,8.788980246881454,super,11.941964139481206,0.184,-4.7866
252,Topic1,8.641401535918092,small,12.26928378793341,0.1401,-4.8035
206,Topic1,6.742016505049931,prices,8.865671058955106,0.2168,-5.0517
99,Topic1,7.975391567924368,experience,11.411428130417836,0.1324,-4.8837
159,Topic1,7.074724383689714,lunch,9.699480122500834,0.1751,-5.0035
227,Topic1,17.214640415265634,restaurant,34.95066941813196,-0.2176,-4.1143
150,Topic1,11.154241338218482,little,19.249725719424465,-0.0551,-4.5482
198,Topic1,13.570291935028758,place,29.53709813616688,-0.2872,-4.3522
168,Topic1,8.487197420422884,menu,13.382232103163863,0.0352,-4.8215
160,Topic1,9.42440303720313,lund,18.042865984614814,-0.1588,-4.7168
53,Topic2,2.0525383801490884,chose,2.6951010581584476,2.0001,-4.4591
181,Topic2,2.0468166681745243,okay,2.6893692986525837,1.9994,-4.4619
44,Topic2,2.0451891306402556,card,2.688730150838449,1.9989,-4.4627
0,Topic2,1.9850116503405126,1st,2.6983836582862675,1.9654,-4.4926
106,Topic2,1.9794726103532994,floor,2.695473340439732,1.9637,-4.4954
284,Topic2,1.4552261875131678,tomato,2.0947542043979612,1.9082,-4.8031
71,Topic2,1.4549279302698448,deck,2.095633739316492,1.9075,-4.8033
263,Topic2,1.4557777795713969,summer,2.098750504075051,1.9066,-4.8027
294,Topic2,1.450253328386177,view,2.0922113746206117,1.906,-4.8065
238,Topic2,1.4558330954507188,sauce,2.1003564731483033,1.9059,-4.8026
195,Topic2,1.453143602283727,pick,2.0987130152133564,1.9048,-4.8045
132,Topic2,1.447732383526707,hustle,2.0952601271946016,1.9028,-4.8082
63,Topic2,1.447235377102452,couples,2.1006729714119494,1.8998,-4.8086
247,Topic2,2.125719873617268,sit,3.539836503110949,1.7625,-4.4241
282,Topic2,2.05029314102496,times,3.4258034747967137,1.7591,-4.4602
240,Topic2,1.456273924369347,seafood,2.652139237698432,1.673,-4.8023
64,Topic2,3.203325267158562,course,5.835722935513289,1.6726,-4.014
311,Topic2,2.123025278056489,wooden,3.9086143080146,1.6621,-4.4254
39,Topic2,1.4486485664076447,bustle,2.694894072842312,1.6517,-4.8076
76,Topic2,1.4487109285892408,despite,2.6995451326617066,1.65,-4.8075
55,Topic2,1.376187152469536,close,2.570149132164499,1.6478,-4.8589
232,Topic2,3.3513431843032073,room,6.335691587672993,1.6356,-3.9689
172,Topic2,1.3754965538993673,minutes,2.6455145934464257,1.6184,-4.8594
161,Topic2,1.4558568953617939,make,2.828045792089792,1.6085,-4.8026
114,Topic2,2.053087005479611,generally,4.069373381753781,1.5883,-4.4589
79,Topic2,2.7204139466841117,dining,5.767745582888478,1.5209,-4.1774
56,Topic2,2.0470601038144616,cold,4.606041505481558,1.4615,-4.4618
13,Topic2,1.3765298529748147,arrived,3.1560511461475738,1.4427,-4.8587
280,Topic2,0.7816699683840401,thursday,1.833420592273702,1.4199,-5.4245
292,Topic2,0.7781726421758487,ve,1.8304706997537614,1.4171,-5.429
189,Topic2,1.4536226154449725,past,3.4305260122763994,1.4138,-4.8042
299,Topic2,1.3768208091288363,waited,3.3942789074626427,1.3701,-4.8584
168,Topic2,4.3509305030929735,menu,13.382232103163863,1.1489,-3.7078
214,Topic2,2.0541135986562336,quality,5.481549467892264,1.2909,-4.4584
222,Topic2,8.06596401423311,really,39.92944568564788,0.673,-3.0906
75,Topic2,5.361246842415507,delicious,23.19202657270533,0.8078,-3.499
198,Topic2,5.432018961666716,place,29.53709813616688,0.5791,-3.4859
227,Topic2,5.365221409924332,restaurant,34.95066941813196,0.3984,-3.4983
296,Topic2,2.266642252964847,visited,6.676310448876946,1.1922,-4.3599
236,Topic2,2.6558258808615456,salmon,9.618361778568095,0.9855,-4.2015
193,Topic2,2.1302907566347997,perfect,6.902485929005141,1.0968,-4.422
176,Topic2,4.162514188654434,nice,43.96838780400238,-0.0849,-3.7521
119,Topic2,3.742250632214654,got,34.16346636147878,0.061,-3.8585
256,Topic2,2.3105273279853584,staff,8.76279691077243,0.9394,-4.3407
268,Topic2,2.0480927764855497,swedish,8.197677950793546,0.8855,-4.4613
66,Topic2,2.288452831187206,cozy,19.81944446604065,0.1137,-4.3503
264,Topic2,2.04880127875075,super,11.941964139481206,0.5096,-4.461
1,Topic2,2.1328723915567394,39,30.27959112195661,-0.3806,-4.4207
108,Topic2,2.0727592240938866,food,77.80680821929445,-1.3529,-4.4493
266,Topic3,8.645214668826009,sushi,9.9698804896651,2.3681,-2.783
54,Topic3,4.714899016544665,city,5.447555603329159,2.3662,-3.3893
6,Topic3,1.833454819284034,advance,2.4852862676667757,2.2064,-4.3338
111,Topic3,3.3247075310031677,freshly,4.930301404027207,2.1166,-3.7387
4,Topic3,1.3000434274086998,accidentally,1.9474551479612665,2.1065,-4.6776
217,Topic3,1.2980988980123136,quiet,1.9488120965152052,2.1043,-4.6791
67,Topic3,1.2977468545280884,cucina,1.948436149056634,2.1042,-4.6794
188,Topic3,1.3002821579031616,panna,1.9538524197542793,2.1034,-4.6775
61,Topic3,1.298284851967279,cotta,1.9516397812500723,2.103,-4.679
144,Topic3,1.2989552656507315,lars,1.9548008652937714,2.1019,-4.6785
286,Topic3,1.2741570635513524,trip,1.9531350257409519,2.0835,-4.6978
101,Topic3,1.2306273329612325,fantastic,2.433288384806972,1.8289,-4.7325
62,Topic3,1.227793671069686,couple,2.4376417777856725,1.8248,-4.7348
30,Topic3,1.2317984743263992,booked,2.5114070366058856,1.7982,-4.7316
70,Topic3,1.9035528875931667,day,3.904815040423616,1.7921,-4.2963
125,Topic3,1.2312312205331972,grilled,2.6141653187627596,1.7577,-4.732
