term,Category,Freq,Term,Total,loglift,logprob
20,Default,6.0,delicious,6.0,30.0,30.0
57,Default,13.0,nice,13.0,29.0,29.0
52,Default,6.0,lund,6.0,28.0,28.0
70,Default,9.0,restaurant,9.0,27.0,27.0
87,Default,4.0,time,4.0,26.0,26.0
74,Default,8.0,service,8.0,25.0,25.0
86,Default,10.0,tasty,10.0,24.0,24.0
37,Default,9.0,friendly,9.0,23.0,23.0
63,Default,7.0,pizzas,7.0,22.0,22.0
26,Default,4.0,eaten,4.0,21.0,21.0
7,Default,3.0,bar,3.0,20.0,20.0
53,Default,3.0,main,3.0,19.0,19.0
39,Default,9.0,good,9.0,18.0,18.0
10,Default,6.0,bit,6.0,17.0,17.0
15,Default,2.0,course,2.0,16.0,16.0
9,Default,3.0,best,3.0,15.0,15.0
88,Default,3.0,times,3.0,14.0,14.0
13,Default,2.0,choice,2.0,13.0,13.0
92,Default,3.0,varied,3.0,12.0,12.0
17,Default,3.0,cucina,3.0,11.0,11.0
73,Default,2.0,salad,2.0,10.0,10.0
47,Default,3.0,la,3.0,9.0,9.0
34,Default,2.0,fine,2.0,8.0,8.0
96,Default,2.0,wine,2.0,7.0,7.0
50,Default,2.0,lots,2.0,6.0,6.0
38,Default,2.0,german,2.0,5.0,5.0
62,Default,4.0,pizza,4.0,4.0,4.0
28,Default,2.0,especially,2.0,3.0,3.0
67,Default,5.0,quality,5.0,2.0,2.0
8,Default,2.0,beer,2.0,1.0,1.0
24,Topic1,1.764372061390689,easy,2.682905044560961,1.1279,-3.7824
29,Topic1,1.7793474993794003,exactly,2.729603657102905,1.1191,-3.7739
76,Topic1,1.7550086092884325,sporting,2.722267285048559,1.108,-3.7877
4,Topic1,1.7403155061728903,ate,2.701551258537417,1.1072,-3.7961
18,Topic1,1.7476722548514703,day,2.7346014724633663,1.0993,-3.7919
37,Topic1,5.804392297856308,friendly,9.43899349665789,1.0608,-2.5916
78,Topic1,2.5613266003012525,staff,4.191764891327907,1.0544,-3.4096
63,Topic1,4.1662812175415445,pizzas,7.069528203911013,1.0182,-2.9231
30,Topic1,3.3813493470628018,excellent,5.8172045303367526,1.0044,-3.1319
62,Topic1,2.556772668000702,pizza,4.684414238536914,0.9415,-3.4114
20,Topic1,3.3626153851988683,delicious,6.185197659243985,0.9375,-3.1374
27,Topic1,1.7603953689416747,enjoyed,3.420252221148364,0.8828,-3.7846
67,Topic1,2.5585432001408352,quality,5.447268491879092,0.7913,-3.4107
17,Topic1,1.7525307854716436,cucina,3.885926593540085,0.7507,-3.7891
47,Topic1,1.7484158975259612,la,3.888698491267952,0.7476,-3.7915
50,Topic1,0.9535722242670086,lots,2.2394877637614004,0.6932,-4.3977
55,Topic1,0.9664182295769326,menu,2.3827681371730405,0.6446,-4.3843
0,Topic1,0.9560463766209726,39,2.376316722926089,0.6365,-4.3951
64,Topic1,0.958009724139345,place,2.5623420648599744,0.5632,-4.3931
79,Topic1,0.9682732873060246,start,2.6104130968529997,0.5552,-4.3824
72,Topic1,0.9578998427036748,risotto,2.6216673751704476,0.5402,-4.3932
11,Topic1,0.9707913932567416,bread,2.695415059581708,0.5258,-4.3798
65,Topic1,0.9611845428221837,portions,2.7058957466143285,0.512,-4.3898
57,Topic1,4.193404157496482,nice,13.257127702668031,0.396,-2.9167
6,Topic1,0.9674390301103901,attentive,3.3731434129514084,0.298,-4.3833
59,Topic1,0.9502720083775195,operation,3.4438878187463975,0.2594,-4.4012
33,Topic1,0.9493376992204166,fast,3.452144999342777,0.256,-4.4022
85,Topic1,0.9534739081851621,table,3.4700190619655773,0.2552,-4.3978
40,Topic1,1.7741306879721472,great,6.485881307318163,0.2507,-3.7769
25,Topic1,0.950057779557168,eat,3.9538894148104418,0.1211,-4.4014
74,Topic1,1.7682034251374414,service,8.931925807835949,-0.0727,-3.7802
