term,Topic,Freq,Term
0,1,0.42081932528280375,39
0,8,0.42081932528280375,39
1,5,0.4117980048598666,50
2,3,0.42432973142832375,advice
2,8,0.42432973142832375,advice
3,2,0.4275784207579462,appetizer
3,8,0.4275784207579462,appetizer
4,1,0.7403153997835942,ate
5,3,0.5900931656921167,atmosphere
6,1,0.29645937856079096,attentive
6,3,0.29645937856079096,attentive
6,4,0.29645937856079096,attentive
7,2,0.5648941639108469,bar
7,6,0.28244708195542345,bar
8,2,0.45897479606348,beer
9,5,0.27805970633469773,best
9,7,0.27805970633469773,best
10,2,0.44030781516434003,bit
10,3,0.14676927172144666,bit
10,5,0.14676927172144666,bit
10,7,0.14676927172144666,bit
11,1,0.37100037578449474,bread
11,3,0.37100037578449474,bread
12,4,0.6504861272655402,center
12,6,0.3252430636327701,center
13,3,0.6780593679744261,choice
14,6,0.43677579161153046,city
15,3,0.35277487605844227,course
15,8,0.35277487605844227,course
16,1,0.24941885763770844,cozy
16,4,0.49883771527541687,cozy
17,1,0.5146777613670764,cucina
17,6,0.2573388806835382,cucina
18,1,0.7313679964482622,day
19,3,0.7641094937816548,definitely
20,1,0.48502896193081224,delicious
20,2,0.1616763206436041,delicious
20,8,0.1616763206436041,delicious
20,10,0.1616763206436041,delicious
21,1,0.24874856368430312,dinner
21,3,0.49749712736860624,dinner
21,7,0.24874856368430312,dinner
22,2,0.5147893408284783,dishes
22,3,0.25739467041423914,dishes
22,8,0.25739467041423914,dishes
23,3,0.7636707746431513,doubt
24,1,0.7454605984116319,easy
25,1,0.2529155206653503,eat
25,2,0.2529155206653503,eat
25,4,0.2529155206653503,eat
25,7,0.2529155206653503,eat
26,1,0.22964595615976216,eaten
26,2,0.22964595615976216,eaten
26,4,0.22964595615976216,eaten
26,8,0.22964595615976216,eaten
27,1,0.5847521968214647,enjoyed
27,4,0.29237609841073237,enjoyed
28,3,0.46080544694623626,especially
29,1,0.7327071074203946,exactly
30,1,0.5157116247769842,excellent
30,2,0.1719038749256614,excellent
30,4,0.1719038749256614,excellent
31,4,0.40160931438397446,expensive
31,5,0.40160931438397446,expensive
32,2,0.7480756639308537,fair
33,1,0.2896749702548361,fast
33,2,0.5793499405096721,fast
34,2,0.4641187940959675,fine
35,1,0.18177287912299633,food
35,2,0.36354575824599267,food
35,3,0.18177287912299633,food
35,4,0.18177287912299633,food
36,2,0.607808189113155,fresh
36,5,0.3039040945565775,fresh
37,1,0.6356609952241676,friendly
37,2,0.10594349920402793,friendly
37,4,0.21188699840805586,friendly
37,8,0.10594349920402793,friendly
38,2,0.4532327520972324,german
39,1,0.20073419526325595,good
39,3,0.4014683905265119,good
39,4,0.20073419526325595,good
