topic,Freq,cluster,topics,x,y
4,84.09192210325084,1,1,0.2223496480438,0.0923424855127393
5,4.585439047734984,1,2,0.19371611575358852,-0.26219442745146715
6,3.745254053829102,1,3,0.11726560120871107,0.22565852026340177
2,1.8714734611938466,1,4,-0.08212206902020328,0.05237158492110076
8,1.4901942927795158,1,5,-0.029591658110156148,-0.026276097542198385
9,1.0961158185612248,1,6,-0.12575922140155027,-0.016695164809893633
0,1.0607867087855622,1,7,-0.07333770269663299,-0.05187082261698228
3,0.7719266383459046,1,8,-0.09939515178138254,-0.014221146687915057
1,0.7665778210270904,1,9,-0.058151906051400123,0.008887701460709226
7,0.5203100544919262,1,10,-0.06497365594477536,-0.00800263304949464
